k_target,node_index,node_label,depth,sequence,path,scale,sdf_weight,mean_test_stock_count,mean_test_market_value_share,test_node_return_coverage
10,0,market,0,,ROOT,1.0,0.8444348031667667,2320.423076923077,1.0,1.0
10,7,LME>LME [L>L],2,LME>LME,L>L,0.5,0.07922068399126178,580.4807692307693,0.02696633143884463,1.0
10,19,OP>LME [L>L],2,OP>LME,L>L,0.5,2.7499232074355344,546.8461538461538,0.032478066792876965,1.0
10,20,OP>LME [L>H],2,OP>LME,L>H,0.5,-1.517739521216831,546.2115384615385,0.15692590219833594,1.0
10,21,OP>LME [H>L],2,OP>LME,H>L,0.5,5.850788033393892,546.4807692307693,0.03770403928424472,1.0
10,22,OP>LME [H>H],2,OP>LME,H>H,0.5,-9.549988362123036,546.0192307692307,0.5879897155457524,1.0
10,31,Investment>LME [L>L],2,Investment>LME,L>L,0.5,4.990398144758875,504.2692307692308,0.029606398376736308,1.0
10,32,Investment>LME [L>H],2,Investment>LME,L>H,0.5,-4.604488437532183,503.75,0.22668601181304635,1.0
10,33,Investment>LME [H>L],2,Investment>LME,H>L,0.5,2.518745509114521,504.0576923076923,0.03181041689083929,1.0
10,34,Investment>LME [H>H],2,Investment>LME,H>H,0.5,-5.219529096631904,503.5,0.3461899728977794,1.0
10,91,LME>Investment>LME [L>L>L],3,LME>Investment>LME,L>L>L,0.3535533905932738,0.10650578032415034,274.8076923076923,0.012374189274279915,1.0
40,0,market,0,,ROOT,1.0,0.4369662282947032,2320.423076923077,1.0,1.0
40,1,LME [L],1,LME,L,0.7071067811865476,0.06198821658103304,1160.4807692307693,0.0757570179579473,1.0
40,2,LME [H],1,LME,H,0.7071067811865476,0.006535594105888499,1159.9423076923076,0.9242429820420526,1.0
40,3,OP [L],1,OP,L,0.7071067811865476,-0.054934304609305325,1093.0576923076924,0.18940396899121287,1.0
40,4,OP [H],1,OP,H,0.7071067811865476,-1.3335950504089797,1092.5,0.6256937548299972,1.0
40,5,Investment [L],1,Investment,L,0.7071067811865476,-0.2292865809447639,1008.0192307692307,0.25629241018978266,1.0
40,6,Investment [H],1,Investment,H,0.7071067811865476,-1.0191839946410737,1007.5576923076923,0.3780003897886186,1.0
40,7,LME>LME [L>L],2,LME>LME,L>L,0.5,1.1573141592892946,580.4807692307693,0.02696633143884463,1.0
40,19,OP>LME [L>L],2,OP>LME,L>L,0.5,1.6522594027611335,546.8461538461538,0.032478066792876965,1.0
40,20,OP>LME [L>H],2,OP>LME,L>H,0.5,-1.521576215372927,546.2115384615385,0.15692590219833594,1.0
40,21,OP>LME [H>L],2,OP>LME,H>L,0.5,2.373484571605191,546.4807692307693,0.03770403928424472,1.0
40,22,OP>LME [H>H],2,OP>LME,H>H,0.5,-3.118572352915494,546.0192307692307,0.5879897155457524,1.0
40,24,OP>OP [L>H],2,OP>OP,L>H,0.5,-0.29138646532022294,546.2115384615385,0.10474189243479953,1.0
40,25,OP>OP [H>L],2,OP>OP,H>L,0.5,-0.9445772493708007,546.4807692307693,0.24551224806215727,1.0
40,26,OP>OP [H>H],2,OP>OP,H>H,0.5,-0.08777223339457087,546.0192307692307,0.3801815067678399,1.0
40,29,OP>Investment [H>L],2,OP>Investment,H>L,0.5,-0.40475191083662376,503.84615384615387,0.23381617381897987,1.0
40,30,OP>Investment [H>H],2,OP>Investment,H>H,0.5,-0.7012601899507657,503.3076923076923,0.2413935594248277,1.0
40,31,Investment>LME [L>L],2,Investment>LME,L>L,0.5,2.19607684340981,504.2692307692308,0.029606398376736308,1.0
40,32,Investment>LME [L>H],2,Investment>LME,L>H,0.5,-1.9713434704104407,503.75,0.22668601181304635,1.0
40,33,Investment>LME [H>L],2,Investment>LME,H>L,0.5,1.7109743787877223,504.0576923076923,0.03181041689083929,1.0
40,34,Investment>LME [H>H],2,Investment>LME,H>H,0.5,-2.5132505950651614,503.5,0.3461899728977794,1.0
40,36,Investment>OP [L>H],2,Investment>OP,L>H,0.5,-0.46735941553449833,501.34615384615387,0.18421453431847826,1.0
40,38,Investment>OP [H>H],2,Investment>OP,H>H,0.5,-0.40170611853465343,503.5,0.2856921135642702,1.0
40,40,Investment>Investment [L>H],2,Investment>Investment,L>H,0.5,-0.5351324319981364,503.75,0.17527134013758688,1.0
40,42,Investment>Investment [H>H],2,Investment>Investment,H>H,0.5,-1.3203212550885919,503.5,0.13751730530288983,1.0
40,43,LME>LME>LME [L>L>L],3,LME>LME>LME,L>L>L,0.3535533905932738,1.4267972223545908,290.4807692307692,0.01016384442093536,1.0
40,52,LME>LME>OP [L>L>H],3,LME>LME>OP,L>L>H,0.3535533905932738,0.6083083816775287,285.5576923076923,0.012709882628761325,1.0
40,60,LME>LME>Investment [L>L>H],3,LME>LME>Investment,L>L>H,0.3535533905932738,0.6409786077505333,282.4423076923077,0.012888797879009454,1.0
40,67,LME>OP>LME [L>L>L],3,LME>OP>LME,L>L>L,0.3535533905932738,1.1166211011786888,283.5769230769231,0.013439331105276241,1.0
40,68,LME>OP>LME [L>L>H],3,LME>OP>LME,L>L>H,0.3535533905932738,-0.5058289376457094,283.0769230769231,0.02331737751294212,1.0
40,69,LME>OP>LME [L>H>L],3,LME>OP>LME,L>H>L,0.3535533905932738,1.3588765729018633,283.40384615384613,0.012785755954050588,1.0
40,70,LME>OP>LME [L>H>H],3,LME>OP>LME,L>H>H,0.3535533905932738,-0.47713636314028113,282.7692307692308,0.02391062629791711,1.0
40,77,LME>OP>OP [L>H>L],3,LME>OP>OP,L>H>L,0.3535533905932738,-0.41128460733167715,283.40384615384613,0.018330882169785536,1.0
40,78,LME>OP>OP [L>H>H],3,LME>OP>OP,L>H>H,0.3535533905932738,0.5010340323477099,282.7692307692308,0.018365500082182164,1.0
40,91,LME>Investment>LME [L>L>L],3,LME>Investment>LME,L>L>L,0.3535533905932738,1.5725149048788234,274.8076923076923,0.012374189274279915,1.0
40,92,LME>Investment>LME [L>L>H],3,LME>Investment>LME,L>L>H,0.3535533905932738,-0.9307486626509511,274.3269230769231,0.022234598222252468,1.0
40,93,LME>Investment>LME [L>H>L],3,LME>Investment>LME,L>H>L,0.3535533905932738,1.3692121217735802,274.5769230769231,0.01265066646683832,1.0
40,94,LME>Investment>LME [L>H>H],3,LME>Investment>LME,L>H>H,0.3535533905932738,-0.2963263114964115,274.0576923076923,0.023022097641758228,1.0
40,101,LME>Investment>OP [L>H>L],3,LME>Investment>OP,L>H>L,0.3535533905932738,-0.05377175622315073,274.5769230769231,0.01804521706177848,1.0
40,102,LME>Investment>OP [L>H>H],3,LME>Investment>OP,L>H>H,0.3535533905932738,0.2677825233737312,274.0576923076923,0.017627547046818074,1.0
40,259,LME>LME>LME>OP [L>L>L>L],4,LME>LME>LME>OP,L>L>L>L,0.25,0.40402732874693753,143.1153846153846,0.0053330569672754725,1.0
40,260,LME>LME>LME>OP [L>L>L>H],4,LME>LME>LME>OP,L>L>L>H,0.25,1.3578608241654169,142.6153846153846,0.004663210939108335,1.0
40,275,LME>LME>LME>Investment [L>L>L>L],4,LME>LME>LME>Investment,L>L>L>L,0.25,0.3066028901336903,143.1153846153846,0.0051183285312347785,1.0
40,276,LME>LME>LME>Investment [L>L>L>H],4,LME>LME>LME>Investment,L>L>L>H,0.25,1.4869232330788194,142.65384615384616,0.004859593637828822,1.0
