name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
HT13-VALUE-BP,1,completed,6a9e891a0f6165ec8f7f33d9,6a9e891acffa1665a2100bcd,0.0524,0.0154,0.1068,0.0985,0.88,3.36,4.17,1.261008,2.098992,0.6007,22.69,60.0,huatai-series13-candidates.results/6a9e891acffa1665a2100bcd.json,
HT13-VALUE-EP,1,completed,6a9e895b5d52c44d2f55be5a,6a9e895c51cdfe29b2e0b328,0.0174,-0.0061,-0.0651,0.3125,0.37,-2.54,4.42,1.3366079999999998,-3.876608,0.3882,18.47,55.0,huatai-series13-candidates.results/6a9e895c51cdfe29b2e0b328.json,
HT13-VALUE-SP,1,completed,6a9e899ca7f535324660b053,6a9e899d5d52c44d2f55be5b,0.0333,0.0045,0.0446,0.4893,0.80,1.0,2.94,0.889056,0.11094400000000004,0.4758,26.03,61.67,huatai-series13-candidates.results/6a9e899d5d52c44d2f55be5b.json,
HT13-VALUE-OCFP-LOW-PCF,0,completed,6a9e89e0cffa1665a2100bcf,6a9e89e1cffa1665a2100bd0,-0.0130,-0.0007,-0.0473,0.4627,0.64,-1.13,5.64,1.7055360000000002,-2.8355360000000003,0.2829,45.99,58.33,huatai-series13-candidates.results/6a9e89e1cffa1665a2100bd0.json,
HT13-GROWTH-NP,1,completed,6a9e8a21cffa1665a2100bd3,6a9e8a22a7f535324660b054,-0.0042,-0.0026,-0.0753,0.2427,0.81,-3.3,3.76,1.137024,-4.437024,0.2239,48.23,51.67,huatai-series13-candidates.results/6a9e8a22a7f535324660b054.json,
HT13-GROWTH-OCF,1,completed,6a9e8a61ecb163ea7228ca81,6a9e8a61ecb163ea7228ca82,0.0034,-0.0003,-0.0189,0.7680,0.09,1.08,5.57,1.6843680000000003,-0.6043680000000002,0.4113,33.73,55.0,huatai-series13-candidates.results/6a9e8a61ecb163ea7228ca82.json,
HT13-REVERSAL-20D,1,completed,6a9e8a9a6df2a192a47e7390,6a9e8a9a6df2a192a47e7391,0.0624,0.0459,0.3192,0.0000,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5696,40.64,56.67,huatai-series13-candidates.results/6a9e8a9a6df2a192a47e7391.json,
HT13-MOMENTUM-120D,1,completed,6a9e8ae0ecb163ea7228ca86,6a9e8ae0ecb163ea7228ca87,-0.0562,-0.0370,-0.2386,0.0003,0.83,-26.98,19.46,5.884704,-32.864704,-0.4728,111.98,46.55,huatai-series13-candidates.results/6a9e8ae0ecb163ea7228ca87.json,
HT13-TURN-BIAS-1M,0,completed,6a9e8b253e7967143f8fa933,6a9e8b263e7967143f8fa934,-0.0652,-0.0368,-0.3172,0.0001,0.87,11.17,15.68,4.741632,6.428368,0.9929,24.89,61.54,huatai-series13-candidates.results/6a9e8b263e7967143f8fa934.json,
HT13-TURN-STD-1M,0,completed,6a9e8b63cffa1665a2100bd5,6a9e8b636df2a192a47e7393,-0.0671,-0.0355,-0.2729,0.0000,0.65,1.64,19.47,5.887727999999999,-4.2477279999999995,0.6252,19.08,58.33,huatai-series13-candidates.results/6a9e8b636df2a192a47e7393.json,
HT13-VOL-STD-1M,0,completed,6a9e8ba8cffa1665a2100bd6,6a9e8ba85d52c44d2f55be5d,-0.0722,-0.0290,-0.1639,0.0115,0.64,-0.74,24.78,7.493472,-8.233471999999999,0.5121,20.92,58.33,huatai-series13-candidates.results/6a9e8ba85d52c44d2f55be5d.json,
HT13-QUALITY-ROE,1,completed,6a9e8be9a7f535324660b058,6a9e8beacffa1665a2100bd7,-0.0069,-0.0088,-0.1310,0.0430,0.90,-10.67,1.77,0.5352480000000001,-11.205248,-0.019,50.17,53.33,huatai-series13-candidates.results/6a9e8beacffa1665a2100bd7.json,
HT13-QUALITY-CASH-DEBT,1,completed,6a9e8c26cffa1665a2100bd9,6a9e8c2751cdfe29b2e0b32c,0.0042,-0.0038,-0.0753,0.2427,0.71,-2.55,1.85,0.55944,-3.1094399999999998,0.2921,37.73,61.67,huatai-series13-candidates.results/6a9e8c2751cdfe29b2e0b32c.json,
HT13-HIST-EP-2Q,1,completed,6a9e8c64a7f535324660b059,6a9e8c643e7967143f8fa936,0.0211,0.0063,0.0957,0.1453,0.76,2.11,47.23,14.282351999999998,-12.172351999999998,0.4851,31.25,60.34,huatai-series13-candidates.results/6a9e8c643e7967143f8fa936.json,
HT13-HIST-ROA-6Q,1,completed,6a9e8ca3a7f535324660b05a,6a9e8ca4a7f535324660b05b,-0.0008,-0.0004,-0.0090,0.9249,0.08,-2.93,6.0,1.8144000000000002,-4.744400000000001,0.9946,18.7,66.67,huatai-series13-candidates.results/6a9e8ca4a7f535324660b05b.json,
HT13-ALPHA3,1,completed,6a9e8cd3cffa1665a2100bda,6a9e8cd4cffa1665a2100bdb,0.0294,0.0149,0.2751,0.0000,0.95,5.59,78.14,23.629536,-18.039536000000002,0.6069,33.31,61.67,huatai-series13-candidates.results/6a9e8cd4cffa1665a2100bdb.json,
HT13-ALPHA13,1,completed,6a9e8d15ecb163ea7228ca89,6a9e8d1551cdfe29b2e0b32e,0.0476,0.0177,0.2841,0.0000,0.83,5.28,84.26,25.480224,-20.200224,0.5455,36.81,63.33,huatai-series13-candidates.results/6a9e8d1551cdfe29b2e0b32e.json,
HT13-ALPHA15,1,completed,6a9e8d56cffa1665a2100bdd,6a9e8d57cffa1665a2100bde,0.0359,0.0143,0.2927,0.0000,0.98,5.96,86.58,26.181792,-20.221792,0.6305,32.11,63.33,huatai-series13-candidates.results/6a9e8d57cffa1665a2100bde.json,
HT13-ALPHA16,1,completed,6a9e8d983e7967143f8fa938,6a9e8d983e7967143f8fa939,0.0480,0.0167,0.2601,0.0001,0.85,5.79,85.32,25.800767999999994,-20.010767999999995,0.5799,35.87,63.33,huatai-series13-candidates.results/6a9e8d983e7967143f8fa939.json,
HT13-ALPHA44,1,completed,6a9e8dd7cffa1665a2100be0,6a9e8dd8cffa1665a2100be1,0.0454,0.0186,0.3351,0.0000,0.99,7.97,86.24,26.078976,-18.108976000000002,0.6736,36.29,61.67,huatai-series13-candidates.results/6a9e8dd8cffa1665a2100be1.json,
HT13-ALPHA50-TP,1,completed,6a9e8e163e7967143f8fa93b,6a9e8e173e7967143f8fa93c,0.0388,0.0133,0.2296,0.0004,0.96,5.22,79.7,24.10128,-18.88128,0.603,35.1,65.0,huatai-series13-candidates.results/6a9e8e173e7967143f8fa93c.json,
