# AlphaPROBE local aligned-net-excess candidates; direction=1
# alignment=2021-09-07..2026-09-07 cycle=5 label_offset=1 groups=10 round_trip_cost=0.006
F-NET01 ~ WMA(WMA(MA(WMA(WMA(WMA(MA(WMA(WMA(MA(WMA(WMA(WMA((1/(LOG(OPER_MAIN_PROFIT_TTM))),40),40),40),40),40),40),40),40),40),40),40),40),40) ~ 1
F-NET02 ~ MA(TS_MIN(MA(WMA(REF(WMA(WMA((1/(LOG(OPER_MAIN_PROFIT_TTM))),40),40),20),40),40),50),40) ~ 1
F-NET03 ~ MA(WMA(MA(WMA(WMA(WMA(WMA((1/(LOG(LOG(OPER_MAIN_PROFIT_TTM)))),40),40),40),40),40),40),40) ~ 1
F-NET04 ~ MA(TS_MIN(TS_MIN(MA(WMA(REF(WMA(WMA((1/(LOG(OPER_MAIN_PROFIT_TTM))),40),40),20),40),40),50),50),40) ~ 1
F-NET05 ~ MA(TS_MIN(MA(TS_MAX(SUM(WMA(WMA((1/(LOG(OPER_MAIN_PROFIT_TTM))),40),40),40),10),40),50),40) ~ 1
F-NET06 ~ MA(TS_MIN(TS_MIN(WMA(TS_MAX(WMA(WMA((1/(LOG(OPER_MAIN_PROFIT_TTM))),40),40),10),40),40),50),40) ~ 1
F-NET07 ~ MA(WMA(MA(WMA(WMA(WMA(WMA(MA(WMA(MA(WMA(WMA(WMA(WMA((1/(LOG(OPER_MAIN_PROFIT_TTM))),40),40),40),40),40),40),40),40),40),40),40),40),40),40) ~ 1
F-NET08 ~ MA(TS_MIN(MA(WMA(MA(WMA(WMA(WMA((1/(LOG(OPER_MAIN_PROFIT_TTM))),40),40),40),40),40),40),50),40) ~ 1
F-NET09 ~ MA(TS_MIN(MA(TS_MIN(REF(WMA(WMA((1/(LOG(OPER_MAIN_PROFIT_TTM))),40),40),30),20),40),50),40) ~ 1
F-NET10 ~ REF(TS_MIN(TS_MAX(WMA(TS_MIN(TS_MAX(TS_MEDIAN((1/(LOG(OPER_MAIN_PROFIT_TTM))),30),50),50),40),20),30),20) ~ 1
