name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
OSR3-RET40-BP-EQ,1,completed,6a9f71b551cdfe29b2e0b49c,6a9f71b56df2a192a47e7551,0.0844,0.0415,0.2820,0.0000,0.94,12.06,29.43,8.899632,3.160368,0.8247,34.26,60.0,osr3-ret40-value-candidates.results/6a9f71b56df2a192a47e7551.json,
OSR3-RET40-BP-REV2,1,completed,6a9f7209a7f535324660b21b,6a9f720a0f6165ec8f7f349a,0.0843,0.0435,0.2973,0.0000,0.93,12.98,34.73,10.502351999999998,2.477648000000002,0.8131,37.08,60.0,osr3-ret40-value-candidates.results/6a9f720a0f6165ec8f7f349a.json,
OSR3-RET40-BP-VAL2,1,completed,6a9f725e5d52c44d2f55bf62,6a9f725e5d52c44d2f55bf63,0.0760,0.0358,0.2408,0.0002,0.90,10.02,22.66,6.852384,3.1676159999999998,0.798,30.46,60.0,osr3-ret40-value-candidates.results/6a9f725e5d52c44d2f55bf63.json,
OSR3-RET40-EP-EQ,1,completed,6a9f72b63e7967143f8faa61,6a9f72b76df2a192a47e7555,0.0631,0.0259,0.1965,0.0025,0.87,6.71,28.67,8.669808,-1.9598079999999998,0.6683,29.34,58.33,osr3-ret40-value-candidates.results/6a9f72b76df2a192a47e7555.json,
OSR3-RET40-BP-EP,1,completed,6a9f73036df2a192a47e7559,6a9f73036df2a192a47e755a,0.0717,0.0295,0.2011,0.0020,0.82,5.8,20.85,6.305040000000001,-0.505040000000001,0.7091,24.03,58.33,osr3-ret40-value-candidates.results/6a9f73036df2a192a47e755a.json,
OSR3-RET40-BP-CFP,1,completed,6a9f735ccffa1665a2100e03,6a9f735ccffa1665a2100e04,0.0670,0.0319,0.2646,0.0001,0.91,10.12,21.69,6.559056,3.560943999999999,0.8024,31.14,61.67,osr3-ret40-value-candidates.results/6a9f735ccffa1665a2100e04.json,
OSR3-RET40-BP-EP-CFP,1,completed,6a9f73b9a7f535324660b21c,6a9f73ba6df2a192a47e755c,0.0605,0.0237,0.1833,0.0048,0.82,5.3,17.07,5.161968,0.13803199999999993,0.6873,25.28,58.33,osr3-ret40-value-candidates.results/6a9f73ba6df2a192a47e755c.json,
OSR3-RET40-BP-ROE,1,completed,6a9f741dcffa1665a2100e06,6a9f741ea7f535324660b21d,0.0694,0.0283,0.2043,0.0017,0.89,7.09,25.45,7.69608,-0.6060800000000004,0.7202,26.86,58.33,osr3-ret40-value-candidates.results/6a9f741ea7f535324660b21d.json,
OSR3-RET40-BP-EP-ROE,1,completed,6a9f747251cdfe29b2e0b49d,6a9f74733e7967143f8faa62,0.0543,0.0183,0.1348,0.0375,0.73,3.74,18.81,5.688143999999999,-1.9481439999999992,0.6332,21.28,58.33,osr3-ret40-value-candidates.results/6a9f74733e7967143f8faa62.json,
OSR3-RET40-BP-MA63,1,completed,6a9f74c7cffa1665a2100e07,6a9f74c7cffa1665a2100e08,0.0793,0.0374,0.2707,0.0000,0.95,11.09,28.7,8.67888,2.4111200000000004,0.7931,33.04,60.0,osr3-ret40-value-candidates.results/6a9f74c7cffa1665a2100e08.json,
OSR3-RET40-BP-TSRANK756,1,completed,6a9f751c51cdfe29b2e0b49e,6a9f751c51cdfe29b2e0b49f,0.0715,0.0360,0.2558,0.0001,0.86,12.26,35.11,10.617264,1.6427359999999993,0.742,40.2,60.0,osr3-ret40-value-candidates.results/6a9f751c51cdfe29b2e0b49f.json,
OSR3-RET40-BP-INTERACT,1,completed,6a9f75703e7967143f8faa67,6a9f7571a7f535324660b21f,0.0848,0.0417,0.2928,0.0000,0.90,13.18,34.57,10.453968,2.726032,0.8193,37.23,60.0,osr3-ret40-value-candidates.results/6a9f7571a7f535324660b21f.json,
