name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
OSR-RET5-20D,1,completed,6a9e6f52b2a0c66c643101c0,6a9e6f85b2a0c66c643101c7,0.0326,0.0189,0.1562,0.0161,0.43,-3.68,87.6,26.490239999999996,-30.170239999999996,0.1921,42.3,51.67,oversold-rebound-candidates.results/6a9e6f85b2a0c66c643101c7.json,
OSR-RET10-20D,1,completed,6a9e6f53b2a0c66c643101c1,6a9e6fcfb2a0c66c643101cb,0.0453,0.0235,0.1885,0.0038,0.50,-0.32,67.84,20.514816,-20.834816,0.299,42.2,53.33,oversold-rebound-candidates.results/6a9e6fcfb2a0c66c643101cb.json,
OSR-DD20-20D,1,completed,6a9e6f5305a51446c21e76b5,6a9e701605a51446c21e76b9,0.0133,0.0151,0.1233,0.0567,0.53,0.91,44.78,13.541472,-12.631472,0.3256,42.79,56.67,oversold-rebound-candidates.results/6a9e701605a51446c21e76b9.json,
OSR-MA20-20D,1,completed,6a9e6f54b2a0c66c643101c2,6a9e705ffada315e619d3926,0.0523,0.0272,0.2110,0.0012,0.55,1.97,55.17,16.683408,-14.713408,0.3725,41.55,55.0,oversold-rebound-candidates.results/6a9e705ffada315e619d3926.json,
OSR-RSI14-20D,1,completed,6a9e6f5405a51446c21e76b6,6a9e70a8b2a0c66c643101cd,0.0565,0.0264,0.2153,0.0010,0.71,5.28,50.53,15.280272,-10.000271999999999,0.5283,35.01,55.0,oversold-rebound-candidates.results/6a9e70a8b2a0c66c643101cd.json,
OSR-MFI14-20D,1,completed,6a9e6f55b2a0c66c643101c3,6a9e70edf8982abefd86e25c,0.0318,0.0111,0.1063,0.1002,0.43,-3.21,61.85,18.70344,-21.91344,0.241,47.49,55.0,oversold-rebound-candidates.results/6a9e70edf8982abefd86e25c.json,
OSR-Z20-20D,1,completed,6a9e6f55b2a0c66c643101c4,6a9e7137f8982abefd86e25e,0.0491,0.0248,0.2223,0.0007,0.64,3.36,75.56,22.849344000000002,-19.489344000000003,0.4667,32.21,53.33,oversold-rebound-candidates.results/6a9e7137f8982abefd86e25e.json,
OSR-RET5-RSI14-20D,1,completed,6a9e6f5605a51446c21e76b7,6a9e718200f37f69c51fbcf1,0.0460,0.0249,0.2061,0.0016,0.55,2.09,78.16,23.635583999999998,-21.545583999999998,0.3902,37.13,51.67,oversold-rebound-candidates.results/6a9e718200f37f69c51fbcf1.json,
OSR-RET5-DD20-20D,1,completed,6a9e6f5605a51446c21e76b8,6a9e71c8fada315e619d3928,0.0242,0.0182,0.1505,0.0203,0.49,-1.78,75.26,22.758624,-24.538624000000002,0.2448,43.62,53.33,oversold-rebound-candidates.results/6a9e71c8fada315e619d3928.json,
OSR-CAPITULATION-20D,1,completed,6a9e6f57b2a0c66c643101c5,6a9e720d05a51446c21e76c4,0.0025,0.0038,0.0414,0.5210,0.22,-0.55,90.11,27.249264,-27.799264,0.3127,36.9,51.67,oversold-rebound-candidates.results/6a9e720d05a51446c21e76c4.json,
OSR-SCALED-RET5-20D,1,completed,6a9e6f57b2a0c66c643101c6,6a9e724c52393bc2bd995ccd,0.0767,0.0248,0.1443,0.0260,0.60,-0.64,26.92,8.140608,-8.780608,0.5045,21.33,56.67,oversold-rebound-candidates.results/6a9e724c52393bc2bd995ccd.json,
