name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
OSR2-MODERATE-RSI35,1,completed,6a9e778a3e7967143f8fa90c,6a9e77a3a7f535324660afff,0.0389,0.0169,0.1565,0.0159,0.82,2.76,68.82,20.811168,-18.051167999999997,0.452,38.16,53.33,oversold-rebound-recovery-candidates.results/6a9e77a3a7f535324660afff.json,
OSR2-MODERATE-BIAS5,1,completed,6a9e778becb163ea7228ca5e,6a9e77f3cffa1665a2100b84,0.0211,0.0068,0.0748,0.2469,0.86,1.59,78.44,23.720256,-22.130256,0.426,31.56,55.0,oversold-rebound-recovery-candidates.results/6a9e77f3cffa1665a2100b84.json,
OSR2-MODERATE-DD60,1,completed,6a9e778b51cdfe29b2e0b2f5,6a9e783ecffa1665a2100b89,-0.0077,-0.0136,-0.1281,0.0478,0.96,-8.98,74.3,22.46832,-31.44832,0.0348,43.28,56.67,oversold-rebound-recovery-candidates.results/6a9e783ecffa1665a2100b89.json,
OSR2-RSI35-REC3,1,completed,6a9e778b6df2a192a47e7345,6a9e7888a7f535324660b004,-0.0027,-0.0054,-0.0501,0.4365,0.67,-6.64,81.28,24.579072,-31.219072,0.112,43.81,51.67,oversold-rebound-recovery-candidates.results/6a9e7888a7f535324660b004.json,
OSR2-RSI35-REC5,1,completed,6a9e778cecb163ea7228ca5f,6a9e78da5d52c44d2f55be3f,-0.0029,-0.0038,-0.0359,0.5764,0.55,-6.34,83.26,25.177824,-31.517824,0.129,41.15,51.67,oversold-rebound-recovery-candidates.results/6a9e78da5d52c44d2f55be3f.json,
OSR2-DD60-REC5,1,completed,6a9e778cecb163ea7228ca60,6a9e792951cdfe29b2e0b2f8,-0.0039,0.0009,0.0085,0.8945,0.36,-2.14,73.76,22.305024000000003,-24.445024000000004,0.2525,49.94,61.67,oversold-rebound-recovery-candidates.results/6a9e792951cdfe29b2e0b2f8.json,
OSR2-MA20-REC5,1,completed,6a9e778decb163ea7228ca61,6a9e797551cdfe29b2e0b2fc,0.0189,0.0072,0.0636,0.3243,0.14,-1.58,84.01,25.404624000000002,-26.984624000000004,0.2883,44.89,55.0,oversold-rebound-recovery-candidates.results/6a9e797551cdfe29b2e0b2fc.json,
OSR2-RSI-CROSS30,1,completed,6a9e778d6df2a192a47e7346,6a9e79c0a7f535324660b00a,0.0018,-0.0010,-0.0374,0.5614,0.42,1.57,89.86,27.173664,-25.603664,0.4305,35.13,58.33,oversold-rebound-recovery-candidates.results/6a9e79c0a7f535324660b00a.json,
OSR2-PRICE-CROSS-MA5,1,completed,6a9e778ea7f535324660affd,6a9e7a086df2a192a47e7350,0.0006,-0.0011,-0.0218,0.7343,0.05,-2.83,89.99,27.212975999999998,-30.042975999999996,0.2645,33.7,53.33,oversold-rebound-recovery-candidates.results/6a9e7a086df2a192a47e7350.json,
OSR2-RET20-REC5,1,completed,6a9e778eecb163ea7228ca62,6a9e7a4251cdfe29b2e0b301,0.0256,0.0134,0.1179,0.0684,0.64,4.15,84.3,25.49232,-21.34232,0.5199,41.91,60.0,oversold-rebound-recovery-candidates.results/6a9e7a4251cdfe29b2e0b301.json,
OSR2-RET20,1,completed,6a9e778fecb163ea7228ca63,6a9e7a7c51cdfe29b2e0b306,0.0637,0.0345,0.2552,0.0001,0.69,7.31,52.43,15.854832,-8.544832,0.5685,40.6,56.67,oversold-rebound-recovery-candidates.results/6a9e7a7c51cdfe29b2e0b306.json,
OSR2-RET40,1,completed,6a9e778fecb163ea7228ca64,6a9e7abba7f535324660b013,0.0731,0.0389,0.2718,0.0000,0.88,13.25,40.41,12.219983999999998,1.0300160000000016,0.7374,40.2,58.33,oversold-rebound-recovery-candidates.results/6a9e7abba7f535324660b013.json,
OSR2-DD60,1,completed,6a9e7790cffa1665a2100b83,6a9e7afc6df2a192a47e7356,0.0303,0.0230,0.1736,0.0075,0.79,9.82,26.03,7.871472000000001,1.9485279999999996,0.5804,43.49,53.33,oversold-rebound-recovery-candidates.results/6a9e7afc6df2a192a47e7356.json,
OSR2-DD120,1,completed,6a9e77906df2a192a47e7347,6a9e7b46ecb163ea7228ca6d,0.0329,0.0239,0.1841,0.0046,0.89,11.16,21.06,6.368544,4.791456,0.6278,38.08,58.33,oversold-rebound-recovery-candidates.results/6a9e7b46ecb163ea7228ca6d.json,
OSR2-SMOOTH-RSI28,1,completed,6a9e7790ecb163ea7228ca65,6a9e7b8f5d52c44d2f55be49,0.0578,0.0266,0.1933,0.0030,0.83,5.48,24.26,7.3362240000000005,-1.856224,0.5529,35.93,56.67,oversold-rebound-recovery-candidates.results/6a9e7b8f5d52c44d2f55be49.json,
