rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_periods,formula
1,0.0031631102319806814,0.003163110464811325,0.01668095774948597,0.0020536400843411684,-0.01654708757996559,-0.002446063794195652,0.0078562181442976,0.009715678450995928,0.0034172760788351297,0.0010333842862397433,0.008682294164756185,146,-0.14550318717956542,0.0029705576598644257,0.0008982966363430022,-0.14640148381590842,49,-0.037060534581542015,0.0033287391997873783,0.0010066107340157033,-0.038067145315557716,48,"Less(Greater($ratio_bm_ttm,0.01),30.0)"
2,0.02139434963464737,0.02139434963464737,0.0655616968870163,-0.006089667323976755,0.039158180356025696,-0.004966252949088812,0.04303586110472679,0.07222668602042003,0.03911840170621872,0.011829404675960541,0.060397281344459486,146,-0.09774129050118582,0.040302395820617676,0.012187444496154784,-0.10992873499734061,49,-0.051697146333754065,0.039527494460344315,0.01195311432480812,-0.06365026065856219,48,$ratio_bm_ttm
3,0.005199500825256109,0.005570436827838421,-0.000501825415994972,0.0003774517390411347,-0.007104713935405016,0.00031685124849900603,-0.0006343406857922673,0.004766234255408588,0.009481685236096382,0.002867261615395546,0.0018989726400130418,146,-0.13831296648297992,0.008128507062792778,0.002458060535788536,-0.14077102701876845,49,-0.043214771524071695,0.007835505530238152,0.002369456872344017,-0.04558422839641571,48,"Mul(30.0,Greater(Sign($ratio_pcf_ocf_ttm),0.01))"
4,0.00011790519783971831,0.00011791550787165761,0.0009269381989724934,0.0011733707506209612,0.008104223757982254,-0.0002662051119841635,0.008722948841750622,0.06787216745010795,0.056965894997119904,0.017226486647129058,0.05064568080297889,146,0.11626442670822144,0.05558433756232262,0.01680870367884636,0.09945572302937508,49,-0.003986695781350136,0.05498148873448372,0.016626402193307875,-0.02061309797465801,48,"Pow(0.01,Log($oper_main_profit_ttm))"
5,0.0062851193360984325,0.0062851193360984325,0.05834932252764702,0.0025432363618165255,0.0419335700571537,0.004448137246072292,0.03905061259865761,0.05598636824790746,0.03939272090792656,0.011912358802556991,0.04407400944535047,146,-0.1025367660181863,0.03968901187181473,0.012001957190036772,-0.11453872320822307,49,-0.04615135565400124,0.03854120522737503,0.011654860460758209,-0.057806216114759446,48,"Div(-1.0,$ratio_bm_ttm)"
6,0.0021080332808196545,0.002108033047989011,-0.009967013262212276,-0.008261018432676792,0.019049115478992462,0.0005993681261315942,0.002263289876282215,-0.04822651049862169,0.012728443369269371,0.003849081274867058,-0.05207559177348875,146,-0.2760714667184012,0.011108828708529472,0.0033593098014593125,-0.27943077651986054,49,-0.015156056452542544,0.01186472736299038,0.003587893554568291,-0.018743950007110835,48,"TsWMA(Greater($ratio_ep_ttm,$oper_main_profit_ttm),40)"
7,0.003994859289377928,0.003994859755039215,0.0034287956077605486,0.010341494344174862,0.0003963760973419994,-0.0006414285744540393,-0.0007884874939918518,0.05480973826695795,0.33419451117515564,0.10106042017936706,-0.04625068191240911,146,0.09867302860532488,0.34411463141441345,0.10406026453971863,-0.005387235934393747,49,-0.004446695605292916,0.3271923065185547,0.09894295349121093,-0.10338964909650385,48,"TsVar(Greater(TsSkew(TsMin($ratio_bm_ttm,20),20),Abs($ratio_pcf_ocf_ttm)),40)"
8,0.00031778935226611793,0.00031778926495462656,-0.010701613500714302,-0.0017213620012626052,-0.003362912917509675,0.002036444377154112,-0.014077367261052132,-0.08164935536580543,0.0674574077129364,0.02039912009239197,-0.1020484754581974,146,0.045672712581498284,0.06878142058849335,0.020799501585960386,0.0248732109955379,49,0.024348423443734647,0.06888274848461151,0.02083014314174652,0.0035182803019881276,48,$ratio_pcf_ocf_ttm
9,0.006614757236093283,0.006614757236093283,0.009332599118351936,0.015258200466632843,0.036069221794605255,0.011696193367242813,0.013867623172700405,-0.05768955994958747,0.55357825756073,0.16740206508636477,-0.22509162503595223,146,0.06740906238555908,0.42173871397972107,0.12753378710746763,-0.06012472472190855,49,-0.017126601934432984,0.5946099758148193,0.17981005668640138,-0.19693665862083437,48,"TsMaxDiff($ratio_sp_ttm,50)"
10,1.890941916826705e-06,1.8909416894530295e-06,0.0037552008870989084,0.0,-0.008483042009174824,0.0,-0.0004285216564312577,-0.05133489386676109,0.02688157558441162,0.008128988456726074,-0.05946388232348716,146,0.01822338402271271,0.027405550703406334,0.008287438532710075,0.009935945490002634,49,-0.012575378827750684,0.02382703125476837,0.007205294251441956,-0.01978067307919264,48,"Div(Pow(Log(Mul(-2.0,$ratio_ep_ttm)),1.0),$inventory)"
