rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,formula
1,0.021669797599315643,-0.021669797599315643,-0.05280807241797447,-0.0031884489580988884,-0.019059602171182632,0.01053442619740963,-0.01472178939729929,"Abs(Mul(-10.0,$vwap))"
2,0.00753292441368103,-0.00753292441368103,-0.052944526076316833,0.01061110571026802,-0.016187243163585663,0.00438688276335597,0.007601693272590637,"Div(1.0,Div($close,-0.01))"
3,0.031602777540683746,-0.031929854303598404,-0.05135386437177658,-0.030613098293542862,-0.07085973769426346,-0.017627233639359474,-0.05079178884625435,"Abs(Sub($volume,5.0))"
4,0.011774797923862934,-0.011774797923862934,-0.04860227182507515,-0.020659128203988075,-0.022777210921049118,0.010140495374798775,0.01298545952886343,"Abs(Sub(2.0,Inv(Log($close))))"
5,0.010496415197849274,-0.010496415197849274,-0.040180761367082596,0.00486324867233634,-0.036769188940525055,-0.0021758475340902805,-0.023729776963591576,"TsCorr(Sub(1.0,Abs(Log(Rank(Log(SLog1p($close)))))),$high,30)"
6,0.014284432865679264,-0.014284432865679264,0.005780904088169336,-0.006830180063843727,-0.010911787860095501,-0.014540080912411213,-0.0010423726635053754,"TsCov(TsMin(Abs(Div($vwap,0.5)),40),Less(Add($close,-2.0),0.5),10)"
7,0.01969863660633564,-0.01969863660633564,-0.052075713872909546,-0.024779880419373512,-0.0521581768989563,-0.019704602658748627,-0.04625355079770088,"TsCorr(Greater(1.0,$high),$volume,20)"
8,0.0072844373062253,0.007284437771886587,0.006330233998596668,0.004190939478576183,-0.00718854321166873,0.003587314859032631,-0.0009054398396983743,"Abs(Less(1.0,Log($close)))"
9,0.018680373206734657,-0.018680373206734657,-0.015363061800599098,-0.005643430165946484,-0.002780711045488715,0.005789137911051512,-0.0027619614265859127,"Div(Abs(TsMed(Abs(Sub(0.5,Rank($close))),30)),0.5)"
10,0.007061965763568878,-0.007095228414982557,0.0041343457996845245,-0.00241674343124032,-0.00989367812871933,-0.0060005891136825085,0.0032606113236397505,"Greater(Sub(-10.0,Sub(Div(Less(TsDelta(Mul($volume,10.0),20),-1.0),10.0),-10.0)),-0.01)"
