rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_periods,formula
1,0.023807311430573463,0.023807311430573463,0.04952918738126755,0.0036942732986062765,0.02693779394030571,-0.009869502857327461,-0.0027254493907094,0.036475261923384995,0.03642052039504051,0.011013565367460251,0.025461696555924743,146,0.08309918812343052,0.03424469754099846,0.010355596536397933,0.07274359158703259,49,-0.01405898854136467,0.03628547862172127,0.010972728735208511,-0.025031717276573183,48,"Mul($low,-10.0)"
2,0.0026472315657883883,0.002647231798619032,-0.011268147267401218,0.003222069935873151,-0.0016252609202638268,0.0062714084051549435,0.006188526283949614,-0.054267785810444454,0.013334854505956173,0.004032460002601147,-0.058300245813045604,146,-0.14308340549468995,0.012430431321263313,0.003758962431550026,-0.14684236792623998,49,0.0540659174323082,0.013294165953993797,0.004020155784487724,0.05004576164782048,48,"Mul($inventory,Log(Mul(Div(Pow(30.0,Sign($gr_total_asset_lyr)),30.0),$low)))"
3,0.006455108057707548,0.0066371182911098,-0.0049911197274923325,0.02817424386739731,0.019503153860569,0.005535061005502939,-0.0007062635268084705,-0.00471896959902489,0.013728102669119835,0.004151378247141838,-0.008870347846166728,146,0.09506687521934509,0.0120928343385458,0.0036568731039762496,0.09141000211536884,49,-0.004490243922919035,0.013080986216664314,0.003955690231919289,-0.008445934154838325,48,"Div(Rank($current_liabilities),-0.01)"
4,0.001175999059341848,0.0012049854267388582,-0.013750211335718632,0.004148288629949093,-0.00484082754701376,0.0007082571391947567,0.007414480671286583,-0.12312556733823803,0.021147871389985085,0.006395116308331489,-0.12952068364656952,146,-0.15697197573525565,0.013040686026215553,0.0039435034543275835,-0.16091547918958324,49,-0.055738748610019685,0.011401649564504623,0.0034478588283061978,-0.059186607438325885,48,$oper_roe_lyr
5,0.0034833296667784452,0.0034833296667784452,0.013680866919457912,-0.003009561914950609,0.015528755262494087,0.0014199643628671765,0.025452028959989548,0.023169206960560525,0.04256484657526016,0.012871609604358673,0.010297597356201851,146,0.006038287601300648,0.04016774892807007,0.012146727275848387,-0.006108439674547739,49,-0.02490423582494259,0.03771594166755676,0.011405300760269165,-0.03630953658521176,48,"Mul(Rank($high),$ratio_bm_ttm)"
6,0.00862779188901186,0.011259078979492188,0.020137779414653778,-0.0036624260246753693,-0.004473518114537001,-0.007091004401445389,-0.005962137132883072,-0.024435820277423075,0.018581239506602287,0.005618966826796532,-0.030054787104219605,146,0.05216758591788156,0.01990201696753502,0.0060183699309825905,0.046149215986898966,49,-0.06353356596082449,0.01837603561580181,0.005556913170218467,-0.06909047913104295,48,"Sub(-0.5,$gr_total_asset_lyr)"
7,0.003821508027613163,0.003821508027613163,-0.02144586108624935,0.0039086733013391495,-0.03217087686061859,0.0008236899739131331,-0.011894416995346546,0.09001586633185818,0.10708866268396378,0.03238361159563064,0.05763225473622754,146,0.13892185858317785,0.12665915489196777,0.03830172843933106,0.1006201301438468,49,0.07275529503822327,0.12378408014774323,0.037432305836677546,0.035322989201545724,48,"Div(5.0,Mul(Mul($ratio_pcf_ocf_ttm,Greater($oper_main_profit_ttm,2.0)),Abs($volume)))"
8,0.013707499019801617,0.013707499019801617,0.04463563859462738,0.016379131004214287,0.08205253630876541,-0.00036726114922203124,0.04626600071787834,-0.024578655255983954,0.23294004797935486,0.07044107050895691,-0.09501972576494086,146,0.22034763949257988,0.33218544721603394,0.10045287923812866,0.11989476025445121,49,0.06681221947073937,0.27449923753738403,0.08300856943130493,-0.016196349960565556,48,"Sub(10.0,TsDelta($vwap,50))"
9,0.005363444797694683,0.005363444797694683,0.04929373785853386,-0.018895940855145454,0.026805978268384933,-0.0038187073078006506,-0.0027890224009752274,0.036475261923384995,0.03642052039504051,0.011013565367460251,0.025461696555924743,146,0.08309918812343052,0.03424469754099846,0.010355596536397933,0.07274359158703259,49,-0.01405898854136467,0.03628547862172127,0.010972728735208511,-0.025031717276573183,48,Inv($low)
10,0.001238074735738337,0.0012380749685689807,0.008618824183940887,-0.0010661022970452905,-0.008747211657464504,0.005105250980705023,0.003252266673371196,0.0797010898590088,0.019201407209038734,0.005806505540013314,0.07389458431899548,146,-0.09992709159851074,0.01967230625450611,0.005948905411362648,-0.10587599700987338,49,-0.059503095969557766,0.01773425191640854,0.005362837779521941,-0.0648659337490797,48,"Log(TsMin(Mul(10.0,Rank($book_to_market_ratio_lf)),50))"
