expression,topic,depth,retriever_objective,train_ic,train_icir,train_rank_ic,train_periods,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_absolute_max_drawdown,train_excess_max_drawdown,valid_ic,valid_icir,valid_rank_ic,valid_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_absolute_max_drawdown,valid_excess_max_drawdown,test_ic,test_icir,test_rank_ic,test_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_absolute_max_drawdown,test_excess_max_drawdown
"Rank(Div($book_to_market_ratio_lf,$market_cap))",fundamental value,1,0.186564371402751,0.04441283270716667,0.3157261248316671,0.06213678792119026,728,0.202789384045013,0.07255829125642776,0.021941627275943756,0.18084775676906925,0.35366594791412354,0.11648029088973999,0.03662506490945816,0.3757223776076495,0.06607483327388763,241,0.2043017762047904,0.07358597218990326,0.022252397990226748,0.18204937821456366,0.17675000429153442,0.045738816261291504,0.011180587112903595,0.07344866880068235,0.040251877158880234,242,0.05164410956203938,0.06919635832309723,0.020924978756904602,0.03071913080513478,0.20062512159347534,0.13470757007598877
Rank($ratio_ep_ttm),fundamental value,0,0.051071141111857836,0.005663186311721802,0.0513191672012642,0.02458745799958706,728,0.04409056918261803,0.04245857149362564,0.012839472019672393,0.031251097162945635,0.17084133625030518,0.16967928409576416,-0.019503967836499214,-0.15706915893389403,0.0033696184400469065,241,-0.23077671187264578,0.04127749800682068,0.012482315397262574,-0.24325902726990836,0.10034745931625366,0.20951777696609497,-0.0036774552427232265,-0.036053814699581424,0.018241921439766884,242,-0.0372057119384408,0.04140331596136093,0.012520362746715544,-0.04972607468515634,0.13914239406585693,0.11737692356109619
Rank($book_to_market_ratio_lf),fundamental value,0,0.1119857953563987,0.031005220487713814,0.2582528453003268,0.061231579631567,728,0.07222668602042003,0.03911840170621872,0.011829404675960541,0.060397281344459486,0.2212892770767212,0.13443028926849365,0.0006198428454808891,0.0052982400199771545,0.035624176263809204,241,-0.09774129050118582,0.040302395820617676,0.012187444496154784,-0.10992873499734061,0.14704573154449463,0.13545691967010498,0.00036791927414014935,0.002193592628268224,0.03213115781545639,242,-0.051697146333754065,0.039527494460344315,0.01195311432480812,-0.06365026065856219,0.16811543703079224,0.1293068528175354
"TsRank($close,20)",interday price movements,0,-0.13061436193051587,0.02229974791407585,0.19585610309591392,0.037719354033470154,728,-0.04795830943813063,0.7369319200515747,0.2228482126235962,-0.27080652206172684,0.37709659337997437,0.18121272325515747,0.019808946177363396,0.22991572963967183,0.047465234994888306,241,-0.01481757823910032,0.6968397498130798,0.21072434034347534,-0.22554191858257566,0.17835330963134766,0.08432275056838989,0.009322421625256538,0.06560171493650564,0.03765677288174629,242,0.039099143072962764,0.7262104153633118,0.2196060296058655,-0.18050688653290275,0.30030357837677,0.15328454971313477
"TsRank(Add($close,TsMean($close,20)),20)",interday price movements,1,-0.12611210558198385,0.024554746225476265,0.21261483686997407,0.044272925704717636,728,-0.03562651325578559,0.6243063807487488,0.18879024953842163,-0.22441676279420722,0.35071784257888794,0.14393514394760132,0.0172807015478611,0.18039362988918486,0.05075406655669212,241,-0.007198179193905422,0.6040908098220825,0.18267706089019775,-0.18987524008410317,0.16736960411071777,0.08981877565383911,0.007392854429781437,0.049760903151856065,0.04200895130634308,242,-0.02303319051861763,0.6268925666809082,0.18957231216430664,-0.21260550268292427,0.27895861864089966,0.14007937908172607
"TsRank($volume,20)",interday price movements,1,-0.13552154805552719,0.013335855677723885,0.19036829630478225,0.023881986737251282,728,-0.025529907664207565,0.8269932270050049,0.2500827518463135,-0.27561265951052105,0.3368836045265198,0.1268520951271057,0.02258964255452156,0.3102897102359005,0.04030508175492287,241,0.03196495005062648,0.8274174928665161,0.2502110498428345,-0.218246099792208,0.2062472105026245,0.06107586622238159,0.01083322986960411,0.14810368355133954,0.026454545557498932,242,0.027889381907880307,0.8284958004951477,0.25053713006973266,-0.22264774816185234,0.21791523694992065,0.04609692096710205
"TsRank(Sub($turnover,TsMean($turnover,20)),20)",interday price movements,2,-0.1413805624509354,0.007313299924135208,0.10973790183713873,0.007218774873763323,728,-0.006727106971283482,0.8055791258811951,0.24360712766647338,-0.2503342346377569,0.31912583112716675,0.09821248054504395,0.010556734167039394,0.1550700557740668,0.0207512266933918,241,-0.003086813539266586,0.8072519302368164,0.24411298370361328,-0.24719979724287988,0.17219984531402588,0.05610501766204834,0.007707107346504927,0.1123091891650816,0.009100004099309444,242,0.024094942957162857,0.8161365985870361,0.24679970741271973,-0.22270476445555687,0.21044951677322388,0.0500529408454895
"TsRank($turnover,20)",interday price movements,1,-0.13711566386369217,0.01320833433419466,0.18403035692793818,0.019613124430179596,728,-0.026075316863517238,0.8271217346191406,0.25012161254882814,-0.27619692941234536,0.3383411765098572,0.1266932487487793,0.026016848161816597,0.3469763915115207,0.04430863633751869,241,0.036562298451151165,0.8270448446273804,0.25009836101531985,-0.21353606256416868,0.2068728804588318,0.06139194965362549,0.010370491072535515,0.13938272011901215,0.02425980754196644,242,0.023596448544412854,0.828496515750885,0.2505373463630676,-0.22694089781865479,0.21834754943847656,0.04687356948852539
"TsRank(Add($close,TsCov($close,$volume,20)),20)",interday price movements,2,-0.12669840020771478,0.015267860144376755,0.25988553357381833,0.02560345269739628,728,0.06098462286060804,0.7663649916648865,0.23174877347946166,-0.1707641506188536,0.28914105892181396,0.04417562484741211,0.032939519733190536,0.5455630954237306,0.048707395792007446,241,0.1721226555960519,0.760494589805603,0.22997356395721436,-0.05785090836116247,0.15974384546279907,0.022800207138061523,0.00786863174289465,0.17197386782927046,0.015782209113240242,242,-0.026653264090418818,0.7809242010116577,0.23615147838592532,-0.2628047424763441,0.22652685642242432,0.08002269268035889
"TsDelta(Rank($ratio_ep_ttm),2)",fundamental value,1,-0.1358838708587958,0.013141212984919548,0.18926064255350555,0.011066433973610401,728,-0.04301421817851393,0.8045051097869873,0.24328234519958497,-0.2862965633780989,0.34450244903564453,0.1269499659538269,0.017571521922945976,0.3398465532253645,0.02608647570014,241,-0.02636004516056606,0.8275203704833984,0.25024216003417965,-0.2766022051947457,0.1717345118522644,0.0695154070854187,0.0028984828386455774,0.04031709279915997,0.005439023021608591,242,-0.03670099228620529,0.8228561282157898,0.24883169317245485,-0.2855326854586601,0.24493879079818726,0.10985392332077026
