expression,topic,depth,retriever_objective,train_ic,train_icir,train_rank_ic,train_size_corr,train_periods,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_absolute_max_drawdown,train_excess_max_drawdown,valid_ic,valid_icir,valid_rank_ic,valid_size_corr,valid_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_absolute_max_drawdown,valid_excess_max_drawdown,test_ic,test_icir,test_rank_ic,test_size_corr,test_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_absolute_max_drawdown,test_excess_max_drawdown
"Div(Div($amount,$volume),$high)",intraday price-volume,0,0.08890873641999052,0.009873087517917156,0.17981135498507772,0.03445117175579071,0.20077556371688843,728,0.06971048075858861,0.03679060935974121,0.011125480270385742,0.05858500048820287,0.32252663373947144,0.08330857753753662,0.016858646646142006,0.30990701232093776,0.02826959453523159,0.18471725285053253,241,0.1621629238128662,0.02697976492345333,0.008158680912852287,0.1540042429000139,0.17920023202896118,0.03199273347854614,0.026308713480830193,0.29334033195087433,0.05012011528015137,0.0925220400094986,242,0.19689728021621705,0.17159868776798248,0.051891443181037895,0.14500583703517916,0.1116519570350647,0.06670016050338745
"Div(Rank(Div($amount,$volume)),Rank($high))",intraday price-volume,1,0.142350917352071,0.010752931237220764,0.14796884605092206,-0.0007746720802970231,0.23332422971725464,728,0.15017006331927157,0.04553256556391716,0.01376904782652855,0.13640101549274303,0.300751268863678,0.02700561285018921,0.0036247610114514828,0.037355667728398524,0.0013580876402556896,0.24142897129058838,241,0.15129235982894898,0.052570074796676636,0.015897190618515016,0.13539516921043396,0.1547091007232666,0.03324711322784424,0.0075436304323375225,0.07585595833413503,0.003955541178584099,0.2816469073295593,242,0.10482396595180035,0.17035049200057983,0.05151398878097534,0.053309977170825015,0.1868402361869812,0.12830305099487305
"Sub(Div(Div($amount,$volume),$high),TsMean($high,2))",intraday price-volume,1,0.0732225662260084,0.024308985099196434,0.3021660908686681,0.05374995619058609,0.22936594486236572,728,0.04545229950996295,0.038384806364774704,0.01160756544470787,0.03384473406525508,0.33365917205810547,0.18820762634277344,0.0062615410424768925,0.07709011822566766,0.026111189275979996,0.19057579338550568,241,0.07629175697054182,0.03859985992312431,0.011672597640752793,0.06461915932978902,0.19328641891479492,0.10576754808425903,-0.009512465447187424,-0.07578307924537664,0.014483155682682991,0.2704432010650635,242,-0.011839703377336265,0.03953525796532631,0.011955462008714677,-0.02379516538605094,0.19864773750305176,0.15500622987747192
"Sub(Div(Div($amount,$volume),$high),TsPctChange(TsMean($high,2),2))",intraday price-volume,3,-0.079665460794983,0.020022684708237648,0.2522042488168313,0.021588154137134552,0.11178231984376907,728,0.006591356515067898,0.2866731286048889,0.0866899540901184,-0.0800985975750505,0.3221319913864136,0.07665437459945679,0.032431311905384064,0.3848786028581117,0.041785355657339096,0.10815240442752838,241,0.09414286187716893,0.46631377935409546,0.14101328687667847,-0.04687042499950954,0.18840301036834717,0.04558408260345459,0.009253120049834251,0.07841644334932525,0.014215308241546154,0.12249509990215302,242,0.10881137363612653,0.6539098024368286,0.19774232425689697,-0.08893095062077044,0.2282017469406128,0.10317099094390869
"TsRank($open,20)",interday price movements,1,-0.13170628557367972,0.01917596533894539,0.17472307836567785,0.03375564515590668,0.15150785446166992,728,-0.012121940516445735,0.7385668754577637,0.22334262313842773,-0.23546456365487348,0.3197885751724243,0.13578730821609497,0.017167305573821068,0.19062338281008007,0.04078921303153038,0.1367807686328888,241,-0.018056339876992362,0.7092044353485107,0.21446342124938964,-0.232519761126382,0.18719464540481567,0.07456374168395996,0.010496309958398342,0.07476850477946242,0.038274116814136505,0.16136732697486877,242,0.09809177331626416,0.7313899993896484,0.22117233581542967,-0.1230805624991655,0.23353391885757446,0.09544694423675537
"TsRank(SLog1p(TsSum($amount,15)),20)",interday price movements,3,-0.11271035012714328,0.018794987350702286,0.22010211134179858,0.030963968485593796,0.0875118225812912,728,0.027798341112594084,0.5311431884765625,0.1606177001953125,-0.1328193590827184,0.3358275890350342,0.04805111885070801,0.02955343760550022,0.3788981723536256,0.05709419026970863,0.11577571928501129,241,0.09242207152502878,0.5735292434692383,0.17343524322509765,-0.08101317170006887,0.1733865737915039,0.03584069013595581,0.01354256458580494,0.13953613242678475,0.03791438043117523,0.10662218928337097,242,0.02401560097932816,0.5065195560455322,0.15317151374816895,-0.1291559127688408,0.23635774850845337,0.10476928949356079
"Div(Div($amount,TsSum($volume,2)),$high)",intraday price-volume,1,-0.1010737245187162,0.003360062837600708,0.06152076344315034,0.0032104391139000654,0.07748162001371384,728,0.04450550691722191,0.4315450191497803,0.13049921379089355,-0.08599370687367164,0.3139764666557312,0.07737094163894653,0.0023235788103193045,0.04535360664008021,-0.002830951241776347,0.07977636903524399,241,0.10590297664914812,0.6234208345413208,0.1885224603652954,-0.08261948371614729,0.15183788537979126,0.03744840621948242,0.003239545738324523,0.05722875569266913,0.006281080190092325,0.07600916922092438,242,0.07303004264831543,0.759682834148407,0.22972808904647826,-0.15669804639816282,0.18472820520401,0.04863870143890381
"TsRank($close,20)",interday price movements,0,-0.13061436193051587,0.02229974791407585,0.19585610309591392,0.037719354033470154,0.15258266031742096,728,-0.04795830943813063,0.7369319200515747,0.2228482126235962,-0.27080652206172684,0.37709659337997437,0.18121272325515747,0.019808946177363396,0.22991572963967183,0.047465234994888306,0.13656191527843475,241,-0.01481757823910032,0.6968397498130798,0.21072434034347534,-0.22554191858257566,0.17835330963134766,0.08432275056838989,0.009322421625256538,0.06560171493650564,0.03765677288174629,0.16456590592861176,242,0.039099143072962764,0.7262104153633118,0.2196060296058655,-0.18050688653290275,0.30030357837677,0.15328454971313477
"TsRank(Mul($amount,TsPctChange($close,5)),20)",interday price movements,3,-0.13663433062076943,0.015811627730727196,0.15486740577706087,0.011115902103483677,0.13276048004627228,728,-0.04879579282786748,0.9063882827758789,0.2740918167114258,-0.3228876095392933,0.37406331300735474,0.17808175086975098,0.027332201600074768,0.3553620030482605,0.03962111100554466,0.12242377549409866,241,-0.014331981539726257,0.9049129486083984,0.2736456756591797,-0.28797765719890595,0.17300355434417725,0.08180588483810425,0.003937930800020695,0.033505241014032586,0.004156781360507011,0.13393846154212952,242,0.055344706401228905,0.9119333624839783,0.275768648815155,-0.2204239424139261,0.24637830257415771,0.07754361629486084
"TsRank($volume,20)",interday price movements,1,-0.13552154805552719,0.013335855677723885,0.19036829630478225,0.023881986737251282,0.08643481880426407,728,-0.025529907664207565,0.8269932270050049,0.2500827518463135,-0.27561265951052105,0.3368836045265198,0.1268520951271057,0.02258964255452156,0.3102897102359005,0.04030508175492287,0.10635466873645782,241,0.03196495005062648,0.8274174928665161,0.2502110498428345,-0.218246099792208,0.2062472105026245,0.06107586622238159,0.01083322986960411,0.14810368355133954,0.026454545557498932,0.08363422751426697,242,0.027889381907880307,0.8284958004951477,0.25053713006973266,-0.22264774816185234,0.21791523694992065,0.04609692096710205
