factor_id,factor_name,report,handler,formula,platform_net_excess_pct,platform_rank_ic,platform_direction,visible_composite,assignment_status,assigned_cluster,high_correlation_clusters,high_correlation_links,heuristic_components,nearest_base_factor,nearest_base_rho,nearest_base_abs_rho,reason
huatai-series13-candidates.report:HT13-MOMENTUM-120D,HT13-MOMENTUM-120D,huatai-series13-candidates.report.csv,momentum120,"RETURNS(CLOSE,120)",-32.864704,-0.0562,1,False,joined_existing_cluster,B05,B05,"[{""cluster"": ""B05"", ""factor"": ""HT13-MOMENTUM-120D-D0"", ""rho"": ""1.0""}, {""cluster"": ""B05"", ""factor"": ""NONHT-CHIP-COST-250"", ""rho"": ""-0.8376766803961521""}]",,HT13-MOMENTUM-120D-D0,1.0,1.0,connected to an existing base cluster at the 0.80 threshold
dls2014-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",-45.812944,-0.0052,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR-MA20-20D"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-CLOSE20-MOM-20260912"", ""rho"": ""-0.9999999997927121""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-OPEN20-MOM-20260912"", ""rho"": ""-0.9692924575305732""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-CLOSE20-MOM-20260911"", ""rho"": ""-0.9999999997927121""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-OPEN20-MOM-20260911"", ""rho"": ""-0.9692924575305732""}]",,OSR2-RET40,0.6084004421195814,0.6084004421195814,no 0.80 edge to existing base clusters; formed a new connected component
dls2014-full-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-full-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",-8.653903999999997,0.0624,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR-MA20-20D"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-CLOSE20-MOM-20260912"", ""rho"": ""-0.9999999997927121""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-OPEN20-MOM-20260912"", ""rho"": ""-0.9692924575305732""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-CLOSE20-MOM-20260911"", ""rho"": ""-0.9999999997927121""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-OPEN20-MOM-20260911"", ""rho"": ""-0.9692924575305732""}]",,OSR2-RET40,0.6084004421195814,0.6084004421195814,no 0.80 edge to existing base clusters; formed a new connected component
alphaprobe-final-20260914-candidates.report:F-A18,F-A18,alphaprobe-final-20260914-candidates.report.csv,ma_reversion40,"0 - CLOSE / MA(CLOSE,40)",-3.8568960000000008,0.0674,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""OSR-MA20-20D"", ""rho"": ""0.8244707170791474""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.9038012681211764""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.9038012681211764""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-CLOSE20-MOM-20260912"", ""rho"": ""-0.8792842536530596""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-OPEN20-MOM-20260912"", ""rho"": ""-0.8372572838018466""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-CLOSE20-MOM-20260911"", ""rho"": ""-0.8792842536530596""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-OPEN20-MOM-20260911"", ""rho"": ""-0.8372572838018466""}]",,OSR2-RET40,0.7970664949483249,0.7970664949483249,no 0.80 edge to existing base clusters; formed a new connected component
alphaprobe-gfn-platform-20260916-candidates.report:F-A18,F-A18,alphaprobe-gfn-platform-20260916-candidates.report.csv,ma_reversion40,"0 - CLOSE / MA(CLOSE,40)",-8.201951999999999,0.0646,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""OSR-MA20-20D"", ""rho"": ""0.8244707170791474""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.9038012681211764""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.9038012681211764""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-CLOSE20-MOM-20260912"", ""rho"": ""-0.8792842536530596""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-OPEN20-MOM-20260912"", ""rho"": ""-0.8372572838018466""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-CLOSE20-MOM-20260911"", ""rho"": ""-0.8792842536530596""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-OPEN20-MOM-20260911"", ""rho"": ""-0.8372572838018466""}]",,OSR2-RET40,0.7970664949483249,0.7970664949483249,no 0.80 edge to existing base clusters; formed a new connected component
huatai-series13-candidates.report:HT13-REVERSAL-20D,HT13-REVERSAL-20D,huatai-series13-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",-8.653903999999997,0.0624,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR-MA20-20D"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-CLOSE20-MOM-20260912"", ""rho"": ""-0.9999999997927121""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-OPEN20-MOM-20260912"", ""rho"": ""-0.9692924575305732""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-CLOSE20-MOM-20260911"", ""rho"": ""-0.9999999997927121""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-OPEN20-MOM-20260911"", ""rho"": ""-0.9692924575305732""}]",,OSR2-RET40,0.6084004421195814,0.6084004421195814,no 0.80 edge to existing base clusters; formed a new connected component
turnover-cost-cycle10-candidates.report:HT13-REVERSAL-20D,HT13-REVERSAL-20D,turnover-cost-cycle10-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",-0.238567999999999,0.0867,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8792842515086297""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR-MA20-20D"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-CLOSE20-MOM-20260912"", ""rho"": ""-0.9999999997927121""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-OPEN20-MOM-20260912"", ""rho"": ""-0.9692924575305732""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-CLOSE20-MOM-20260911"", ""rho"": ""-0.9999999997927121""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-OPEN20-MOM-20260911"", ""rho"": ""-0.9692924575305732""}]",,OSR2-RET40,0.6084004421195814,0.6084004421195814,no 0.80 edge to existing base clusters; formed a new connected component
oversold-rebound-candidates.report:OSR-MA20-20D,OSR-MA20-20D,oversold-rebound-candidates.report.csv,ma_drawdown20,"RANK(1 - CLOSE / MA(CLOSE,20))",-14.713408,0.0523,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8244707170791474""}, {""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.8244707170791474""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""OSR-RET10-20D"", ""rho"": ""0.8857530850940221""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8777619391786947""}, {""cluster"": ""N01"", ""factor"": ""OSR-Z20-20D"", ""rho"": ""0.8841879105108095""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""0.8000388306627346""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""0.8777619391786947""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-CLOSE20-MOM-20260912"", ""rho"": ""-0.8000388356928299""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-CLOSE20-MOM-20260911"", ""rho"": ""-0.8000388356928299""}]",,OSR2-DD60,0.6049071127560149,0.6049071127560149,no 0.80 edge to existing base clusters; formed a new connected component
oversold-rebound-candidates.report:OSR-RET10-20D,OSR-RET10-20D,oversold-rebound-candidates.report.csv,reversal10,"RANK(1 - RETURNS(CLOSE,10))",-20.834816,0.0453,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""OSR-MA20-20D"", ""rho"": ""0.8857530850940221""}, {""cluster"": ""N01"", ""factor"": ""OSR-Z20-20D"", ""rho"": ""0.8017776709121881""}]",,OSR2-DD60,0.5073860911751257,0.5073860911751257,no 0.80 edge to existing base clusters; formed a new connected component
oversold-rebound-candidates.report:OSR-RSI14-20D,OSR-RSI14-20D,oversold-rebound-candidates.report.csv,rsi14,"RANK(1 - RSI(CLOSE,14) / 100)",-10.000271999999999,0.0565,1,False,new_independent_cluster,N01,N01,"[{""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.9038012681211764""}, {""cluster"": ""N01"", ""factor"": ""F-A18"", ""rho"": ""0.9038012681211764""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""DLS14-STREV-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""OSR-MA20-20D"", ""rho"": ""0.8777619391786947""}, {""cluster"": ""N01"", ""factor"": ""OSR-Z20-20D"", ""rho"": ""0.8727316460402229""}, {""cluster"": ""N01"", ""factor"": ""OSR2-MODERATE-RSI35"", ""rho"": ""0.80362523088053""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""HT13-REVERSAL-20D"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""OSR2-RET20"", ""rho"": ""0.8110935495275533""}, {""cluster"": ""N01"", ""factor"": ""OSR-RSI14-20D"", ""rho"": ""1.0""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-D0-CLOSE20-MOM-20260912"", ""rho"": ""-0.8110935555945081""}, {""cluster"": ""N01"", ""factor"": ""WF6AA4-CLOSE20-MOM-20260911"", ""rho"": ""-0.8110935555945081""}]",,OSR2-DD60,0.6868591533373413,0.6868591533373413,no 0.80 edge to existing base clusters; formed a new connected component
