cluster,record_count,member_names,representative,representative_platform_net_excess_pct,representative_platform_rank_ic,negative_net_member_count
B01,4,H03-T10-SINGLE;SIZE-ONLY-20260911;VERIFY-G260910-13;VERIFY10-G260910-13,SIZE-ONLY-20260911,21.433287999999997,-0.0558,0
B02,3,HT13-TURN-BIAS-1M;HT13-TURN-BIAS-1M;HT13-TURN-BIAS-1M-POS,HT13-TURN-BIAS-1M,6.428368,-0.0652,0
B03,2,OSR2-RET40;OSR2-RET40,OSR2-RET40,5.030975999999999,0.0908,0
B04,2,OSR2-DD120;OSR2-DD120,OSR2-DD120,4.791456,0.0329,0
B05,3,HT13-MOMENTUM-120D-D0;NONHT-CHIP-COST-250;HT13-MOMENTUM-120D,NONHT-CHIP-COST-250,4.279336,0.0677,1
B06,1,F-NET01-PLAT-20260914,F-NET01-PLAT-20260914,13.628703999999999,0.0577,0
B07,1,NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,3.3196399999999997,0.0202,0
B08,1,HT13-VALUE-BP,HT13-VALUE-BP,2.098992,0.0524,0
B09,1,OSR2-DD60,OSR2-DD60,1.9485279999999996,0.0303,0
B10,1,paper-derived-asset-growth,paper-derived-asset-growth,0.76496,-0.0115,0
B11,1,NONHT-RESVOL-LOW,NONHT-RESVOL-LOW,0.37087199999999987,0.0884,0
B12,1,HT13-VALUE-SP,HT13-VALUE-SP,0.11094400000000004,0.0333,0
N01,18,F-A18;F-A18;DLS14-STREV-20D;DLS14-STREV-20D;HT13-REVERSAL-20D;OSR-RET10-20D;OSR-MA20-20D;OSR-RSI14-20D;OSR-Z20-20D;OSR2-MODERATE-RSI35;OSR2-RET20;HT13-REVERSAL-20D;OSR2-RET20;OSR-RSI14-20D;WF6AA4-D0-CLOSE20-MOM-20260912;WF6AA4-D0-OPEN20-MOM-20260912;WF6AA4-CLOSE20-MOM-20260911;WF6AA4-OPEN20-MOM-20260911,OSR2-RET20,-0.10252000000000017,0.0881,18
N02,2,NEW-GROWTH-REV-TTM;HT13-GROWTH-NP,NEW-GROWTH-REV-TTM,-2.219848,-0.0004,2
N03,1,NEW-GROWTH-ROE-TTM,NEW-GROWTH-ROE-TTM,-2.431872,0.0113,1
N04,1,NEW-HIST-ROE-6Q,NEW-HIST-ROE-6Q,-2.711384,-0.0022,1
N05,1,HT13-VALUE-EP,HT13-VALUE-EP,-3.876608,0.0174,1
N06,1,HT13-VALUE-OCFP-LOW-PCF,HT13-VALUE-OCFP-LOW-PCF,-2.8355360000000003,-0.013,1
N07,1,HT13-GROWTH-OCF,HT13-GROWTH-OCF,-0.6043680000000002,0.0034,1
N08,1,HT13-TURN-STD-1M,HT13-TURN-STD-1M,-4.2477279999999995,-0.0671,1
N09,3,HT13-VOL-STD-1M;NONHT-MAX-LOW-21D;OSR-SCALED-RET5-20D,NONHT-MAX-LOW-21D,-5.908552,0.0862,3
N10,2,HT13-QUALITY-ROE;REPORT-ROIC-TTM-10D-20260910,REPORT-ROIC-TTM-10D-20260910,-9.5036,-0.0062,2
N11,1,HT13-QUALITY-CASH-DEBT,HT13-QUALITY-CASH-DEBT,-3.1094399999999998,0.0042,1
N12,1,HT13-HIST-EP-2Q,HT13-HIST-EP-2Q,-12.172351999999998,0.0211,1
N13,1,HT13-HIST-ROA-6Q,HT13-HIST-ROA-6Q,-4.744400000000001,-0.0008,1
N14,2,HT13-ALPHA44;HT13-ALPHA44,HT13-ALPHA44,-9.623712,0.0396,2
N15,1,NONHT-MAX5-LOW-21D,NONHT-MAX5-LOW-21D,-11.930792,0.0155,1
N16,1,NONHT-SKEW-LOW-60D,NONHT-SKEW-LOW-60D,-0.4400720000000007,0.0474,1
N17,1,NONHT-CASH-CONVERSION,NONHT-CASH-CONVERSION,-0.02025599999999983,0.012,1
N18,1,NONHT-LOW-BETA,NONHT-LOW-BETA,-15.45632,0.0096,1
N19,1,OSR-RET5-20D,OSR-RET5-20D,-30.170239999999996,0.0326,1
N20,1,OSR-DD20-20D,OSR-DD20-20D,-12.631472,0.0133,1
N21,1,OSR-MFI14-20D,OSR-MFI14-20D,-21.91344,0.0318,1
N22,1,OSR2-MODERATE-BIAS5,OSR2-MODERATE-BIAS5,-22.130256,0.0211,1
N23,1,OSR2-MODERATE-DD60,OSR2-MODERATE-DD60,-31.44832,-0.0077,1
N24,1,OSR2-RSI-CROSS30,OSR2-RSI-CROSS30,-25.603664,0.0018,1
N25,1,OSR2-PRICE-CROSS-MA5,OSR2-PRICE-CROSS-MA5,-30.042975999999996,0.0006,1
N26,1,OSR2-SMOOTH-RSI28,OSR2-SMOOTH-RSI28,-1.856224,0.0578,1
N27,1,paper-derived-roe,paper-derived-roe,-13.295488,-0.0114,1
N28,1,paper-derived-profitability,paper-derived-profitability,-4.4671520000000005,0.0287,1
N29,1,REPORT-HIST-NETMARGIN-6Q-10D-20260910,REPORT-HIST-NETMARGIN-6Q-10D-20260910,-4.215712,0.0056,1
N30,1,REPORT-HIST-ASSETTURN-6Q-10D-20260910,REPORT-HIST-ASSETTURN-6Q-10D-20260910,-1.27048,0.0053,1
N31,1,HT13-NEW-HIST-GPM-6Q,HT13-NEW-HIST-GPM-6Q,-6.8099039999999995,-0.0002,1
N32,1,HT13-NEW-ALPHA40,HT13-NEW-ALPHA40,-17.020736,0.069,1
N33,2,WF6AA4-D0-PYTHON-OBV-20260912;WF6AA4-PYTHON-OBV-20260911,WF6AA4-D0-PYTHON-OBV-20260912,-13.104599999999998,-0.0143,2
