factor_a_id,factor_a_name,factor_a_report,factor_a_handler,factor_a_formula,factor_a_direction,factor_a_platform_factor_direction,factor_a_platform_factor_id,factor_a_platform_run_id,factor_a_configured_cycle,factor_a_platform_rank_ic,factor_a_platform_ic_mean,factor_a_platform_ic_ir,factor_a_platform_ic_p_value,factor_a_platform_monotonicity,factor_a_platform_gross_excess_pct,factor_a_platform_turnover_pct,factor_a_platform_annual_cost_pct,factor_a_platform_net_excess_pct,factor_a_platform_long_sharpe,factor_a_platform_long_max_drawdown_pct,factor_a_platform_long_monthly_win_rate_pct,factor_a_local_net_excess_pct,factor_b_id,factor_b_name,factor_b_report,factor_b_handler,factor_b_formula,factor_b_direction,factor_b_platform_factor_direction,factor_b_platform_factor_id,factor_b_platform_run_id,factor_b_configured_cycle,factor_b_platform_rank_ic,factor_b_platform_ic_mean,factor_b_platform_ic_ir,factor_b_platform_ic_p_value,factor_b_platform_monotonicity,factor_b_platform_gross_excess_pct,factor_b_platform_turnover_pct,factor_b_platform_annual_cost_pct,factor_b_platform_net_excess_pct,factor_b_platform_long_sharpe,factor_b_platform_long_max_drawdown_pct,factor_b_platform_long_monthly_win_rate_pct,factor_b_local_net_excess_pct,correlation,abs_correlation,high_correlation,days,std,pair_rows,common_stocks_mean,common_stocks_min,common_stocks_max
dls2014-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e6545f8982abefd86e240,6a9e65459a167ed86a7f1b68,5,-0.0052,-0.0272,-0.1717,0.6001,0.95,-30.07,52.06,15.742944000000001,-45.812944,-1.3095,10.07,33.33,,dls2014-full-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-full-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e65c3fada315e619d3912,6a9e65c47f3a31832eb8bd17,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5697,40.64,56.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
dls2014-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e6545f8982abefd86e240,6a9e65459a167ed86a7f1b68,5,-0.0052,-0.0272,-0.1717,0.6001,0.95,-30.07,52.06,15.742944000000001,-45.812944,-1.3095,10.07,33.33,,huatai-series13-candidates.report:HT13-REVERSAL-20D,HT13-REVERSAL-20D,huatai-series13-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e8a9a6df2a192a47e7390,6a9e8a9a6df2a192a47e7391,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5696,40.64,56.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
dls2014-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e6545f8982abefd86e240,6a9e65459a167ed86a7f1b68,5,-0.0052,-0.0272,-0.1717,0.6001,0.95,-30.07,52.06,15.742944000000001,-45.812944,-1.3095,10.07,33.33,,turnover-cost-cycle10-candidates.report:HT13-REVERSAL-20D,HT13-REVERSAL-20D,turnover-cost-cycle10-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9fb802cffa1665a2100ee8,6a9fb803cffa1665a2100ee9,10,0.0867,0.0654,0.4653,0.0,0.85,10.48,70.89,10.718568,-0.238567999999999,0.6707,33.28,61.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
dls2014-full-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-full-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e65c3fada315e619d3912,6a9e65c47f3a31832eb8bd17,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5697,40.64,56.67,,huatai-series13-candidates.report:HT13-REVERSAL-20D,HT13-REVERSAL-20D,huatai-series13-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e8a9a6df2a192a47e7390,6a9e8a9a6df2a192a47e7391,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5696,40.64,56.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
dls2014-full-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-full-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e65c3fada315e619d3912,6a9e65c47f3a31832eb8bd17,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5697,40.64,56.67,,turnover-cost-cycle10-candidates.report:HT13-REVERSAL-20D,HT13-REVERSAL-20D,turnover-cost-cycle10-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9fb802cffa1665a2100ee8,6a9fb803cffa1665a2100ee9,10,0.0867,0.0654,0.4653,0.0,0.85,10.48,70.89,10.718568,-0.238567999999999,0.6707,33.28,61.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
dls2014-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e6545f8982abefd86e240,6a9e65459a167ed86a7f1b68,5,-0.0052,-0.0272,-0.1717,0.6001,0.95,-30.07,52.06,15.742944000000001,-45.812944,-1.3095,10.07,33.33,,oversold-rebound-recovery-candidates.report:OSR2-RET20,OSR2-RET20,oversold-rebound-recovery-candidates.report.csv,reversal20,"RANK(1 - RETURNS(CLOSE,20))",1,1,6a9e778fecb163ea7228ca63,6a9e7a7c51cdfe29b2e0b306,5,0.0637,0.0345,0.2552,0.0001,0.69,7.31,52.43,15.854832,-8.544832,0.5685,40.6,56.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
dls2014-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e6545f8982abefd86e240,6a9e65459a167ed86a7f1b68,5,-0.0052,-0.0272,-0.1717,0.6001,0.95,-30.07,52.06,15.742944000000001,-45.812944,-1.3095,10.07,33.33,,turnover-cost-cycle10-candidates.report:OSR2-RET20,OSR2-RET20,turnover-cost-cycle10-candidates.report.csv,reversal20,"RANK(1 - RETURNS(CLOSE,20))",1,1,6a9fb83f0f6165ec8f7f34e3,6a9fb8400f6165ec8f7f34e4,10,0.0881,0.054,0.4036,0.0,0.85,10.61,70.85,10.71252,-0.10252000000000017,0.6723,33.24,61.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
dls2014-full-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-full-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e65c3fada315e619d3912,6a9e65c47f3a31832eb8bd17,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5697,40.64,56.67,,oversold-rebound-recovery-candidates.report:OSR2-RET20,OSR2-RET20,oversold-rebound-recovery-candidates.report.csv,reversal20,"RANK(1 - RETURNS(CLOSE,20))",1,1,6a9e778fecb163ea7228ca63,6a9e7a7c51cdfe29b2e0b306,5,0.0637,0.0345,0.2552,0.0001,0.69,7.31,52.43,15.854832,-8.544832,0.5685,40.6,56.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
dls2014-full-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-full-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e65c3fada315e619d3912,6a9e65c47f3a31832eb8bd17,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5697,40.64,56.67,,turnover-cost-cycle10-candidates.report:OSR2-RET20,OSR2-RET20,turnover-cost-cycle10-candidates.report.csv,reversal20,"RANK(1 - RETURNS(CLOSE,20))",1,1,6a9fb83f0f6165ec8f7f34e3,6a9fb8400f6165ec8f7f34e4,10,0.0881,0.054,0.4036,0.0,0.85,10.61,70.85,10.71252,-0.10252000000000017,0.6723,33.24,61.67,,1.0,1.0,True,1211,0.0,6023080,4973.641618497109,4420.0,5200.0
alphaprobe-final-20260914-candidates.report:F-A18,F-A18,alphaprobe-final-20260914-candidates.report.csv,ma_reversion40,"0 - CLOSE / MA(CLOSE,40)",1,1,6aa7ac1c51cdfe29b2e0c5d6,6aa7ac1c5d52c44d2f55cad8,5,0.0674,0.0471,0.3188,0.0,0.71,8.1,39.54,11.956896,-3.8568960000000008,0.5736,41.09,56.67,,alphaprobe-gfn-platform-20260916-candidates.report:F-A18,F-A18,alphaprobe-gfn-platform-20260916-candidates.report.csv,ma_reversion40,"0 - CLOSE / MA(CLOSE,40)",1,1,6aaa43735d52c44d2f55ce57,6aaa43736df2a192a47e8d43,5,0.0646,0.0384,0.2892,0.0,0.67,3.51,38.73,11.711951999999998,-8.201951999999999,0.4393,43.66,53.33,,1.0,1.0,True,1211,0.0,6004355,4958.179190751445,4379.0,5196.0
