key,name,in_pool,platform_net_pct,platform_si,local_s_i,local_turnover,local_net,corr_size,add6_comb,delta_points
size_only,SIZE-ONLY-20260911,True,21.433287999999997,0.010244872746,0.009987146452762916,0.03768772011682446,-0.10491032977972073,-1.0,0.49780340045800003,0.0
t10_size_plus_impact_aggregate,T10-ADD-AGG-IMPACT-20260911,False,19.759592,0.032016046951,0.034726148927553886,0.27219980449740105,0.2260940820492591,0.695208916091489,0.43950179557400754,-2565.27061489567
t10_size_plus_impact_g13,T10-ADD-G13-20260911,False,19.622616,0.030609687605,0.033019765365521536,0.27031271463265377,0.2261392820395543,0.7105193222518402,0.4419740544702771,-2456.491223459809
t10_size_plus_impact_downside,T10-ADD-DOWNSIDE-IMPACT-20260911,False,19.39004,0.031610675250000005,0.03408500620631501,0.2762584551977267,0.2187171092238739,0.6834117184749838,0.44305242019129865,-2409.043131734861
t10_size_plus_impact,T10-SIZE-PLUS-IMPACT,False,18.157232,0.035246483999999995,0.03494368290358251,0.3080090460414191,0.20083592955380575,0.6054679017156352,0.41902367271552104,-3466.3080206690756
t10_size_plus_impact_bm,T10-ADD-BM-20260911,True,18.092280000000002,0.03725596,0.03591581872434741,0.3010100181206776,0.19595590427877435,0.5653119526332906,0.49780340045800003,0.0
t10_size_plus_impact_fscore,T10-ADD-FSCORE-20260911,False,17.476064,0.038184424668,0.03410548450354533,0.31865687321302916,0.1961385452564856,0.5574345968935539,0.4132769451016429,-3719.164035679713
t10_size_plus_impact_wc,T10-SIZE-PLUS-IMPACT-WC,False,17.443168,0.031779545036,0.03532630812590317,0.28261508526720863,0.19737425680125648,0.5863456032947421,0.42687417832688757,-3120.8857737689486
t10_size_plus_impact_dd120,T10-ADD-DD120-20260911,False,16.834384,0.029485456000000004,0.029368773802708307,0.32327688644830815,0.19166311399597757,0.5367928144020148,0.41120901780296076,-3810.1528368217278
book_to_market_lf_minus_size,VERIFY10-E260910-04,True,16.74068,0.016915119,0.015117154796414263,0.09729644033685864,0.17510771806576753,0.7203090625197331,0.49780340045800003,0.0
impact60,H03-T10-SINGLE,True,16.443255999999998,0.015785968169999998,0.015916142961871486,0.10526126311435474,0.18068094402676418,0.7512888131915212,0.49780340045800003,0.0
reversal_chip_turn_size_eq,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,False,16.383983999999998,0.032900570064000004,0.02810617553049909,0.3590894832998754,0.16784466449960506,0.44348824759317196,0.3881155210337537,-4826.26669466684
book_to_market_lf_plus_impact,VERIFY10-F260910-12,True,15.046176,0.015396024336,0.015406852818545863,0.09463084011603132,0.166817922257659,0.574343321477463,0.49780340045800003,0.0
t10_size_plus_wc_mcap,T10-SIZE-PLUS-WC-MCAP,False,14.581016,0.02985811812,0.030048383106818028,0.32291844728062546,0.16465904050785307,0.4322414528549345,0.39538509948008776,-4506.40524302814
t10_nomcap_plus_impact,T10-NOMCAP-PLUS-IMPACT,False,14.225216,0.033668843940000005,0.030588380031453255,0.3466206607389558,0.16755850554303575,0.3495413153569772,0.3904204933935306,-4724.847910836656
impact_abs_return60,VERIFY10-G260910-13,False,13.944184,0.011190566776999998,0.012141800706956432,0.10448530078129345,0.16268139744484772,0.8045641388910239,0.49489525067623186,-127.95859039779978
reversal_chip_turn_paper,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,False,12.774432000000001,0.034046325,0.028790393072166003,0.3602111128891254,0.12584230289605933,0.272306007949268,0.3924438161401759,-4635.82170998426
book_to_market_lf_div_oper_main_profit_ttm,F-N34-260921-T10,False,11.775072,0.004586702,0.007443409003061303,0.06214700205150506,0.10357719551674585,0.7572243354545328,0.42644089661944207,-3139.9501688965506
reversal_turn_paper,OSR2-RET40-TURN-BIAS-PAPER-EQ,False,11.643647999999999,0.032826086496,0.02921511537880635,0.37651473357484394,0.11666655461829104,0.3124912390221525,0.38010741189909575,-5178.623496591788
paper_composite,paper-derived-composite,False,11.202328,0.011437750344,0.010633541099872183,0.09436335941571303,0.11600408315158241,0.537472003904885,0.4473392863524582,-2220.4210206438415
reversal_chip_turn_eq,COMBO-DIRECT-OSR2-CHIP-TURN-EQ,False,8.662416,0.02515759813,0.02066255785915171,0.3928377980273773,0.08228375760239601,0.0990269443700071,0.3625684989104676,-5950.335668091427
reversal_chip_eq,COMBO-DIRECT-OSR2-CHIP-EQ,False,7.8760639999999995,0.020861070614999998,0.018511496427102758,0.4214475430814905,0.07048395753838346,0.08841701277194475,0.3635389428915329,-5907.636132924555
reversal_turn_eq,OSR2-RET40-TURN-BIAS-EQ,False,7.395975999999998,0.025384577988,0.020367375624446196,0.4620542399528347,0.07390331920458894,0.07326476655372366,0.3379721829941186,-7032.573568410784
reversal_turn_paper_nomcap,OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ,False,5.224711999999999,0.022301372939999998,0.019636881544120067,0.3735805941322601,0.04831660947563187,0.026162549835382735,0.36862098820971145,-5684.026138924698
reversal40,OSR2-RET40,False,5.030975999999999,0.019352234872000003,0.017793764854515205,0.5494255803565917,0.04118484802763936,0.046364200930792,0.31659705515929837,-7973.079193142873
turn_bias,HT13-TURN-BIAS-1M,False,4.962135999999999,0.014489505492000001,0.016786101126590947,0.33361339790324734,-0.29467080845447524,-0.07289570379462978,0.3765322678108995,-5335.929836472424
chip250,NONHT-CHIP-COST-250,False,4.279336,0.009270568553999999,0.012706069565582437,0.2433674611767964,0.060693586287701724,0.12471645121122639,0.41752546636205085,-3532.2291002217644
drawdown120,OSR2-DD120,False,4.246232,0.003869999775,0.0034572408311114872,0.2737640263875408,0.043194748799497036,0.09229939493508997,0.3758279123024327,-5366.9214788449635
ev_ebitda_proxy,NEW-VALUE-EVEBITDA,False,3.3196399999999997,0.001457041554,0.00080085930801982,0.07138872528983427,-0.013287767713058807,0.029319166422784256,0.48673027107127603,-487.21769301585607
weighted_reversal_lowturn,HT-WREV-LOWTURN-21D,False,2.7122639999999993,0.027090640139999997,0.025881513251198165,0.555085300069609,0.05199075612211192,0.08055094103547518,0.3279403587227935,-7473.973836349089
value_bm,F-B08-260921-T10,False,2.5085040000000003,0.004756155096,0.0036038765657411664,0.05678597077220715,0.029421019283925688,0.0560183038953674,0.4632040374285924,-1522.371973293936
momentum120,HT13-MOMENTUM-120D-D0,False,2.291336000000001,0.010719859850000001,0.012300878129445903,0.27258044257958536,-0.2931670694076423,-0.07065943177030395,0.4485363946912562,-2167.7482537367277
fscore_interact,NONHT-FSCORELIKE-REV40-INTERACT,False,1.8427599999999984,0.013888069812000001,0.010211062765741285,0.42566841314369236,0.021152080766637382,-0.04171541056095455,0.3363602844554447,-7103.497104112435
fscore_eq,NONHT-FSCORELIKE-REV40,False,1.8243760000000009,0.014324063031,0.009912687824484024,0.42507140295121,0.015375480884896084,-0.05785583406650628,0.34401354036214293,-6766.753844217713
asset_growth,F-AG260921-T10,False,0.367536,0.0006423269999999999,0.0004164229567799306,0.05572612763496458,-0.06082966834370263,-0.18506824714427067,0.4900096766136583,-342.92384915103645
cash_conversion,NONHT-CASH-CONVERSION,False,-0.02025599999999983,0.00019148868,6.753108347216977e-05,0.06909601303915694,-0.004119060753484725,-0.11083704412612616,0.46547491827139664,-1422.4532162105493
reversal20,OSR2-RET20,False,-0.10252000000000017,0.020150242571999998,0.0176478507025011,0.704491911210923,-0.012930448585909249,0.027875294553698204,0.28827013809106317,-9219.463544145223
momentum20,WF6AA4-D0-CLOSE20-MOM-20260912,False,-0.10252000000000017,0.020122383599999998,0.022395227136619338,0.6212339817250966,-0.40336339720765013,-0.027875260248772273,0.36378364178836026,-5896.86938146415
paper_composite_nomcap,PAPER-DERIVED-COMPOSITE-NOMCAP,False,-0.11499999999999999,0.00276284,0.002197188544636707,0.061205736877463335,0.004258602156887956,-0.04993666225817171,0.4476281589336255,-2207.710627072479
momentum20_open,WF6AA4-D0-OPEN20-MOM-20260912,False,-0.23581600000000158,0.017537799819,0.019896388530673603,0.6345547430305319,-0.3962453824945086,-0.022214110170508436,0.34710719666485845,-6630.63296689823
skew60_low,NONHT-SKEW-LOW-60D,False,-0.4400720000000007,0.007043778408000001,0.005985251379468285,0.3638101182659855,-0.0007546467189980255,0.09080072998161491,0.3986494267642939,-4362.774842523071
weighted_reversal,HT-WREV-21D,False,-0.8064719999999994,0.023677642575,0.020700778110627253,0.7065915223231862,-0.014377971190708008,0.05343282718041631,0.311099340803433,-8214.97862480095
quality_asset_turnover_tsrank378,REPORT-HIST-ASSETTURN-6Q-10D-20260910,False,-1.27048,0.000399807408,0.0001316120412948867,0.2999084506845119,-0.029973811391981235,-0.0015709788824995353,0.45283283364842114,-1978.7049396214713
exp_weighted_reversal63,HT13-EXPWRET-3M,False,-1.588487999999999,0.027275562974,0.022308275421428676,0.6243359843864419,-0.023146209089258657,0.05824233212485219,0.2945161930926179,-8944.637124076815
growth_revenue,NEW-GROWTH-REV-TTM,False,-2.219848,8.8008e-08,3.918294338255119e-05,0.07609523004490545,-0.025372245062666367,-0.1468562201502424,0.48985249327474273,-349.8399160633214
growth_roe,NEW-GROWTH-ROE-TTM,False,-2.431872,9.052396099999998e-05,5.354260320461283e-05,0.09460634112892893,-0.025345837364929062,-0.11612737122982159,0.4898584764663353,-349.57665563324866
ltmom_exhigh252_21,NONHT-LTMOM-EXHIGH-252-21,False,-2.933592,0.001239801006,0.0030903879122006536,0.18495801500671508,-0.0040750646931667425,0.24231430632979903,0.46444695277265047,-1467.6836981553809
quality_net_margin_tsrank378,REPORT-HIST-NETMARGIN-6Q-10D-20260910,False,-4.215712,0.00018222713599999997,7.722337560115373e-08,0.1952297690639394,-0.04282737814995205,-0.08445483983908438,0.48983619922473987,-350.5568542634474
rsi14,OSR-RSI14-20D,False,-4.676759999999999,0.009376061136,0.008797108618971245,0.6755741384697773,-0.04649367301294889,0.014077009439168616,0.242956850274626,-11213.248208068459
max_return21_low,NONHT-MAX-LOW-21D,False,-5.908552,0.010936372434,0.009312954311955576,0.5186389754024963,-0.04748655258556693,-0.026393693167497612,0.3122886782176489,-8162.6477785754505
alpha13,HT13-ALPHA13,False,-9.010624,0.005541272154,0.006522738625273984,0.8565407109493296,-0.10099418002620372,-0.08282860551535914,0.2161837770567171,-12391.263429656448
quality_roic,REPORT-ROIC-TTM-10D-20260910,False,-9.5036,0.00025293470399999997,0.00033971751319271387,0.08632240047789384,-0.0969217005413371,-0.3338690912166975,0.4690738508980056,-1264.1001806397562
alpha44,HT13-ALPHA44,False,-9.623712,0.0045926080200000005,0.00346718639009013,0.8755437736302036,-0.0993921187957153,-0.02029059047401159,0.19184499415450887,-13462.16987735361
max5_low21,NONHT-MAX5-LOW-21D,False,-11.930792,0.00071342625,0.0004394663574077805,0.8806580555705715,-0.12063667791524876,-0.04055962571917011,0.1913933176941487,-13482.04364160946
