candidate_a,candidate_b,correlation,abs_correlation,days,correlation_std,common_stocks_mean,common_stocks_min
SIZE,H03,0.7509391876147649,0.7509391876147649,120,0.04697849213775515,4934.866666666667,4331
SIZE,TURN,0.07330581210057721,0.07330581210057721,120,0.139889288065204,4422.416666666667,3623
SIZE,RET40,0.055375017270731776,0.055375017270731776,120,0.19883993173797596,4952.125,4379
SIZE,DD120,0.10291546921985813,0.10291546921985813,120,0.19117145282070092,4880.233333333334,4192
SIZE,CHIP250,0.14291565509635282,0.14291565509635282,120,0.1793087069736087,4743.85,3946
SIZE,EVEBITDA,0.1754551065855507,0.1754551065855507,120,0.030418279190875017,4881.525,4425
SIZE,BM,0.04184981003745246,0.04184981003745246,120,0.05182493751451759,4980.441666666667,4450
SIZE,DD60,0.08299894062449616,0.08299894062449616,120,0.1888406903318273,4935.733333333334,4334
SIZE,ASSET_GROWTH,0.19790299176346568,0.19790299176346568,120,0.040570084973270214,4984.566666666667,4455
SIZE,RESVOL,-0.06968358259890399,0.06968358259890399,120,0.1274499286815247,4422.416666666667,3623
SIZE,SP,-0.02706917703386439,0.02706917703386439,120,0.04853771169544757,4881.275,4423
H03,TURN,0.23352815473732805,0.23352815473732805,120,0.09600176909544005,4422.416666666667,3623
H03,RET40,0.010861741616712705,0.010861741616712705,120,0.14711333780040356,4934.866666666667,4331
H03,DD120,-0.024723442812746868,0.024723442812746868,120,0.15939128637898753,4880.233333333334,4192
H03,CHIP250,0.13653349585037897,0.13653349585037897,120,0.14763424043860984,4743.85,3946
H03,EVEBITDA,0.1615270604748202,0.1615270604748202,120,0.022640176253863515,4873.058333333333,4321
H03,BM,0.05148649640936043,0.05148649640936043,120,0.06748383768156338,4930.725,4326
H03,DD60,-0.08572087335386827,0.08572087335386827,120,0.15507880791342366,4934.866666666667,4331
H03,ASSET_GROWTH,0.046677871100565746,0.046677871100565746,120,0.0831791494632422,4934.841666666666,4331
H03,RESVOL,0.15057397878747494,0.15057397878747494,120,0.1028524391512219,4422.416666666667,3623
H03,SP,-0.06880085977790337,0.06880085977790337,120,0.056917839236667586,4872.25,4319
TURN,RET40,0.371711983890355,0.371711983890355,120,0.11838924569059359,4422.416666666667,3623
TURN,DD120,0.15102010498615348,0.15102010498615348,120,0.11718887203001309,4422.416666666667,3623
TURN,CHIP250,0.4024623771594944,0.4024623771594944,120,0.10091926504379245,4422.416666666667,3623
TURN,EVEBITDA,0.00411528241049421,0.00411528241049421,120,0.041103719840946275,4416.175,3618
TURN,BM,0.038978935881950554,0.038978935881950554,120,0.0921330041663338,4418.308333333333,3620
TURN,DD60,0.028782494763147256,0.028782494763147256,120,0.12364602076817362,4422.416666666667,3623
TURN,ASSET_GROWTH,-0.04290799567721119,0.04290799567721119,120,0.07634081582182257,4422.391666666666,3623
TURN,RESVOL,0.14306166290916264,0.14306166290916264,120,0.10564159127766083,4422.416666666667,3623
TURN,SP,0.012341670455863945,0.012341670455863945,120,0.08647239623325366,4415.175,3618
RET40,DD120,0.6003003502332763,0.6003003502332763,120,0.14123174883255912,4880.233333333334,4192
RET40,CHIP250,0.5904278913531654,0.5904278913531654,120,0.12260924228320702,4743.85,3946
RET40,EVEBITDA,0.017337404230675885,0.017337404230675885,120,0.07594422437885893,4877.175,4367
RET40,BM,0.08107596937143151,0.08107596937143151,120,0.16342827857647968,4947.983333333334,4374
RET40,DD60,0.6316955899957771,0.6316955899957771,120,0.17678129749923638,4935.733333333334,4334
RET40,ASSET_GROWTH,-0.02284233643265626,0.02284233643265626,120,0.11487287464654419,4952.1,4379
RET40,RESVOL,-0.010223899715553701,0.010223899715553701,120,0.17987494963489778,4422.416666666667,3623
RET40,SP,0.05757594374148492,0.05757594374148492,120,0.14129768717691898,4876.541666666667,4365
DD120,CHIP250,0.5961112238503828,0.5961112238503828,120,0.15296773164171773,4743.85,3946
DD120,EVEBITDA,0.10790719258072022,0.10790719258072022,120,0.05911824851880094,4848.633333333333,4185
DD120,BM,-0.11399108003863101,0.11399108003863101,120,0.10969109513293449,4876.091666666666,4187
DD120,DD60,0.7891675835510538,0.7891675835510538,120,0.10440379466041963,4880.233333333334,4192
DD120,ASSET_GROWTH,-0.012268877150069414,0.012268877150069414,120,0.11408984356918667,4880.208333333333,4192
DD120,RESVOL,-0.3895130395450664,0.3895130395450664,120,0.1081936765313254,4422.416666666667,3623
DD120,SP,-0.08080553670989812,0.08080553670989812,120,0.08977872937177414,4847.358333333334,4183
CHIP250,EVEBITDA,0.053013903011316324,0.053013903011316324,120,0.06280508420967815,4736.666666666667,3939
CHIP250,BM,0.171737304339611,0.171737304339611,120,0.11695243703323005,4739.708333333333,3941
CHIP250,DD60,0.3945108828233084,0.3945108828233084,120,0.1803587520474574,4743.85,3946
CHIP250,ASSET_GROWTH,-0.011712514594672267,0.011712514594672267,120,0.11502317322629535,4743.825,3946
CHIP250,RESVOL,0.0740366250287372,0.0740366250287372,120,0.17710747740638894,4422.416666666667,3623
CHIP250,SP,0.1003394424549245,0.1003394424549245,120,0.11095050758556595,4734.433333333333,3937
EVEBITDA,BM,-0.23331525047073823,0.23331525047073823,120,0.020643870393481745,4881.525,4425
EVEBITDA,DD60,0.09098505804201104,0.09098505804201104,120,0.05828037032937793,4873.333333333333,4324
EVEBITDA,ASSET_GROWTH,0.17524024428279142,0.17524024428279142,120,0.06338747841237184,4881.5,4425
EVEBITDA,RESVOL,-0.19342295911174745,0.19342295911174745,120,0.04316489979215427,4416.175,3618
EVEBITDA,SP,-0.27659975507150886,0.27659975507150886,120,0.029363655207565863,4878.516666666666,4423
BM,DD60,-0.13429915917526947,0.13429915917526947,120,0.13294612799859307,4931.591666666666,4329
BM,ASSET_GROWTH,0.10598986783481089,0.10598986783481089,120,0.06204946036712028,4980.416666666667,4450
BM,RESVOL,0.5275135757451548,0.5275135757451548,120,0.046283639108271,4418.308333333333,3620
BM,SP,0.5702169519620895,0.5702169519620895,120,0.03234442259542004,4881.275,4423
DD60,ASSET_GROWTH,-0.014342693510215287,0.014342693510215287,120,0.1087695518397633,4935.708333333333,4334
DD60,RESVOL,-0.36822798224398207,0.36822798224398207,120,0.11740280972206774,4422.416666666667,3623
DD60,SP,-0.0934693892589784,0.0934693892589784,120,0.11211698376580309,4872.55,4322
ASSET_GROWTH,RESVOL,-0.025270360901570563,0.025270360901570563,120,0.07717310150982466,4422.391666666666,3623
ASSET_GROWTH,SP,0.036293379181772174,0.036293379181772174,120,0.07299825956989876,4881.25,4423
RESVOL,SP,0.3443107417667156,0.3443107417667156,120,0.05514526164714677,4415.175,3618
