factor_count,all_total,low_corr_total,best_all_train_components,best_all_train_net_excess_pct,best_all_train_full_net_excess_pct,best_all_train_test_net_excess_pct,best_all_test_components,best_all_test_net_excess_pct,best_all_test_full_net_excess_pct,best_all_test_test_net_excess_pct,best_all_full_components,best_all_full_net_excess_pct,best_all_full_full_net_excess_pct,best_all_full_test_net_excess_pct,best_all_recent_components,best_all_recent_net_excess_pct,best_all_recent_full_net_excess_pct,best_all_recent_test_net_excess_pct,best_low_corr_train_components,best_low_corr_train_net_excess_pct,best_low_corr_train_full_net_excess_pct,best_low_corr_train_test_net_excess_pct,best_low_corr_test_components,best_low_corr_test_net_excess_pct,best_low_corr_test_full_net_excess_pct,best_low_corr_test_test_net_excess_pct
1,12,12,SIZE,17.272782630793042,17.125963541189346,16.898389001954918,H03,17.384693407445873,15.05824438046887,17.384693407445873,SIZE,17.125963541189346,17.125963541189346,16.898389001954918,H03,15.870163692663281,15.05824438046887,17.384693407445873,SIZE,17.272782630793042,17.125963541189346,16.898389001954918,H03,17.384693407445873,15.05824438046887,17.384693407445873
2,66,66,SIZE+RESVOL,19.570913582914752,16.30356516053744,11.228834182859861,SIZE+H03,18.677256403953383,18.661784270694636,18.677256403953383,SIZE+H03,18.661784270694636,18.661784270694636,18.677256403953383,H03+EVEBITDA,16.36090081407734,13.540249260566812,16.523520161626344,SIZE+RESVOL,19.570913582914752,16.30356516053744,11.228834182859861,SIZE+H03,18.677256403953383,18.661784270694636,18.677256403953383
3,220,220,SIZE+H03+RESVOL,21.35474701878973,18.372189522913636,13.739257062810001,SIZE+H03+RET40,17.641217932413603,15.04918871385125,17.641217932413603,SIZE+H03+RESVOL,18.372189522913636,18.372189522913636,13.739257062810001,SIZE+H03+EVEBITDA,15.164341143542218,15.052289012733395,17.02229042268547,SIZE+H03+RESVOL,21.35474701878973,18.372189522913636,13.739257062810001,SIZE+H03+RET40,17.641217932413603,15.04918871385125,17.641217932413603
4,495,495,SIZE+H03+CHIP250+RESVOL,19.106985345333893,16.791570168493656,13.19698921167755,SIZE+H03+TURN+RET40,18.383036060486415,15.121736507578854,18.383036060486415,SIZE+H03+EVEBITDA+RESVOL,18.122964821080416,18.122964821080416,18.126997116430516,SIZE+H03+EVEBITDA+RESVOL,17.932678340377528,18.122964821080416,18.126997116430516,SIZE+H03+CHIP250+RESVOL,19.106985345333893,16.791570168493656,13.19698921167755,SIZE+H03+TURN+RET40,18.383036060486415,15.121736507578854,18.383036060486415
5,792,792,SIZE+H03+TURN+CHIP250+RESVOL,19.127251006015683,16.361755287727778,12.068185169791807,SIZE+H03+TURN+RET40+EVEBITDA,17.646272074536206,14.341200774393888,17.646272074536206,SIZE+H03+TURN+EVEBITDA+RESVOL,16.81748744376074,16.81748744376074,16.06268384332242,SIZE+H03+EVEBITDA+ASSET_GROWTH+RESVOL,16.82247463301222,15.8332968279821,16.738373769049133,SIZE+H03+TURN+CHIP250+RESVOL,19.127251006015683,16.361755287727778,12.068185169791807,SIZE+H03+TURN+RET40+EVEBITDA,17.646272074536206,14.341200774393888,17.646272074536206
6,924,924,SIZE+H03+TURN+CHIP250+BM+RESVOL,17.200983768145203,13.168090926950107,6.904417889632208,SIZE+H03+TURN+RET40+EVEBITDA+ASSET_GROWTH,17.01366785805991,13.88435527369718,17.01366785805991,SIZE+H03+TURN+EVEBITDA+ASSET_GROWTH+RESVOL,15.719196376227993,15.719196376227993,14.8530729211279,SIZE+H03+TURN+EVEBITDA+ASSET_GROWTH+RESVOL,13.265357484973517,15.719196376227993,14.8530729211279,SIZE+H03+TURN+CHIP250+BM+RESVOL,17.200983768145203,13.168090926950107,6.904417889632208,SIZE+H03+TURN+RET40+EVEBITDA+ASSET_GROWTH,17.01366785805991,13.88435527369718,17.01366785805991
7,792,792,SIZE+H03+TURN+CHIP250+BM+ASSET_GROWTH+RESVOL,15.734377152346509,12.817725762581855,8.288275288535543,SIZE+H03+RET40+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,15.577655597504469,14.181316548706363,15.577655597504469,SIZE+H03+TURN+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,14.929628465067507,14.929628465067507,14.659475514881706,SIZE+H03+RET40+EVEBITDA+DD60+ASSET_GROWTH+RESVOL,11.23222341553346,12.118690061864115,14.65351139096844,SIZE+H03+TURN+CHIP250+BM+ASSET_GROWTH+RESVOL,15.734377152346509,12.817725762581855,8.288275288535543,SIZE+H03+RET40+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,15.577655597504469,14.181316548706363,15.577655597504469
8,495,495,SIZE+H03+TURN+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL+SP,14.45354115017552,13.128685637810397,11.072585465679223,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,15.182856631351239,13.73154462745767,15.182856631351239,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,13.73154462745767,13.73154462745767,15.182856631351239,SIZE+H03+TURN+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL,10.133215444960575,11.656360856548496,10.955368650996586,SIZE+H03+TURN+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL+SP,14.45354115017552,13.128685637810397,11.072585465679223,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,15.182856631351239,13.73154462745767,15.182856631351239
9,220,220,SIZE+H03+TURN+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,13.086852699409288,10.720434750992375,7.045883169853186,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,14.77771057592608,12.818080532782993,14.77771057592608,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,12.818080532782993,12.818080532782993,14.77771057592608,SIZE+H03+TURN+RET40+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL,8.70908327311951,10.524188545437111,11.415189928137833,SIZE+H03+TURN+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,13.086852699409288,10.720434750992375,7.045883169853186,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL,14.77771057592608,12.818080532782993,14.77771057592608
10,66,66,SIZE+H03+TURN+DD120+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,11.594949223831634,9.83161127127368,7.094681189584755,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+DD60+ASSET_GROWTH+RESVOL,12.628385059954002,10.95403362850999,12.628385059954002,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL+SP,11.430164353415833,11.430164353415833,11.867936724313191,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL,5.220902000516155,11.391334009408363,12.122796756030056,SIZE+H03+TURN+DD120+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,11.594949223831634,9.83161127127368,7.094681189584755,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+DD60+ASSET_GROWTH+RESVOL,12.628385059954002,10.95403362850999,12.628385059954002
