family,candidate,field,report_dedup,missing_mode,cov_method,cov_ddof,cov_precision,financial_unit_scale,finite_work_rows,finite_chart_rows,periods,local_rank_ic,local_gross_excess_pct,local_turnover_pct,local_net_excess_pct,platform_gross_excess_pct,local_gross_delta_pp,platform_net_excess_pct,platform_annual_cost_pct,local_net_using_platform_cost_pct,platform_cost_sensitivity_delta_pp,local_net_delta_pp,top20_overlap,platform_top_finite_count,error
D02,D02-comm_exp-cache-keep_missing_reports,comm_exp,cache,keep_missing_reports,,,,10000000.0,79490,9361,58,-0.004796750986492244,-11.223814287489285,2.8758169934640523,-12.093461346312814,2.59,-13.813814287489285,-24.731840000000002,27.32184,-38.545654287489285,-13.813814287489283,12.638378653687187,1,20,
D02,D02-comm_exp-cache-exclude_missing_reports,comm_exp,cache,exclude_missing_reports,,,,10000000.0,69332,8258,58,0.011040684498511633,-6.8530107373230775,2.258771929824561,-7.536063368902024,2.59,-9.443010737323078,-24.731840000000002,27.32184,-34.17485073732308,-9.443010737323075,17.195776631097978,1,20,
D02,D02-comm_exp-end_date_latest-keep_missing_reports,comm_exp,end_date_latest,keep_missing_reports,,,,10000000.0,79634,9357,58,-0.0047086449096473935,-11.097073096433407,2.7726178190574475,-11.935512724916379,2.59,-13.687073096433407,-24.731840000000002,27.32184,-38.41891309643341,-13.687073096433405,12.796327275083623,1,20,
D02,D02-comm_exp-end_date_latest-exclude_missing_reports,comm_exp,end_date_latest,exclude_missing_reports,,,,10000000.0,69332,8258,58,0.01112746218741746,-6.8586466724657695,2.008145363408521,-7.4659098303605065,2.59,-9.44864667246577,-24.731840000000002,27.32184,-34.18048667246577,-9.448646672465767,17.265930169639496,1,20,
D02,D02-comm_exp-field_store-field_store_nonempty_reports,comm_exp,field_store,field_store_nonempty_reports,,,,10000000.0,66280,7929,58,0.011426917546700707,-5.944654256694981,1.61364950838635,-6.432621868031013,2.59,-8.534654256694981,-24.731840000000002,27.32184,-33.26649425669498,-8.534654256694981,18.29921813196899,1,20,
D02,D02-insurance_exp-cache-keep_missing_reports,insurance_exp,cache,keep_missing_reports,,,,10000000.0,0,0,0,,,,,2.59,,-24.731840000000002,27.32184,,,,0,20,
D02,D02-insurance_exp-cache-exclude_missing_reports,insurance_exp,cache,exclude_missing_reports,,,,10000000.0,0,0,0,,,,,2.59,,-24.731840000000002,27.32184,,,,0,20,
D02,D02-insurance_exp-end_date_latest-keep_missing_reports,insurance_exp,end_date_latest,keep_missing_reports,,,,10000000.0,0,0,0,,,,,2.59,,-24.731840000000002,27.32184,,,,0,20,
D02,D02-insurance_exp-end_date_latest-exclude_missing_reports,insurance_exp,end_date_latest,exclude_missing_reports,,,,10000000.0,0,0,0,,,,,2.59,,-24.731840000000002,27.32184,,,,0,20,
D02,D02-insurance_exp-field_store-field_store_nonempty_reports,insurance_exp,field_store,field_store_nonempty_reports,,,,10000000.0,0,0,0,,,,,2.59,,-24.731840000000002,27.32184,,,,0,20,
