combination_id,bitmask,factor_count,components,component_clusters,unique_base_cluster_count,max_abs_correlation,mean_abs_correlation,eligible_corr_lt_0_60,eligible_corr_lt_0_80,best_component_train_net_excess_pct,best_component_test_net_excess_pct,best_component_full_net_excess_pct,train_delta_vs_best_component_pct,test_delta_vs_best_component_pct,full_delta_vs_best_component_pct,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,exact_ic_audit
M0001,1,1,SIZE,B01,1,0.0,0.0,True,True,17.272782630793042,16.898389001954918,17.125963541189346,0.0,0.0,0.0,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4984.591666666666,0.052949505168266055,0.042847068121095705,18.40643201657904,8.468706847815428,1.2804684753896927,17.125963541189346,0.8989789144739596,34.58844977710157,71.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4881.13698630137,0.04823881246615836,0.04486567468401469,18.53146090913185,8.324591787955097,1.2586782783388106,17.272782630793042,0.344974681897207,34.58844977710157,77.77777777777779,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5145.276595744681,0.060266112982178,0.03971178558720025,18.212238204741706,8.689478854409973,1.313849202786788,16.898389001954918,1.8132900869102349,22.234760528690057,62.5,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5185.0,0.04530152757503176,0.02576832335096949,13.902205665939588,8.787167984709395,1.3286197992880606,12.573585866651527,0.049175891357340566,22.234760528690067,62.5,True
M0002,2,1,H03,B01,1,0.0,0.0,True,True,13.560485584746388,17.384693407445873,15.05824438046887,0.0,0.0,0.0,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4934.866666666667,0.06097827728605307,0.04592396055267423,16.45681261478526,9.249789909499926,1.3985682343163888,15.05824438046887,0.9361540648889634,28.205433472013887,73.33333333333333,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4812.931506849315,0.0591944708270666,0.04984471912511,14.95234163888525,9.205397183458091,1.3918560541388636,13.560485584746388,0.2594728292362946,28.205433472013887,72.22222222222221,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5124.255319148936,0.06374887029681925,0.039834271706125045,18.793544130544852,9.31779578769167,1.4088507230989804,17.384693407445873,2.0691920639001125,19.617773984535546,75.0,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5163.933333333333,0.06206982392289425,0.03833151718746381,17.37170322312796,9.930817000427746,1.5015395304646753,15.870163692663281,0.18402097565453288,19.617773984535546,75.0,True
M0003,3,2,SIZE+H03,B01,1,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,1.250976884113708,1.3491068571043208,1.4801465510790024,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4934.866666666667,0.06133433438463756,0.047336828480543575,19.8511737385453,8.23454792511211,1.2450636462769509,18.60611009226835,0.9952293538520072,30.876091789264827,75.0,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4812.931506849315,0.058511601618994984,0.05077771592165026,19.77897721133342,8.301704341446202,1.2552176964266657,18.52375951490675,0.4063188510131238,30.876091789264827,77.77777777777779,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5124.255319148936,0.06571857889297605,0.04199247139116509,19.963308770172265,8.131670010727975,1.2295085056220698,18.733800264550194,1.9863846479573852,21.443748410349972,70.83333333333334,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5163.933333333333,0.056870136533722186,0.033759971577359195,17.225191766008905,7.984149642777514,1.2072034259879603,16.017988340020946,0.1712473726261138,21.443748410349972,75.0,True
M0004,4,1,TURN,B02,1,0.0,0.0,True,True,4.503089147251773,4.9595544239683615,4.682146132890303,0.0,0.0,0.0,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,0.07727166173675118,0.03901536721131582,8.789992346838464,27.168295065794716,4.107846213948162,4.682146132890303,0.6760618032010753,26.31604320109019,65.0,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4115.287671232877,0.08027111038466261,0.0444879010467511,8.643905632143808,27.38635241330712,4.140816484892036,4.503089147251773,-0.025110025423906047,26.31604320109019,72.22222222222221,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4899.446808510638,0.07261294362403765,0.030515474232873797,9.016892988811016,26.834249767477868,4.057338564842654,4.9595544239683615,1.6706562875460687,18.99529227744846,54.166666666666664,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5014.4,0.052982067853164394,0.017415206104814198,0.09811716291582157,25.06593350080169,3.7899691453212156,-3.691851982405394,-0.6913226378738458,18.995292277448495,25.0,True
M0005,5,2,SIZE+TURN,B01+B02,2,0.0,0.0,True,True,17.272782630793042,16.898389001954918,17.125963541189346,-2.5099240849542888,-4.903641132455448,-3.4458466238500502,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,,,17.283371429487485,23.83104836076844,3.603254512148188,13.680116917339296,0.9052905572616686,28.44010615157283,75.0,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4115.287671232877,,,18.538319425998896,24.96997936613853,3.775460880160146,14.762858545838753,0.34529556961538227,28.44010615157283,83.33333333333334,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4899.446808510638,,,15.334196881714446,22.086302990839783,3.3394490122149754,11.99474786949947,1.8103272845083371,20.414009363994868,62.5,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5014.4,,,5.806430870133291,19.91278720576694,3.0108134255119614,2.7956174446213304,-0.33723818822852525,20.41400936399489,50.0,False
M0006,6,2,H03+TURN,B01+B02,2,0.0,0.0,True,True,13.560485584746388,17.384693407445873,15.05824438046887,-0.6069255659212747,-4.6659167607133565,-2.1953184843592677,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,,,16.328719652489507,22.921916378173957,3.465793756379903,12.862925896109603,0.950814260815763,25.34811702126212,78.33333333333333,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4115.287671232877,,,16.578077537696068,23.97167671210948,3.6245175188709537,12.953560018825113,0.31213728746926644,25.34811702126212,80.55555555555556,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4899.446808510638,,,15.941419107381444,21.31377288788973,3.222642460648927,12.718776646732517,1.936214985386518,18.692774782201038,75.0,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5014.4,,,10.771387270862466,19.486207451851623,2.9463145667199653,7.825072704142501,-0.1359207826045205,18.692774782201028,75.0,False
M0007,7,3,SIZE+H03+TURN,B01+B02,2,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,-0.48975840690426864,-1.5225000954254302,-0.7023684197149365,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,0.08748089914443069,0.05942202757133459,19.514277523425164,20.44102117692298,3.0906824019507546,16.42359512147441,1.0138384211287534,27.498933301984042,75.0,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4115.287671232877,0.08991745868163752,0.06693346210439896,20.021267193927056,21.416950860041556,3.238242970038283,16.783024223888773,0.4222674790685196,27.498933301984042,80.55555555555556,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4899.446808510638,0.08369645560791796,0.04775533138168141,18.726825482007325,18.9459799602307,2.864632169986882,15.862193312020443,1.9717476333587587,19.5473860086137,66.66666666666666,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5014.4,0.06454992713338355,0.032225056318761054,11.236628492074233,16.657481360168237,2.5186111816574375,8.718017310416796,-0.08933906876203408,19.5473860086137,75.0,True
M0008,8,1,RET40,B03,1,0.0,0.0,True,True,1.3511559644388687,2.327090745772259,1.7319497147033402,0.0,0.0,0.0,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4952.125,0.08526468873307808,0.045724908039356964,9.97442411925743,54.51371960683922,8.24247440455409,1.7319497147033402,0.4179934774777623,37.04414109957782,61.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4836.739726027397,0.08269676332767648,0.051815141391622827,9.419945678060145,53.365011333474044,8.068789713621277,1.3511559644388687,-0.1644599430309932,37.04414109957782,63.888888888888886,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5131.340425531915,0.08925316861806357,0.03626560942839085,10.835635315159596,56.27344291922842,8.508544569387338,2.327090745772259,1.3193034476779135,21.895586833375226,58.333333333333336,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5171.466666666666,0.06870522082344889,0.027599979037023877,3.981374739662219,54.73862783296961,8.276480528345004,-4.295105788682786,-0.6421931855315359,21.8955868333752,50.0,True
M0009,9,2,SIZE+RET40,B01+B03,2,0.0,0.0,True,True,17.272782630793042,16.898389001954918,17.125963541189346,-8.120079978853704,-3.4670465395901697,-6.298339168338199,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4952.125,,,17.211995897197678,42.224679393826264,6.384371524346531,10.827624372851147,0.6972221602180545,35.33150772600395,73.33333333333333,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4836.739726027397,,,15.431609595708911,41.527162326518344,6.278906943769575,9.152702651939338,0.09210267486340545,35.33150772600395,75.0,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5131.340425531915,,,19.977276748446194,43.29321617778732,6.545934286081444,13.431342462364748,1.709472435742594,22.192154200056535,70.83333333333334,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5171.466666666666,,,11.700345456581813,41.354181979722185,6.252752315333994,5.44759314124782,-0.21170096534601704,22.192154200056535,62.5,False
M0010,10,2,H03+RET40,B01+B03,2,0.0,0.0,True,True,13.560485584746388,17.384693407445873,15.05824438046887,-4.520669587908818,-4.091217721385677,-4.35385549936135,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4934.866666666667,,,16.755142208314364,40.018209836024084,6.0507533272068414,10.704388881107521,0.7204514769161435,31.460482527176147,73.33333333333333,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4812.931506849315,,,14.91731004297548,38.872315119959715,5.877494046137909,9.03981599683757,0.09093125497905229,31.460482527176147,72.22222222222221,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5124.255319148936,,,19.60964748639391,41.773623018080116,6.316171800333715,13.293475686060196,1.7826123548091708,19.69965324981239,75.0,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5163.933333333333,,,14.970341173211047,40.44158131109523,6.114767094237598,8.855574078973449,-0.09016351176225297,19.69965324981239,62.5,False
