candidate_a,candidate_b,correlation,abs_correlation,days,correlation_std,common_stocks_mean,common_stocks_min
SIZE,H03,,,0,,,
SIZE,TURN,,,0,,,
SIZE,RET40,,,0,,,
SIZE,DD120,,,0,,,
SIZE,CHIP250,,,0,,,
SIZE,EVEBITDA,,,0,,,
SIZE,BM,,,0,,,
SIZE,DD60,,,0,,,
SIZE,ASSET_GROWTH,,,0,,,
SIZE,RESVOL,,,0,,,
SIZE,SP,,,0,,,
H03,TURN,,,0,,,
H03,RET40,,,0,,,
H03,DD120,,,0,,,
H03,CHIP250,,,0,,,
H03,EVEBITDA,,,0,,,
H03,BM,,,0,,,
H03,DD60,,,0,,,
H03,ASSET_GROWTH,,,0,,,
H03,RESVOL,,,0,,,
H03,SP,,,0,,,
TURN,RET40,,,0,,,
TURN,DD120,,,0,,,
TURN,CHIP250,,,0,,,
TURN,EVEBITDA,,,0,,,
TURN,BM,,,0,,,
TURN,DD60,,,0,,,
TURN,ASSET_GROWTH,,,0,,,
TURN,RESVOL,,,0,,,
TURN,SP,,,0,,,
RET40,DD120,,,0,,,
RET40,CHIP250,,,0,,,
RET40,EVEBITDA,,,0,,,
RET40,BM,,,0,,,
RET40,DD60,,,0,,,
RET40,ASSET_GROWTH,,,0,,,
RET40,RESVOL,,,0,,,
RET40,SP,,,0,,,
DD120,CHIP250,,,0,,,
DD120,EVEBITDA,,,0,,,
DD120,BM,,,0,,,
DD120,DD60,,,0,,,
DD120,ASSET_GROWTH,,,0,,,
DD120,RESVOL,,,0,,,
DD120,SP,,,0,,,
CHIP250,EVEBITDA,,,0,,,
CHIP250,BM,,,0,,,
CHIP250,DD60,,,0,,,
CHIP250,ASSET_GROWTH,,,0,,,
CHIP250,RESVOL,,,0,,,
CHIP250,SP,,,0,,,
EVEBITDA,BM,,,0,,,
EVEBITDA,DD60,,,0,,,
EVEBITDA,ASSET_GROWTH,,,0,,,
EVEBITDA,RESVOL,,,0,,,
EVEBITDA,SP,,,0,,,
BM,DD60,,,0,,,
BM,ASSET_GROWTH,,,0,,,
BM,RESVOL,,,0,,,
BM,SP,,,0,,,
DD60,ASSET_GROWTH,,,0,,,
DD60,RESVOL,,,0,,,
DD60,SP,,,0,,,
ASSET_GROWTH,RESVOL,,,0,,,
ASSET_GROWTH,SP,,,0,,,
RESVOL,SP,,,0,,,
