factor_count,all_total,low_corr_total,best_all_train_components,best_all_train_net_excess_pct,best_all_train_full_net_excess_pct,best_all_train_test_net_excess_pct,best_all_test_components,best_all_test_net_excess_pct,best_all_test_full_net_excess_pct,best_all_test_test_net_excess_pct,best_all_full_components,best_all_full_net_excess_pct,best_all_full_full_net_excess_pct,best_all_full_test_net_excess_pct,best_all_recent_components,best_all_recent_net_excess_pct,best_all_recent_full_net_excess_pct,best_all_recent_test_net_excess_pct,best_low_corr_train_components,best_low_corr_train_net_excess_pct,best_low_corr_train_full_net_excess_pct,best_low_corr_train_test_net_excess_pct,best_low_corr_test_components,best_low_corr_test_net_excess_pct,best_low_corr_test_full_net_excess_pct,best_low_corr_test_test_net_excess_pct
1,12,12,SIZE,17.272782630793042,17.125963541189346,16.898389001954918,H03,17.384693407445873,15.05824438046887,17.384693407445873,SIZE,17.125963541189346,17.125963541189346,16.898389001954918,H03,15.870163692663281,15.05824438046887,17.384693407445873,SIZE,17.272782630793042,17.125963541189346,16.898389001954918,H03,17.384693407445873,15.05824438046887,17.384693407445873
2,66,66,SIZE+RESVOL,19.558035510873687,16.30412044517592,11.250291937936701,SIZE+H03,18.733800264550194,18.60611009226835,18.733800264550194,SIZE+H03,18.60611009226835,18.60611009226835,18.733800264550194,H03+EVEBITDA,16.54568556004491,13.582179960272667,16.563074109309586,SIZE+RESVOL,19.558035510873687,16.30412044517592,11.250291937936701,SIZE+H03,18.733800264550194,18.60611009226835,18.733800264550194
3,220,220,SIZE+H03+RESVOL,21.278394716998804,18.309681598354867,13.698240167717074,SIZE+H03+RET40,17.70214371422133,15.095066377062901,17.70214371422133,SIZE+H03+RESVOL,18.309681598354867,18.309681598354867,13.698240167717074,SIZE+H03+EVEBITDA,15.401874270774332,15.093409986662662,17.076742632873497,SIZE+H03+RESVOL,21.278394716998804,18.309681598354867,13.698240167717074,SIZE+H03+RET40,17.70214371422133,15.095066377062901,17.70214371422133
4,495,495,SIZE+H03+RESVOL+SP,21.068758522004416,16.97022862369905,10.604142482060022,SIZE+H03+EVEBITDA+RESVOL,18.2256448098752,18.126866704052304,18.2256448098752,SIZE+H03+EVEBITDA+RESVOL,18.126866704052304,18.126866704052304,18.2256448098752,SIZE+H03+EVEBITDA+RESVOL,17.967037284930175,18.126866704052304,18.2256448098752,SIZE+H03+RESVOL+SP,21.068758522004416,16.97022862369905,10.604142482060022,SIZE+H03+EVEBITDA+RESVOL,18.2256448098752,18.126866704052304,18.2256448098752
5,792,792,SIZE+H03+DD120+RESVOL+SP,20.565418032851817,16.426142459151492,10.000078133869769,SIZE+H03+TURN+RET40+EVEBITDA,17.555565897436068,13.139549755972046,17.555565897436068,SIZE+H03+DD120+RESVOL+SP,16.426142459151492,16.426142459151492,10.000078133869769,SIZE+H03+EVEBITDA+ASSET_GROWTH+RESVOL,16.7456102424447,15.824615072584855,16.736179094158004,SIZE+H03+DD120+RESVOL+SP,20.565418032851817,16.426142459151492,10.000078133869769,SIZE+H03+TURN+RET40+EVEBITDA,17.555565897436068,13.139549755972046,17.555565897436068
6,924,924,SIZE+H03+DD120+BM+RESVOL+SP,19.62330714870663,15.171029038557936,8.257060652034093,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA,17.06291234403638,13.114672546040074,17.06291234403638,SIZE+H03+CHIP250+EVEBITDA+BM+RESVOL,15.557747974733765,15.557747974733765,13.56302099058809,SIZE+H03+EVEBITDA+BM+DD60+RESVOL,14.050268831882612,14.644983823152739,14.0036362778309,SIZE+H03+DD120+BM+RESVOL+SP,19.62330714870663,15.171029038557936,8.257060652034093,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA,17.06291234403638,13.114672546040074,17.06291234403638
7,792,792,SIZE+H03+TURN+BM+ASSET_GROWTH+RESVOL+SP,17.022049177146982,13.002664694424363,6.759652875792581,SIZE+H03+TURN+RET40+EVEBITDA+ASSET_GROWTH+SP,15.962238126194586,13.38237364087911,15.962238126194586,SIZE+H03+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL+SP,14.635860168843406,14.635860168843406,13.211085606653453,SIZE+H03+RET40+EVEBITDA+DD60+ASSET_GROWTH+RESVOL,11.70056180855351,12.120789006925317,14.37118619473522,SIZE+H03+TURN+BM+ASSET_GROWTH+RESVOL+SP,17.022049177146982,13.002664694424363,6.759652875792581,SIZE+H03+TURN+RET40+EVEBITDA+ASSET_GROWTH+SP,15.962238126194586,13.38237364087911,15.962238126194586
8,495,495,SIZE+H03+TURN+DD120+BM+ASSET_GROWTH+RESVOL+SP,16.113187933928693,12.536179990712066,6.98205630237871,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+ASSET_GROWTH+SP,15.153727789430823,12.451972314349476,15.153727789430823,SIZE+H03+TURN+EVEBITDA+DD60+ASSET_GROWTH+RESVOL+SP,14.12666597799824,14.12666597799824,13.48083349328489,SIZE+H03+RET40+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL,11.493520605773055,11.514473494710302,13.256686584974018,SIZE+H03+TURN+DD120+BM+ASSET_GROWTH+RESVOL+SP,16.113187933928693,12.536179990712066,6.98205630237871,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+ASSET_GROWTH+SP,15.153727789430823,12.451972314349476,15.153727789430823
9,220,220,SIZE+H03+TURN+DD120+CHIP250+BM+ASSET_GROWTH+RESVOL+SP,14.803055116073766,11.794818160292731,7.124360310183052,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+DD60+ASSET_GROWTH+RESVOL,14.638559645767213,12.157227382332328,14.638559645767213,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+ASSET_GROWTH+RESVOL+SP,13.235897193882046,13.235897193882046,13.057893996581665,SIZE+H03+TURN+RET40+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL,10.15018176375911,11.89073572433928,13.344921886996286,SIZE+H03+TURN+DD120+CHIP250+BM+ASSET_GROWTH+RESVOL+SP,14.803055116073766,11.794818160292731,7.124360310183052,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+DD60+ASSET_GROWTH+RESVOL,14.638559645767213,12.157227382332328,14.638559645767213
10,66,66,SIZE+H03+TURN+DD120+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,13.656663727856944,11.825545408520654,8.983989963271341,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+DD60+ASSET_GROWTH+RESVOL+SP,12.900871513251467,11.694398900994084,12.900871513251467,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,12.036852791220031,12.036852791220031,10.434631135397424,SIZE+H03+TURN+RET40+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL+SP,6.489806824178699,11.17279539156447,10.298728761875397,SIZE+H03+TURN+DD120+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,13.656663727856944,11.825545408520654,8.983989963271341,SIZE+H03+TURN+RET40+CHIP250+EVEBITDA+DD60+ASSET_GROWTH+RESVOL+SP,12.900871513251467,11.694398900994084,12.900871513251467
11,12,12,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,13.276686322799863,11.952388886575276,9.898199591801484,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+DD60+ASSET_GROWTH+RESVOL+SP,12.28227337959125,11.112299686993158,12.28227337959125,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,11.952388886575276,11.952388886575276,9.898199591801484,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL,5.394953758414347,10.960544642376972,12.141695557418695,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+ASSET_GROWTH+RESVOL+SP,13.276686322799863,11.952388886575276,9.898199591801484,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+DD60+ASSET_GROWTH+RESVOL+SP,12.28227337959125,11.112299686993158,12.28227337959125
12,1,1,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL+SP,10.196865399205027,10.349391210219656,10.589814643344413,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL+SP,10.589814643344413,10.349391210219656,10.589814643344413,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL+SP,10.349391210219656,10.349391210219656,10.589814643344413,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL+SP,2.5787646597946905,10.349391210219656,10.589814643344413,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL+SP,10.196865399205027,10.349391210219656,10.589814643344413,SIZE+H03+TURN+RET40+DD120+CHIP250+EVEBITDA+BM+DD60+ASSET_GROWTH+RESVOL+SP,10.589814643344413,10.349391210219656,10.589814643344413
