variant,date,symbol,platform_display_factor1,local_factor,local_desc_rank,local_in_top20
qfq_high,20260907,300370.SZ,4.2897,0.09907530351030128,1492,False
qfq_high,20260907,300278.SZ,4.2897,0.0991832049399804,1121,False
qfq_high,20260907,002445.SZ,4.2897,0.09902583043961816,1675,False
qfq_high,20260907,000711.SZ,4.2897,0.09625080729419797,4987,False
qfq_high,20260907,002501.SZ,4.2897,0.09912380097690794,1331,False
qfq_high,20260907,002482.SZ,4.2897,0.09914784988448389,1252,False
qfq_high,20260907,002086.SZ,4.2897,0.09622289705123649,4993,False
qfq_high,20260907,002072.SZ,4.2897,0.0960006975600559,5033,False
qfq_high,20260907,600595.SH,4.2897,0.09838329158469075,3369,False
qfq_high,20260907,002356.SZ,4.2897,0.09902346291393858,1687,False
qfq_high,20260907,002354.SZ,4.2897,0.0980478013401823,3920,False
qfq_high,20260907,000793.SZ,4.2897,0.09900938919888293,1730,False
qfq_high,20260907,000796.SZ,4.2897,0.09906684665645478,1533,False
qfq_high,20260907,600515.SH,4.2897,0.09931336092884147,637,False
qfq_high,20260907,600518.SH,4.2897,0.09898043183666075,1829,False
qfq_high,20260907,600715.SH,4.2897,0.0984719218350814,3189,False
qfq_high,20260907,300093.SZ,4.2897,0.09846141223132711,3216,False
qfq_high,20260907,300008.SZ,4.2897,0.09877983919070989,2458,False
qfq_high,20260907,300010.SZ,4.2897,0.09612824238858844,5010,False
qfq_high,20260907,000523.SZ,4.2897,0.09655517473191656,4917,False
qfq_close,20260907,300370.SZ,4.2897,0.09996787381219588,2404,False
qfq_close,20260907,300278.SZ,4.2897,0.10000290084857527,2244,False
qfq_close,20260907,002445.SZ,4.2897,0.0993333640745238,4200,False
qfq_close,20260907,000711.SZ,4.2897,0.09830964809193482,4904,False
qfq_close,20260907,002501.SZ,4.2897,0.09990430334680485,2642,False
qfq_close,20260907,002482.SZ,4.2897,0.09988775921198002,2709,False
qfq_close,20260907,002086.SZ,4.2897,0.09921649829283051,4349,False
qfq_close,20260907,002072.SZ,4.2897,0.10138391424566649,85,False
qfq_close,20260907,600595.SH,4.2897,0.09995994689854798,2437,False
qfq_close,20260907,002356.SZ,4.2897,0.09937091366100502,4145,False
qfq_close,20260907,002354.SZ,4.2897,0.1002576568864023,1282,False
qfq_close,20260907,000793.SZ,4.2897,0.0994853958777237,3916,False
qfq_close,20260907,000796.SZ,4.2897,0.09906684665645478,4508,False
qfq_close,20260907,600515.SH,4.2897,0.0996642915328303,3474,False
qfq_close,20260907,600518.SH,4.2897,0.10041493084878626,860,False
qfq_close,20260907,600715.SH,4.2897,0.0990378524203405,4538,False
qfq_close,20260907,300093.SZ,4.2897,0.09850255782774639,4844,False
qfq_close,20260907,300008.SZ,4.2897,0.10017328519810234,1582,False
qfq_close,20260907,300010.SZ,4.2897,0.09612824238858844,5182,False
qfq_close,20260907,000523.SZ,4.2897,0.09950547173761401,3876,False
qfq_open,20260907,300370.SZ,4.2897,0.10133729674113008,1219,False
qfq_open,20260907,300278.SZ,4.2897,0.10111713929814158,1433,False
qfq_open,20260907,002445.SZ,4.2897,0.10026753364262278,2528,False
qfq_open,20260907,000711.SZ,4.2897,0.09675739049048322,5150,False
qfq_open,20260907,002501.SZ,4.2897,0.10069719464320806,1899,False
qfq_open,20260907,002482.SZ,4.2897,0.10063879499552875,1980,False
qfq_open,20260907,002086.SZ,4.2897,0.10383121914365984,304,False
qfq_open,20260907,002072.SZ,4.2897,0.0960006975600559,5178,False
qfq_open,20260907,600595.SH,4.2897,0.09853871542605677,4781,False
qfq_open,20260907,002356.SZ,4.2897,0.10150792255694062,1100,False
qfq_open,20260907,002354.SZ,4.2897,0.10097634976730842,1577,False
qfq_open,20260907,000793.SZ,4.2897,0.10193577508653465,859,False
qfq_open,20260907,000796.SZ,4.2897,0.10319463193380705,437,False
qfq_open,20260907,600515.SH,4.2897,0.10037364592096433,2344,False
qfq_open,20260907,600518.SH,4.2897,0.10041493084878626,2282,False
qfq_open,20260907,600715.SH,4.2897,0.10196796639727365,843,False
qfq_open,20260907,300093.SZ,4.2897,0.10009198338929814,2817,False
qfq_open,20260907,300008.SZ,4.2897,0.09923999372110139,4156,False
qfq_open,20260907,300010.SZ,4.2897,0.1033611926653997,403,False
qfq_open,20260907,000523.SZ,4.2897,0.10566952750897063,126,False
qfq_low,20260907,300370.SZ,4.2897,0.10180214672618113,1800,False
qfq_low,20260907,300278.SZ,4.2897,0.10139958940791291,2445,False
qfq_low,20260907,002445.SZ,4.2897,0.10121944060758438,2843,False
qfq_low,20260907,000711.SZ,4.2897,0.1030873132328513,807,False
qfq_low,20260907,002501.SZ,4.2897,0.10069719464320806,4425,False
qfq_low,20260907,002482.SZ,4.2897,0.10140121010913124,2437,False
qfq_low,20260907,002086.SZ,4.2897,0.10431641175648067,408,False
qfq_low,20260907,002072.SZ,4.2897,0.10197958941749768,1596,False
qfq_low,20260907,600595.SH,4.2897,0.10060484978176441,4704,False
qfq_low,20260907,002356.SZ,4.2897,0.10187305896901595,1707,False
qfq_low,20260907,002354.SZ,4.2897,0.10121820928770915,2850,False
qfq_low,20260907,000793.SZ,4.2897,0.10295006140580365,864,False
qfq_low,20260907,000796.SZ,4.2897,0.10319463193380705,755,False
qfq_low,20260907,600515.SH,4.2897,0.10109317026448378,3175,False
qfq_low,20260907,600518.SH,4.2897,0.10114788654841242,3022,False
qfq_low,20260907,600715.SH,4.2897,0.10196796639727365,1610,False
qfq_low,20260907,300093.SZ,4.2897,0.1014271174190177,2385,False
qfq_low,20260907,300008.SZ,4.2897,0.10064654481321149,4581,False
qfq_low,20260907,300010.SZ,4.2897,0.10646202844536169,145,False
qfq_low,20260907,000523.SZ,4.2897,0.10661300543315788,133,False
