variant,scope,label_offset,periods,platform_periods,period_coverage,local_rank_ic,platform_rank_ic_chart_mean,rank_ic_delta,local_gross_excess,platform_gross_excess,gross_delta_pp,local_turnover,platform_turnover,local_net_excess,platform_net_excess,net_delta_pp,platform_turnover_sensitivity_net,rank_ic_sequence_corr,excess_sequence_corr
qfq_high_left__qfq_return,qfq,1,241,241,1.0,0.03420888380062616,-0.00461680467090641,0.03882568847153257,0.11441236050578908,0.017,9.741236050578909,0.057058198901234994,0.337,0.09715796115805561,-0.0849088,18.20667611580556,0.012503560505789074,-0.5453629664596039,0.33829797661239747
qfq_high_left__qfq_return,qfq,0,241,241,1.0,0.035201376598267387,-0.00461680467090641,0.039818181269173795,0.11544704657460253,0.017,9.844704657460253,0.057058198901234994,0.337,0.09819264722686907,-0.0849088,18.310144722686907,0.013538246574602522,-0.39255120974284785,0.26711278989084636
qfq_close_left__qfq_return,qfq,1,241,241,1.0,0.01934560594237746,-0.00461680467090641,0.023962410613283868,0.08317492023782419,0.017,6.617492023782419,0.07625635705516501,0.337,0.060114997864342296,-0.0849088,14.502379786434231,-0.018733879762175817,-0.31902951523485024,0.2439627798227869
qfq_close_left__qfq_return,qfq,0,241,241,1.0,0.023032416562968727,-0.00461680467090641,0.027649221233875136,0.11336496872836407,0.017,9.636496872836407,0.07625635705516501,0.337,0.09030504635488218,-0.0849088,17.521384635488218,0.011456168728364066,-0.1600415399091427,0.16205299351479754
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,241,241,1.0,-0.04074499050973078,-0.00461680467090641,-0.03612818583882437,-0.1345718358291622,0.017,-15.157183582916222,0.047038192417282465,0.337,-0.14879618521614843,-0.0849088,-6.388738521614842,-0.23648063582916223,0.6980472884553713,0.35865707381822337
qfq_high_right__qfq_return,qfq_parser_sensitivity,0,241,241,1.0,-0.03837488397989083,-0.00461680467090641,-0.03375807930898442,-0.1335172075177121,0.017,-15.051720751771208,0.047038192417282465,0.337,-0.1477415569046983,-0.0849088,-6.28327569046983,-0.2354260075177121,0.5924313860524653,0.20395251695897404
qfq_close_right__qfq_return,qfq_parser_sensitivity,1,241,241,1.0,-0.04051230136631866,-0.00461680467090641,-0.035895496695412255,-0.13578867547717208,0.017,-15.278867547717207,0.04590348804152471,0.337,-0.14966989026092914,-0.0849088,-6.476109026092914,-0.23769747547717207,0.696426342105964,0.36079526099808606
qfq_close_right__qfq_return,qfq_parser_sensitivity,0,241,241,1.0,-0.03808234118054031,-0.00461680467090641,-0.0334655365096339,-0.1335864472447179,0.017,-15.058644724471792,0.04590348804152471,0.337,-0.14746766202847497,-0.0849088,-6.255886202847496,-0.23549524724471793,0.5911663741693413,0.20653099625245058
raw_high_left__qfq_return,raw_factor_qfq_return,1,48,48,1.0,0.03532079297407782,-0.020831167246584938,0.05615196022066276,-0.054205866264073824,0.017,-7.120586626407382,0.7159502367524445,0.337,-0.27070921785801305,-0.0849088,-18.580041785801306,-0.15611466626407383,-0.7704390503184158,-0.13166025711765203
raw_high_left__qfq_return,raw_factor_qfq_return,0,48,48,1.0,0.07607688143358382,-0.020831167246584938,0.09690804868016875,0.05497337310244884,0.017,3.7973373102448837,0.7159502367524445,0.337,-0.1615299784914904,-0.0849088,-7.6621178491490385,-0.04693542689755117,-0.7226755602576095,-0.057050726489718505
raw_close_left__qfq_return,raw_factor_qfq_return,1,48,48,1.0,0.010051243529742447,-0.020831167246584938,0.030882410776327383,-0.08180652659259405,0.017,-9.880652659259406,0.8507694951835327,0.337,-0.3390792219360943,-0.0849088,-25.41704219360943,-0.18371532659259404,0.33245956681746197,0.1879217836816799
raw_close_left__qfq_return,raw_factor_qfq_return,0,48,48,1.0,-0.00447391052522863,-0.020831167246584938,0.01635725672135631,-0.22067725349488126,0.017,-23.767725349488128,0.8507694951835327,0.337,-0.47794994883838154,-0.0849088,-39.30411488383815,-0.3225860534948813,0.31172859186338187,0.06712535396677628
raw_high_left__raw_return,raw,1,48,48,1.0,0.03309560816842244,-0.020831167246584938,0.05392677541500738,-0.07078175349349027,0.017,-8.778175349349027,0.7159502367524445,0.337,-0.2872851050874295,-0.0849088,-20.23763050874295,-0.17269055349349027,-0.771669014728882,-0.1291052772568788
raw_high_left__raw_return,raw,0,48,48,1.0,0.07119395122255907,-0.020831167246584938,0.09202511846914402,0.025821783402560614,0.017,0.8821783402560613,0.7159502367524445,0.337,-0.19068156819137863,-0.0849088,-10.577276819137863,-0.0760870165974394,-0.7280684387477178,-0.04919981838160359
raw_close_left__raw_return,raw,1,48,48,1.0,0.009245352716550295,-0.020831167246584938,0.030076519963135234,-0.06858424109760915,0.017,-8.558424109760915,0.8507694951835327,0.337,-0.3258569364411094,-0.0849088,-24.09481364411094,-0.17049304109760915,0.33211908547789754,0.1829607806250154
