field,label,family,tested_platform,tested_local,local_status,in_catalog
a_share_market_val,"A股市值,A股市值 = A股股本 x A股未复权收盘价",fields.md base,,local,local_proxy,0
a_share_market_val_in_circulation,"流通A股市值,流通A股市值 = 流通A股 * A股未复权收盘价",fields.md base,,local,local_proxy,0
accrued_expense,预提费用,fields.md base,,local,unavailable,0
accrued_staff_costs,长期应付职工薪酬,fields.md base,,,unavailable,0
accts_payable,应付账款,fields.md base,,local,unavailable,0
accumulated_depreciation,累计折旧,fields.md base,,local,local_proxy,0
adjust_asset_impairment,资产减值损失,fields.md base,,local,unavailable,0
adjust_credit_asset_impairment,信用减值损失,fields.md base,,local,unavailable,0
advance_from_customers,预收账款,fields.md base,,local,unavailable,0
advance_insurance,预收保费,fields.md base,,local,unavailable,0
amortization_expense,摊回赔付支出,fields.md base,,local,unavailable,0
amortization_premium_reserve,摊回保险责任准备金,fields.md base,,local,unavailable,0
amortization_reinsurance_cost,摊回分保费用,fields.md base,,local,unavailable,0
amount,成交额,fields.md base,platform,local,local_direct,0
asset_impairment,资产减值损失,fields.md base,,local,unavailable,0
assets_depreciation_reserves,资产减值准备,fields.md base,,local,unavailable,0
assets_hold_for_sale,划分为持有待售的资产,fields.md base,,local,unavailable,0
assets_reclassified_other_income,金融资产重分类计入其他综合收益的金额,fields.md base,,local,unavailable,0
bad_debt_reserve,坏账准备,fields.md base,platform,local,unavailable,0
basic_earnings_per_share,基本每股收益,fields.md base,,local,unavailable,0
begin_period_cash_equivalent,期初现金及现金等价物余额,fields.md base,,,unavailable,0
bill_accts_payable,应付票据及应付账款,fields.md base,,local,unavailable,0
bill_accts_receivable,应收票据及应收账款,fields.md base,,local,unavailable,0
bill_receivable,应收票据,fields.md base,,,unavailable,0
bond_payable,应付债券,fields.md base,platform,local,local_direct,0
book_to_market_ratio_lf,"账面市值比lf,归属母公司股东权益合计mrq",fields.md base,platform,local,local_derived,0
book_to_market_ratio_lyr,"账面市值比lyr,归属母公司股东权益合计lyr",fields.md base,platform,local,local_derived,0
book_to_market_ratio_ttm,"账面市值比 ttm,归属母公司股东权益合计ttm",fields.md base,,local,local_derived,0
borrowings_capital,拆入资金,fields.md base,,local,unavailable,0
borrowings_from_central_banks,向中央银行借款,fields.md base,,local,unavailable,0
buy_back_security_proceeds,卖出回购金融资产款,fields.md base,,local,unavailable,0
capital_reserve,资本公积金,fields.md base,,local,unavailable,0
capitalized_biological_assets,生产性生物资产,fields.md base,,local,unavailable,0
cash_equivalent,货币资金,fields.md base,platform,local,local_direct,0
cash_equivalent_increase,现金及现金等价物净增加额,fields.md base,,local,unavailable,0
cash_flow_from_financing_activities,筹资活动产生的现金流量净额,fields.md base,platform,,unavailable,0
cash_flow_from_investing_activities,投资活动产生的现金流量净额,fields.md base,,local,unavailable,0
cash_flow_from_operating_activities,经营活动产生的现金流量净额,fields.md base,platform,local,local_direct,0
cash_flow_hedging_effective_portion,现金流量套期损益的有效部分,fields.md base,,,unavailable,0
cash_from_operating_activities,经营活动现金流入小计,fields.md base,,local,unavailable,0
cash_from_other_operating_activities,收到其它与经营活动有关的现金,fields.md base,,local,unavailable,0
cash_paid_for_asset,购建固定资产、无形资产和其他长期资产所支付的现金,fields.md base,platform,local,unavailable,0
cash_paid_for_comissions,支付手续费及佣金的现金,fields.md base,,local,unavailable,0
cash_paid_for_debt,偿还债务支付的现金,fields.md base,,local,unavailable,0
cash_paid_for_dividend_and_interest,分配股利、利润或偿付利息支付的现金,fields.md base,,local,unavailable,0
cash_paid_for_employee,支付给职工以及为职工支付的现金,fields.md base,platform,local,unavailable,0
cash_paid_for_goods_and_services,购买商品、接受劳务支付的现金,fields.md base,,local,unavailable,0
cash_paid_for_investment_activities,投资活动现金流出小计,fields.md base,,local,unavailable,0
cash_paid_for_operation_activities,经营活动现金流出小计,fields.md base,,local,unavailable,0
cash_paid_for_orignal_insurance,支付原保险合同赔付款项的现金,fields.md base,,local,unavailable,0
cash_paid_for_other_financing_activities,支付其他与筹资活动有关的现金,fields.md base,,local,unavailable,0
cash_paid_for_other_investment_activities,支付其他与投资活动有关的现金,fields.md base,,local,unavailable,0
cash_paid_for_other_operation_activities,支付其他与经营活动有关的现金,fields.md base,,local,unavailable,0
cash_paid_for_policy_dividends,支付保单红利的现金,fields.md base,,local,unavailable,0
cash_paid_for_reinsurance,支付再保业务现金净额,fields.md base,,local,unavailable,0
cash_paid_for_taxes,支付的各项税费,fields.md base,,local,unavailable,0
cash_paid_to_acquire_investment,投资支付的现金,fields.md base,,,unavailable,0
cash_paid_to_financing_activities,筹资活动现金流出小计,fields.md base,,local,unavailable,0
cash_received_from_disposal_of_asset,处置固定资产、无形资产和其他长期资产收回的现金净额,fields.md base,,local,unavailable,0
cash_received_from_financial_institution_borrows,取得借款收到的现金,fields.md base,,local,unavailable,0
cash_received_from_financing_activities,筹资活动现金流入小计,fields.md base,,local,unavailable,0
cash_received_from_interests_and_commissions,收取利息、手续费及佣金的现金,fields.md base,,local,unavailable,0
cash_received_from_investment,取得投资收益收到的现金,fields.md base,platform,local,unavailable,0
cash_received_from_investment_activities,投资活动现金流入小计,fields.md base,,local,unavailable,0
cash_received_from_investors,吸收投资收到的现金,fields.md base,,local,unavailable,0
cash_received_from_issuing_equity_instruments,发行其他权益工具收到的现金,fields.md base,,,unavailable,0
cash_received_from_issuing_security,发行债券收到的现金,fields.md base,,local,unavailable,0
cash_received_from_minority_invest_subsidiaries,子公司吸收少数股东投资收到的现金,fields.md base,,local,unavailable,0
cash_received_from_original_insurance,收到原保险合同保费取得的现金,fields.md base,,,unavailable,0
cash_received_from_other_financing_activities,收到其他与筹资活动有关的现金,fields.md base,,local,unavailable,0
cash_received_from_other_investment_activities,收到其他与投资活动有关的现金,fields.md base,,local,unavailable,0
cash_received_from_proxy_security,代理买卖证券收到的现金净额,fields.md base,,local,unavailable,0
cash_received_from_reinsurance,收到再保业务现金净额,fields.md base,,local,unavailable,0
cash_received_from_sales_of_goods,销售商品、提供劳务收到的现金,fields.md base,platform,local,unavailable,0
cash_received_from_sub_issue_security,代理承销证券收到的现金净额,fields.md base,,local,unavailable,0
classified_by_continuity_operation,按经营持续性分类,fields.md base,,,unavailable,0
classified_by_ownership,按所有权归属分类,fields.md base,,,unavailable,0
client_deposits,客户资金存款,fields.md base,,local,unavailable,0
client_provision,客户备付金,fields.md base,,local,unavailable,0
close,收盘价,fields.md base,platform,local,local_direct,0
comission_payable,应付手续费及佣金,fields.md base,,local,unavailable,0
commission_expense,手续费及佣金支出,fields.md base,,local,unavailable,0
commission_income,手续费及佣金收入,fields.md base,,local,unavailable,0
compensation_expense,赔付支出,fields.md base,,local,unavailable,0
compensation_payable,应付赔付款,fields.md base,,local,unavailable,0
construction_in_progress,在建工程,fields.md base,,local,unavailable,0
consumable_biological_assets,消耗性生物资产,fields.md base,,local,unavailable,0
continuous_operation_net_profit,持续经营净利润,fields.md base,,local,unavailable,0
contract_assets,合同资产,fields.md base,,local,unavailable,0
contract_liabilities,合同负债,fields.md base,,,unknown,0
