field,direction,periods,rank_ic,ic_ir,win,s_i,turnover,gross,net,efficiency,finite_share
a_share_market_val,0,120,-0.05598298176476926,-0.08565111690723339,0.39166666666666666,0.0018780435920803253,0.03768772011682446,-0.09921194347775131,-0.10491032675941517,0.049831711397207434,0.8530892801977139
a_share_market_val_in_circulation,0,120,-0.04748721506421952,-0.09895713809786458,0.4,0.0018796795595971865,0.03673153037616795,-0.08816840613638255,-0.09372221352925915,0.05117346161043034,0.8530892801977139
accer,0,120,-0.0502746853616701,-0.3406175532098844,0.5416666666666666,0.009275738504656468,0.8523216962278527,-0.25442421179879393,-0.3832952522684453,0.010882907880567162,0.9063731850478838
accumulated_depreciation,1,120,-0.005031419250933904,0.010121498467962137,0.2833333333333333,1.4428892301334104e-05,0.026982043672328402,-0.045543767853038375,-0.04962345285629443,0.0005347590596383083,0.9709468643805992
adtm,0,120,-0.06749557284771544,-0.2540015403087429,0.5,0.008571989733670344,0.6309306656212427,-0.20365632391201305,-0.29905304055394494,0.013586262644612428,0.9027525486561632
adx,0,120,-0.008695643937403715,-0.07826221830894321,0.4,0.0002722161536663713,0.8660517541873098,-0.030488466914711854,-0.1614354921478331,0.00031431857547799193,0.8507460611677479
adxr,1,120,-0.0014068030537650665,0.0177308847695014,0.38333333333333336,9.561814088548245e-06,0.7978748529105386,0.01411980038596905,-0.1065188773741044,1.1984102586599957e-05,0.8490222428174234
amp1,0,120,-0.04232917432300925,-0.22553980683808939,0.55,0.0052508025902350255,0.6744775217827275,-0.16867884484559637,-0.27065984613914473,0.0077849927101447435,0.9076598702502318
amp10,0,120,-0.07952684732637208,-0.2713761508973355,0.5583333333333333,0.012049776760573927,0.700118072929937,-0.23375121588806125,-0.3396090685150677,0.017211063714076963,0.9056780970033983
amp20,0,120,-0.07062677054134155,-0.20591703484553284,0.55,0.007998790343823885,0.5072492421633573,-0.19280233928994595,-0.2694984247050456,0.01576895474443688,0.9034507259808465
amp3,0,120,-0.06987068971759212,-0.33305180164200643,0.5666666666666667,0.013186650152367746,0.7356527377130776,-0.26583701914705304,-0.3770677130892704,0.017925101717640668,0.9071902996601793
amp5,0,120,-0.07354177329814918,-0.29867404307695544,0.575,0.01262988579045408,0.7332771001701334,-0.243429274668453,-0.35430077221417716,0.017223892287818236,0.9067593450725983
amp60,0,120,-0.060800808331813984,-0.14809900408388632,0.5416666666666666,0.004877458712444991,0.2524914354117555,-0.16035319717202,-0.19852990220627745,0.019317323395508356,0.8943018226753168
amv10,0,120,-0.04657828528657042,-0.15990734179511343,0.525,0.003910310137413707,0.05558327333959951,-0.1364680483887727,-0.14487223931772014,0.07035048320243247,0.8527463700957677
amv120,0,120,-0.03665616720932534,-0.13612362241155312,0.475,0.0023701408755220548,0.0235674415055948,-0.10928074080433015,-0.11284413795997608,0.10056844205848116,0.8367222737102255
amv20,0,120,-0.044665619467866145,-0.15210278667541358,0.525,0.003566726724564173,0.04563791634454638,-0.13288123821225262,-0.13978169116354802,0.07815270744696012,0.8515091133765832
amv250,0,120,-0.0328641824716591,-0.13306389401397012,0.475,0.002077192144300695,0.019020027503199925,-0.09887840716935825,-0.10175423532784209,0.10385960721503475,0.8150895891257337
amv3,0,120,-0.048456640709066884,-0.16856512608985816,0.5166666666666667,0.004220184871357654,0.06341105597631498,-0.14144024581451642,-0.15102799747813525,0.06655282436763013,0.8531417979610751
amv30,0,120,-0.043157247454860014,-0.14623632645319387,0.525,0.0033133575970058443,0.03905361140536766,-0.125483487609103,-0.1313883936535946,0.0848412599442838,0.8501668211306765
amv5,0,120,-0.04780536090594735,-0.16552426590443833,0.5166666666666667,0.0040883560896310634,0.0609105406071049,-0.1378419010444536,-0.14705157478424785,0.06712066661831889,0.853130985480383
amv55,0,120,-0.04029964435932284,-0.13871226258210476,0.5166666666666667,0.002888195006006844,0.03108625963702381,-0.11846377795272711,-0.12316402040984512,0.09290905498862259,0.8467207290701266
amv60,0,120,-0.03988121145817717,-0.13794095784394267,0.5166666666666667,0.00284231379606752,0.030202319081019495,-0.11669713097541756,-0.12126372162046771,0.09410912415178603,0.845939141180105
ar,0,120,-0.06966771791229447,-0.2881800844661693,0.44166666666666665,0.008867274901034203,0.5321822795009702,-0.2053350229166293,-0.285800983577176,0.01666210101799911,0.8792075996292863
aroon_down,1,120,0.019674966669475415,0.14365072981366775,0.44166666666666665,0.0012482928001656313,0.879980473475571,0.05337554291220825,-0.07967750467729809,0.0014185460220899834,0.9049845535990115
aroon_up,0,120,-0.040085420319242934,-0.15122449898540619,0.4583333333333333,0.0027783697353485947,0.8829105972587648,-0.15286373062984937,-0.2863598129353746,0.0031468302045244406,0.9049845535990115
asi,0,120,-0.01945835897903583,-0.10876545954667319,0.19166666666666668,0.00040564282663930193,0.4384221692391781,0.023515904426503864,-0.04277352756245986,0.0009252333825710496,0.8415631757800434
asit,0,120,-0.022968160981888516,-0.1535492092254725,0.24166666666666667,0.0008522962143986473,0.391399077167835,0.003922488132881874,-0.05525705233489478,0.002177563167920235,0.8229610750695088
atr,0,120,-0.06506250940985404,-0.1824774470548265,0.49166666666666664,0.005837283302911305,0.15620207485149437,-0.13873635100025627,-0.16235410471780223,0.03737007532365349,0.9029718875502009
bbi,0,120,-0.04747812217320451,-0.1671220535100031,0.5166666666666667,0.0040995646584321204,0.048678888891239044,-0.13392454080470673,-0.14128478880506207,0.08421647970625594,0.9027525486561632
bbiboll_down,0,120,-0.04255104119640229,-0.16543799854037203,0.49166666666666664,0.003461116553243008,0.09598377118685364,-0.12295645564316393,-0.1374692018466162,0.03605939327498582,0.9004989187519309
bbiboll_up,0,120,-0.05064383922543395,-0.16771695044392737,0.525,0.004459260893672724,0.08549397336042497,-0.1430722873904663,-0.15599897616256256,0.052158774687818044,0.9004989187519309
bias10,0,120,-0.04880386171761685,-0.392592216231421,0.6,0.011496009739422601,0.8563457434867426,-0.24546205964400647,-0.374941536059202,0.013424495686304038,0.905897435897436
bias20,0,120,-0.06395368727257043,-0.41856093589428,0.5833333333333334,0.015614967199240024,0.7545201389889922,-0.2801000880489962,-0.39418353306413184,0.020695229182567696,0.9036731541550819
bias36,0,120,-0.04655963490484017,-0.3320911568851072,0.5583333333333333,0.008632974019330598,0.7754466904375968,-0.26157130120857286,-0.37881884080273753,0.011132904590074237,0.9067593450725983
bias5,0,120,-0.03487047807632695,-0.2973052567105805,0.6,0.006220305861661832,0.8554944789260241,-0.2270086082072641,-0.356359373420879,0.007271006435331666,0.9069725054062404
bias612,0,120,-0.0455515809229022,-0.23563950524228214,0.5,0.005366875995838226,0.7727659572820426,-0.24544390876822253,-0.36228612150926737,0.006945021251601841,0.9054556688291628
boll,0,120,-0.044942259389176405,-0.15630358271326114,0.5166666666666667,0.0036293953481744356,0.04426565405568208,-0.1289080153457961,-0.13560098223901523,0.08199122831459789,0.9036731541550819
boll_down,0,120,-0.040435383732712944,-0.1553277455631935,0.49166666666666664,0.0030880290231242572,0.05755291317816053,-0.12496539893510827,-0.13366739940764616,0.05365547723996123,0.9036731541550819
boll_up,0,120,-0.0479848687130178,-0.15809159557913502,0.525,0.003982652340710557,0.05708664122633476,-0.13480664730017355,-0.14343814745359537,0.06976504932073865,0.9036731541550819
book_to_market_ratio_ttm,1,120,0.05992123131975548,0.12678108385722667,0.48333333333333334,0.0036718246821761283,0.05678597077220715,0.038007058204538646,0.029421019423780927,0.06466077152938689,0.8523463083101637
