rank,pool_name,display_name,style_tag,score,na,nb,nc,annual_rex,annual_sr,turn,max_dd,active_factors,pool_age_months
1,\"这是干什么的\",\"Aroy4542\",\"动量技术型\",35516.6354,0.03598,1.00000,1.00000,0.51491,3.43562,2.14287,0.04387,5,0
2,\"FINAL-best\",\"虎墨666\",\"价值质量型\",34979.7562,0.16680,1.00000,0.91474,0.61148,1.91600,2.01511,0.04667,8,1
3,\"量价\",\"sx因子\",\"价值质量型\",30317.6770,0.10124,0.62511,1.00000,1.23673,3.45179,1.82784,0.03871,9,1
4,\"五等分的商鞅\",\"苦日子就和路易十六一样\",\"综合型\",25917.0261,0.69512,0.00000,1.00000,1.15498,8.49921,1.09281,0.01833,5,0
5,\"Sea_turtle\",\"marching\",\"动量技术型\",24116.7040,0.03010,0.26310,1.00000,0.61132,13.31425,1.46971,0.00120,5,0
6,\"香积寺因子池\",\"香积寺\",\"综合型\",23886.4803,0.46437,0.00000,1.00000,0.47628,2.04215,1.23108,0.03540,6,0
7,\"换手反转\",\"新人报道\",\"动量技术型\",23603.6974,0.43224,0.00000,1.00000,1.49679,12.29849,0.50000,0.00961,8,0
8,\"啦啦啦啦啦\",\"forests\",\"Agent均衡\",23303.8134,0.39816,0.00000,1.00000,0.67136,2.69296,1.17864,0.03922,5,1
9,\"神人因子\",\"神人队\",\"综合型\",23207.3981,0.38720,0.00000,1.00000,0.31273,3.12906,0.90954,0.03791,6,0
10,\"易斋\",\"易斋\",\"低相关性一通乱挖\",23047.4869,0.36903,0.00000,1.00000,0.60124,2.12108,1.18463,0.04113,18,1
11,\"价值质量精选\",\"养猪猎手\",\"价值质量型\",22995.1814,0.36309,0.00000,1.00000,2.02938,13.23935,0.50000,0.00599,9,0
12,\"稳健股息\",\"李普\",\"稳健股息\",22940.0224,0.35682,0.00000,1.00000,0.45937,3.81758,0.93912,0.03052,5,0
13,\"Ayden Alpha\",\"往复随安\",\"综合型\",22780.9072,0.33874,0.00000,1.00000,0.95464,8.82182,0.99301,0.01770,49,0
14,\"Market Psychology Reversal\",\"Olivia Jiang\",\"综合型\",22772.5420,0.33779,0.00000,1.00000,0.68911,2.74798,1.00898,0.02970,7,0
15,\"低波动型\",\"哈利可\",\"低波动型\",22697.0312,0.32921,0.00000,1.00000,4.97719,30.40914,0.50000,0.00000,5,0
16,\"gxq0903\",\"行者武松\",\"低波动型\",22555.0287,0.31307,0.00000,1.00000,0.30433,3.04273,0.93227,0.03911,6,0
17,\"wesleywu2020\",\"wesleywu2020\",\"Agent均衡\",22515.6804,0.30860,0.00000,1.00000,1.44589,4.37335,1.27932,0.02861,5,0
