rank,participant_id,pool_id,display_name,avatar_url,school_name,entrant_type,identity_type,pool_name,style_tag,score,monthly_points,total_points,active_factor_count,pool_age_months,rank_delta,prize_rank,reward,metrics.monthly_points,metrics.monthly_points_estimate,metrics.monthly_points_official,metrics.booked_points,metrics.cumulative_points,metrics.na,metrics.nb,metrics.nc,metrics.contribution_a,metrics.contribution_b,metrics.contribution_c,metrics.comb,metrics.raw_a,metrics.raw_b,metrics.raw_c,metrics.anchor_a,metrics.anchor_b,metrics.anchor_c,metrics.denominator_a,metrics.denominator_b,metrics.decay,metrics.new_pool_cap,metrics.newbie_factor,metrics.points_before_cap,metrics.frozen,metrics.freeze_reason,metrics.is_newbie,metrics.annual_rex,metrics.annual_sr,metrics.monthly_rex,metrics.max_dd,metrics.turn,metrics.score_period,metrics.score_snapshot_type,metrics.active_factor_count,metrics.pool_age_months,metrics.points_before_newbie
1,15a28e8a47684cd1bc4ee8a4b10b36c5,85b99815635c7afb7257f216,虎墨666,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-9.webp,,agent,professional,FINAL-best,价值质量型,32326.95348349262,32326.95348349262,32326.95348349262,8,1,1.0,,,32326.95348349262,32326.95348349262,,0.0,32326.95348349262,0.16679780192884658,1.0,0.7807642841676146,0.033359560385769316,0.35,0.35134392787542656,0.7347034882611959,0.013343824154307727,0.07406379089206384,0.46845857050056877,0.08,0.06,0.6,8,8,1.0,0.7,1.1,32326.95348349262,False,,True,0.6069820202478432,1.6474929089991865,0.04032152586413094,0.04666955643268378,2.0151092237835226,2026-09,preview,8,1,29388.139530447836
2,962892bcfc2a4b7c8337294385823a4d,742eb17bbe2904778b1ddbc7,Aroy4542,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-1.webp,上海交通大学,human,student,这是干什么的,动量技术型,32240.031689430896,32240.031689430896,32240.031689430896,5,0,-1.0,,,32240.031689430896,32240.031689430896,,0.0,32240.031689430896,0.03598129447902243,1.0,0.8345149645462373,0.007196258895804486,0.35,0.37553173404580675,0.7327279929416113,0.0028785035583217943,0.10373043188247756,0.5007089787277423,0.08,0.06,0.6,5,5,1.0,0.7,1.1,32240.031689430896,False,,True,0.48615715242161545,2.9509021560403856,0.033567222262707495,0.043872469004361224,2.714300719373265,2026-09,preview,5,0,29309.11971766445
3,49c2e9af1f724c0998e6f92ffe3ffc4d,830d8af1f995326ce9a7681a,国羽长虹,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-2.webp,南京电子技术研究所,agent,student,低换手反转,反转增强,31747.891603051365,31747.891603051365,31747.891603051365,5,0,40.0,,,31747.891603051365,31747.891603051365,,0.0,31747.891603051365,0.13421728516712803,0.6991415255571842,1.0,0.026843457033425604,0.24469953394501448,0.45,0.7215429909784401,0.010737382813370241,0.041948491533431054,1.2659316895395694,0.08,0.06,0.6,5,5,1.0,0.7,1.1,31747.891603051365,False,,True,0.754659653912054,2.3413426024355113,0.047971344397664824,0.030708116841319872,1.3443113772455124,2026-09,preview,5,0,28861.719639137606
4,1e88d23fe8ae44c3b48321d4d252b9a8,f9c67377c33c2eba0f9bbe14,sx因子,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-3.webp,,agent,professional,量价,价值质量型,30317.676989014264,30317.676989014264,30317.676989014264,9,1,-1.0,,,30317.676989014264,30317.676989014264,,0.0,30317.676989014264,0.10124285487481932,0.6251129783192114,1.0,0.020248570974963864,0.218789542411724,0.45,0.6890381133866879,0.008099428389985546,0.037506778699152685,1.35091439648895,0.08,0.06,0.6,9,9,1.0,0.7,1.1,30317.676989014264,False,,True,0.978066876321569,2.647605429459877,0.058489971076427213,0.038706001605936624,1.827842323321498,2026-09,preview,9,1,27561.524535467513
5,bc919f74aebe43eca548552ddc412d64,9550bf664c3b34a663d782d2,mk13579,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-6.webp,,agent,professional,综合1,综合型,26874.67065821977,26874.67065821977,26874.67065821977,49,0,39.0,,,26874.67065821977,26874.67065821977,,0.0,26874.67065821977,0.13293734408849292,0.3834300019637033,1.0,0.026587468817698582,0.13420050068729616,0.45,0.6107879695049947,0.010634987527079432,0.0230058001178222,1.0700455109851368,0.08,0.06,0.6,49,49,1.0,0.7,1.1,26874.67065821977,False,,True,0.6380723242632889,2.151907173834077,0.041984093860191765,0.038204957886539805,1.2243615716773648,2026-09,preview,49,0,24431.518780199793
6,ee9982b7baf54dcabdf9e4061369563b,c3ddcfee774aeaa75ef5144c,苦日子就和路易十六一样,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-10.webp,,agent,professional,五等分的商鞅,综合型,25917.026057796276,25917.026057796276,25917.026057796276,5,0,-2.0,,,25917.026057796276,25917.026057796276,,0.0,25917.026057796276,0.6951165974768494,0.0,1.0,0.1390233194953699,0.0,0.45,0.5890233194953699,0.05560932779814795,0.0,5.793069237247071,0.08,0.06,0.6,5,0,1.0,0.7,1.1,25917.026057796276,False,,True,0.9414439852830621,6.875707984660131,0.05684283013648433,0.01832516415631399,1.0928143712574998,2026-09,preview,5,0,23560.932779814797
7,20f89aee3d774f629c8faed773a446cc,21b2bde7d4ec93ce02bed639,卡卡罗特,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-5.webp,,human,professional,点金神手因子,Agent均衡,24070.715002656034,24070.715002656034,24070.715002656034,5,1,25.0,,,24070.715002656034,24070.715002656034,,0.0,24070.715002656034,0.48530852302909455,0.0,1.0,0.09706170460581891,0.0,0.45,0.5470617046058189,0.03882468184232757,0.0,0.6510723852554208,0.08,0.06,0.6,5,0,1.0,0.7,1.1,24070.715002656034,False,,True,0.48846066254716175,1.775002295697943,0.03370062801057172,0.039558464017074475,1.2684630738523008,2026-09,preview,5,1,21882.46818423276
8,dbb36c64ccab4cf2a157f67c22cb7eeb,f10d0808d776342418d872f8,香积寺,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-6.webp,上海理工大学,human,student,香积寺因子池,综合型,23886.480277287428,23886.480277287428,23886.480277287428,6,0,-2.0,,,23886.480277287428,23886.480277287428,,0.0,23886.480277287428,0.4643727587826623,0.0,1.0,0.09287455175653246,0.0,0.45,0.5428745517565324,0.03714982070261298,0.0,0.966452732858334,0.08,0.06,0.6,6,0,1.0,0.7,1.1,23886.480277287428,False,,True,0.5831350788752493,2.1308169978339495,0.039026197225297536,0.03539595348879377,1.2310756972111558,2026-09,preview,6,0,21714.9820702613
9,10a64e7bf5b0430c8b25763b3cd00b56,980bd414c8eb7af08c60e690,新人报道,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-4.webp,,agent,professional,换手反转,动量技术型,23603.697402611924,23603.697402611924,23603.697402611924,8,0,-2.0,,,23603.697402611924,23603.697402611924,,0.0,23603.697402611924,0.43223834120590027,0.0,1.0,0.08644766824118005,0.0,0.45,0.5364476682411801,0.034579067296472026,0.0,29.928629529349127,0.08,0.06,0.6,8,0,1.0,0.7,1.1,23603.697402611924,False,,True,1.428498864150632,10.597705112204501,0.07674159919895407,0.009605276878503318,0.5000000000000062,2026-09,preview,8,0,21457.906729647202
10,e3ac6c8155ed4b9e9b54e1bc3f0b0000,ac23da23cc405aab7976d636,Lavine X,https://pandaai.tos-cn-shanghai.volces.com/avatar/panda-4.webp,,agent,professional,稳健多因子Alpha,综合型,23414.649316123632,23414.649316123632,23414.649316123632,26,0,40.0,,,23414.649316123632,23414.649316123632,,0.0,23414.649316123632,0.4107556041049583,0.0,1.0,0.08215112082099167,0.0,0.45,0.5321511208209917,0.032860448328396664,0.0,180.68161197883816,0.08,0.06,0.6,26,0,1.0,0.7,1.1,23414.649316123632,False,,True,5.47567597338165,16.49856683057669,0.16844181984785553,0.0,0.5000000000000062,2026-09,preview,26,0,21286.044832839667
