raw_formula,formula,signature,scale_signature,gp_fitness,distinct_fields,historical_exact_match,historical_scale_match,formula_length,full_net_excess,full_gross_excess,full_turnover,full_annual_cost,size_rank_corr,decision,used_fields,train_periods,train_net_excess,train_gross_excess,train_turnover,train_annual_cost,valid_periods,valid_net_excess,valid_gross_excess,valid_turnover,valid_annual_cost,test_periods,test_net_excess,test_gross_excess,test_turnover,test_annual_cost,duplicate_of
"Div(ratio_sp_ttm,TsMax(TsMax(TsMax(TsMax(TsMax(TsMax(TsMax(TsMax(TsMax(TsMax(TsMax(TsMax(current_liabilities,40),40),40),40),40),40),40),40),40),40),40),40))","(RATIO_SP_TTM/TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(CURRENT_LIABILITIES,40),40),40),40),40),40),40),40),40),40),40),40))","DIV(RATIO_SP_TTM,MAX_TS(CURRENT_LIABILITIES,40))","DIV(RATIO_SP_TTM,MAX_TS(CURRENT_LIABILITIES,40))",0.13086661042155567,2,False,False,166,0.13086661042155567,0.14353802589954678,0.041902828961610794,0.012671415477991105,-0.7387732267379761,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.14537478516110003,0.1579132906378132,0.04146331176161766,0.01253850547671318,48.0,0.1836190868318081,0.19655645862221718,0.042782314121723175,0.012937371790409088,47.0,0.03178277427769722,0.04473647170878471,0.042836301028728485,0.012953697431087494,
"Div(ratio_sp_ttm,TsMed(TsWMA(TsMax(TsMax(TsMean(TsMax(current_liabilities,40),20),40),40),50),50))","(RATIO_SP_TTM/TS_MEDIAN(WMA(TS_MAX(TS_MAX(MA(TS_MAX(CURRENT_LIABILITIES,40),20),40),40),50),50))","DIV(RATIO_SP_TTM,MEDIAN(WMA(MAX_TS(MA(MAX_TS(CURRENT_LIABILITIES,40),20),40),50),50))","DIV(RATIO_SP_TTM,MEDIAN(WMA(MAX_TS(MA(MAX_TS(CURRENT_LIABILITIES,40),20),40),50),50))",0.12457297124929448,2,False,False,96,0.12457297124929448,0.1370271876639845,0.04118457809090614,0.012454216414690017,-0.7450740337371826,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.1407487329781872,0.1531495801390034,0.04100809246301651,0.012400847160816192,48.0,0.1598922265648842,0.1724225252866745,0.041436173021793365,0.012530298721790312,47.0,0.03802745243957702,0.050796416211635505,0.04222540929913521,0.012768963772058486,
"Div(ratio_sp_ttm,TsWMA(TsMax(TsMax(TsMax(current_liabilities,40),40),20),30))","(RATIO_SP_TTM/WMA(TS_MAX(TS_MAX(TS_MAX(CURRENT_LIABILITIES,40),40),20),30))","DIV(RATIO_SP_TTM,WMA(MAX_TS(MAX_TS(CURRENT_LIABILITIES,40),20),30))","DIV(RATIO_SP_TTM,WMA(MAX_TS(MAX_TS(CURRENT_LIABILITIES,40),20),30))",0.11608710382887437,2,False,False,75,0.11608710382887437,0.12868732950994088,0.04166741296648979,0.012600225681066514,-0.7485575079917908,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.13186055242092642,0.14438160347611936,0.04140559211373329,0.012521051055192947,48.0,0.15276140894293788,0.16498115211725237,0.04040920361876488,0.012219743174314497,47.0,0.029556071489795728,0.04286881247733502,0.04402361437678337,0.013312740987539292,
"Div(ratio_sp_ttm,TsMax(TsMax(TsSum(current_liabilities,40),40),40))","(RATIO_SP_TTM/TS_MAX(TS_MAX(SUM(CURRENT_LIABILITIES,40),40),40))","DIV(RATIO_SP_TTM,MAX_TS(SUM(CURRENT_LIABILITIES,40),40))","DIV(RATIO_SP_TTM,MAX_TS(SUM(CURRENT_LIABILITIES,40),40))",0.11321934363767816,2,False,False,64,0.11321934363767816,0.1255196143977375,0.04067549854516983,0.012300270760059356,-0.7470560073852539,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.12742036603689194,0.13973225355148317,0.04071391373872757,0.012311887514591216,48.0,0.15429611229300502,0.16616546139121058,0.03925049304962158,0.011869349098205566,47.0,0.027134176702448665,0.039859053809592065,0.0420796200633049,0.0127248771071434,
"Div(ratio_sp_ttm,TsMax(Greater(current_liabilities,TsStd(Greater(TsMax(ratio_pcf_ocf_ttm,40),Ref(Constant(-0.01),50)),50)),40))","(RATIO_SP_TTM/TS_MAX(MAX(CURRENT_LIABILITIES,STDDEV(MAX(TS_MAX(RATIO_PCF_OCF_TTM,40),REF((-0.01),50)),50)),40))","DIV(RATIO_SP_TTM,MAX_TS(MAX(STD(MAX(MAX_TS(RATIO_PCF_OCF_TTM,40),REF(MUL(-1,0.01),50)),50),CURRENT_LIABILITIES),40))","DIV(RATIO_SP_TTM,MAX_TS(MAX(STD(MAX(MAX_TS(RATIO_PCF_OCF_TTM,40),REF(MUL(-1,0.01),50)),50),CURRENT_LIABILITIES),40))",0.11199197631216148,3,False,False,111,0.11199197631216148,0.12592754522299865,0.0460832305252552,0.013935568910837172,-0.7626488208770752,reject_size_exposure,"current_liabilities,ratio_pcf_ocf_ttm,ratio_sp_ttm",146.0,0.13000137646083965,0.14436896990423334,0.047511883080005646,0.014367593443393709,48.0,0.1513746916651726,0.16510406881570816,0.045401379466056824,0.013729377150535583,47.0,0.015668625361234582,0.02863132487586204,0.042866069823503494,0.012962699514627455,
"Div(ratio_sp_ttm,TsMax(TsMax(TsMax(TsMax(TsMax(TsStd(Abs(current_liabilities),50),40),40),40),40),40))","(RATIO_SP_TTM/TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(STDDEV(ABS(CURRENT_LIABILITIES),50),40),40),40),40),40))","DIV(RATIO_SP_TTM,MAX_TS(STD(ABS(CURRENT_LIABILITIES),50),40))","DIV(RATIO_SP_TTM,MAX_TS(STD(ABS(CURRENT_LIABILITIES),50),40))",0.11133063264691978,2,False,False,105,0.11133063264691978,0.12829914330446868,0.05611279979348183,0.016968510657548903,-0.6779401302337646,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.13260951852463698,0.14975325832628225,0.05669226124882698,0.017143739801645276,48.0,0.1517477184355259,0.16889164298772813,0.05669287219643593,0.017143924552202223,47.0,0.0042695521744007744,0.020198277685236424,0.05267435684800148,0.01592872551083565,
"Div(ratio_sp_ttm,TsMed(TsMax(TsMax(current_liabilities,40),40),20))","(RATIO_SP_TTM/TS_MEDIAN(TS_MAX(TS_MAX(CURRENT_LIABILITIES,40),40),20))","DIV(RATIO_SP_TTM,MEDIAN(MAX_TS(CURRENT_LIABILITIES,40),20))","DIV(RATIO_SP_TTM,MEDIAN(MAX_TS(CURRENT_LIABILITIES,40),20))",0.11056975519095714,2,False,False,70,0.11056975519095714,0.12457416621481235,0.04631088301539421,0.014004411023855207,-0.7477687001228333,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.1257805938012796,0.13986785869075827,0.04658487066626549,0.014087264889478684,48.0,0.1453257612884045,0.15870834812521936,0.04425458610057831,0.013382586836814881,47.0,0.02806082078066278,0.04220565912571359,0.04677525907754898,0.01414483834505081,
"Div(ratio_sp_ttm,TsMax(TsMed(TsEMA(current_liabilities,40),20),40))","(RATIO_SP_TTM/TS_MAX(TS_MEDIAN(EMA(CURRENT_LIABILITIES,40),20),40))","DIV(RATIO_SP_TTM,MAX_TS(MEDIAN(EMA(CURRENT_LIABILITIES,40),20),40))","DIV(RATIO_SP_TTM,MAX_TS(MEDIAN(EMA(CURRENT_LIABILITIES,40),20),40))",0.10936927162213445,2,False,False,67,0.10936927162213445,0.12210571479005933,0.04211786761879921,0.012736443167924882,-0.7457683086395264,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.12117991150250174,0.1340021262430165,0.0424015037715435,0.012822214740514754,48.0,0.1531288098335266,0.16551531404256822,0.04096066206693649,0.012386504209041596,47.0,0.027822211529473038,0.04081769300268051,0.042974475771188736,0.012995481473207473,
"Div(ratio_sp_ttm,TsMax(TsMax(TsMax(TsMax(TsMad(oper_main_profit_ttm,50),40),40),40),40))","(RATIO_SP_TTM/TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAD(OPER_MAIN_PROFIT_TTM,50),40),40),40),40))","DIV(RATIO_SP_TTM,MAX_TS(MAD(OPER_MAIN_PROFIT_TTM,50),40))","DIV(RATIO_SP_TTM,MAX_TS(MAD(OPER_MAIN_PROFIT_TTM,50),40))",0.10769646898208812,2,False,False,90,0.10769646898208812,0.12337277341185764,0.05183963105082512,0.015676304429769517,-0.6687180399894714,reject_size_exposure,"oper_main_profit_ttm,ratio_sp_ttm",146.0,0.1282088704418646,0.14383438874597418,0.05167168751358986,0.015625518304109572,48.0,0.14292926906347278,0.15842817127704623,0.05125298351049423,0.015498902213573454,47.0,0.008489059246727762,0.024009934384772117,0.05132564529776573,0.015520875138044355,
"Div(ratio_sp_ttm,TsMed(TsMax(current_liabilities,40),50))","(RATIO_SP_TTM/TS_MEDIAN(TS_MAX(CURRENT_LIABILITIES,40),50))","DIV(RATIO_SP_TTM,MEDIAN(MAX_TS(CURRENT_LIABILITIES,40),50))","DIV(RATIO_SP_TTM,MEDIAN(MAX_TS(CURRENT_LIABILITIES,40),50))",0.10758083972228515,2,False,False,59,0.10758083972228515,0.1220067174602841,0.04770462214946747,0.014425877737998962,-0.7451730966567993,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.12148789851518527,0.13598457852455034,0.0479387566447258,0.014496680009365081,48.0,0.14488261241912842,0.15913331508636475,0.04712533950805664,0.014250702667236327,47.0,0.02591073864432092,0.0406695785674643,0.048805687576532364,0.014758839923143386,
