selection,size,5y_periods,5y_first_signal_date,5y_last_signal_date,5y_mean_stock_count,5y_rank_ic,5y_ic_mean,5y_gross_excess_pct,5y_turnover_pct,5y_annual_cost_pct,5y_net_excess_pct,5y_sharpe_after_cost,5y_max_drawdown_pct,5y_monthly_win_rate_pct,5y_ic_ir,5y_win,5y_s_i,5y_direction,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_ic_ir,recent_win,recent_s_i,recent_direction,key,platform_net,platform_si
size_only,1,120,2021-09-07,2026-08-10,4602.416666666667,0.05598958449837288,0.04735583494699269,23.080499960525014,8.637494691781553,1.3059891973973707,21.774510763127644,1.0055295025762443,33.20967731384196,71.66666666666667,0.27442319556782657,0.65,0.009987146452762916,1,15,2026-01-09,2026-08-10,4913.6,0.04463980303734316,0.027048726634224182,11.930579072931346,8.882274396537438,1.342999888756461,10.587579184174887,0.08885841542460765,23.023260769267083,50.0,0.16702372173773153,0.6,0.0044735436245618085,1,size_only,21.433287999999997,0.010244872746
t10_size_plus_impact_aggregate,1,120,2021-09-07,2026-08-10,3923.15,0.11126729966570571,0.0738097449785025,26.66424643959575,27.219530248531797,4.115592973578008,22.548653466017743,1.0684965705031892,26.128938484733034,83.33333333333334,0.4406070029058609,0.7083333333333334,0.034726148927553886,1,15,2026-01-09,2026-08-10,4613.8,0.07195591740192855,0.029832272576223746,12.67521625676401,26.124811679524772,3.9500715259441455,8.725144730819864,-0.02092719490287728,19.973705106580287,75.0,0.13197290078472818,0.5333333333333333,0.0050646566123513665,1,t10_size_plus_impact_aggregate,19.759592,0.032016046951
t10_size_plus_impact_g13,1,120,2021-09-07,2026-08-10,3923.15,0.11030228996393013,0.073335368294521,26.822591332331758,26.9985553254458,4.082181565207406,22.740409767124355,1.0701657625752532,26.301463874327414,81.66666666666667,0.4328053372344721,0.6916666666666667,0.033019765365521536,1,15,2026-01-09,2026-08-10,4613.8,0.07067822219963894,0.028871891154647885,12.957379014099379,25.92171498950594,3.919363306413298,9.038015707686082,-0.008730609701539842,19.874107989515977,75.0,0.1276592818497575,0.4666666666666667,0.004210607841264298,1,t10_size_plus_impact_g13,19.622616,0.030609687605
t10_size_plus_impact_downside,1,120,2021-09-07,2026-08-10,3923.15,0.11194665589517608,0.07389407168055268,25.9794733161665,27.59867048038563,4.172918976634307,21.806554339532195,1.050583753151941,26.106834845150594,78.33333333333333,0.440205441164931,0.6916666666666667,0.03408500620631501,1,15,2026-01-09,2026-08-10,4613.8,0.07279097764818883,0.029902338997310585,11.942316548212538,26.50368040481631,4.0073564772082255,7.934960071004313,-0.05313084314305524,20.158357926677407,62.5,0.13071343465638266,0.4666666666666667,0.004440220726849013,1,t10_size_plus_impact_downside,19.39004,0.031610675250000005
t10_size_plus_impact,1,120,2021-09-07,2026-08-10,3923.15,0.11406061268305234,0.07350453509932182,24.640756798325935,30.76157463250575,4.65115008443487,19.989606713891067,0.9952131939793957,26.817407145507765,78.33333333333333,0.43765806469786883,0.7,0.03494368290358251,1,15,2026-01-09,2026-08-10,4613.8,0.07101285206595527,0.026218866339807353,11.127610446845749,29.061659084568532,4.394122853586762,6.733487593258985,-0.1062124866009726,20.34019754369446,62.5,0.11167158364858264,0.4666666666666667,0.0037007215698169494,1,t10_size_plus_impact,18.157232,0.035246483999999995
t10_size_plus_impact_bm,1,120,2021-09-07,2026-08-10,3919.575,0.12032214003989104,0.074039434505659,24.156354868142273,30.06683280443021,4.546105120029847,19.610249748112423,1.0151339113893925,24.517922961168214,75.0,0.4315621787100486,0.6916666666666667,0.03591581872434741,1,15,2026-01-09,2026-08-10,4609.8,0.07976864631587038,0.02560218136913841,11.50298334493498,28.933165156028096,4.374694571591448,7.128288773343533,-0.09981442901692485,20.1885683635731,62.5,0.09888377131920678,0.4666666666666667,0.0036809848043458998,1,t10_size_plus_impact_bm,18.092280000000002,0.03725596
t10_size_plus_impact_fscore,1,120,2021-09-07,2026-08-10,3833.0833333333335,0.11569024843782641,0.0715047069781522,24.60301294987106,31.87944153897268,4.8201715606926685,19.782841389178394,1.017389983302939,24.304728592060766,78.33333333333333,0.436740731316778,0.675,0.03410548450354533,1,15,2026-01-09,2026-08-10,4513.866666666667,0.07888393702539434,0.02930685488354433,12.67065043817871,30.394665669325455,4.595673449202009,8.074976988976701,-0.057538831046616626,19.913639438543097,62.5,0.11996873823630701,0.4666666666666667,0.004416349649622802,1,t10_size_plus_impact_fscore,17.476064,0.038184424668
t10_size_plus_impact_wc,1,120,2021-09-07,2026-08-10,3919.575,0.11397212391568011,0.07177775228793336,24.045617117762873,28.236410375920745,4.269345248839216,19.776271868923658,1.0086896762355262,25.213898505277466,81.66666666666667,0.4481287061104407,0.6916666666666667,0.03532630812590317,1,15,2026-01-09,2026-08-10,4609.8,0.07012226343608789,0.024476574967081596,9.500525435535423,26.77200757798802,4.047927545791789,5.452597889743633,-0.16144634662012342,19.8415303123585,62.5,0.10741470375243908,0.4666666666666667,0.0035150090049376735,1,t10_size_plus_impact_wc,17.443168,0.031779545036
t10_size_plus_impact_dd120,1,120,2021-09-07,2026-08-10,3923.15,0.10732948853922707,0.0702763020118562,24.01261163333381,32.307954711864376,4.884962752433894,19.12764888089992,0.9597249885321335,25.359462065007598,75.0,0.4156434196868369,0.6583333333333333,0.029368773802708307,1,15,2026-01-09,2026-08-10,4613.8,0.06249991247990932,0.020624346962172805,9.811283434369644,31.512895891043314,4.764749858725749,5.046533575643895,-0.17163579789347772,20.08699534077184,50.0,0.0874104646020128,0.4666666666666667,0.002549468314145205,1,t10_size_plus_impact_dd120,16.834384,0.029485456000000004
book_to_market_lf_minus_size,1,120,2021-09-07,2026-08-10,4598.408333333334,0.07932006792210133,0.050472113536512424,18.93120097271883,9.720103864207461,1.469679704268168,17.461521268450664,0.9706827626326205,27.163409957055194,70.0,0.3009224829113038,0.6333333333333333,0.015117154796414263,1,15,2026-01-09,2026-08-10,4909.6,0.07007409169580361,0.025530170023544702,10.72486331639121,9.459492794207195,1.4302753104841277,9.294588005907082,0.0026838736351471296,19.77176510474431,50.0,0.11002826713328732,0.4666666666666667,0.0035980610774398974,1,book_to_market_lf_minus_size,16.74068,0.016915119
impact60,1,120,2021-09-07,2026-08-10,4529.666666666667,0.06625311458106892,0.050273227909160285,19.69255454397527,10.539783463410227,1.5936152596676263,18.098939284307644,0.9912540585773629,28.1722983347356,73.33333333333333,0.3695882667905744,0.65,0.015916142961871486,1,15,2026-01-09,2026-08-10,4885.133333333333,0.0618114156856203,0.03941685261566271,16.691622558103024,11.088846181941173,1.6766335427095054,15.014989015393521,0.24206006656629545,19.89740695475729,75.0,0.2621166895495509,0.6,0.009721082193531587,1,impact60,16.443255999999998,0.015785968169999998
reversal_chip_turn_size_eq,1,120,2021-09-07,2026-08-10,3923.15,0.10957483185733848,0.06830208282657181,22.14886983041138,35.86403583701982,5.422642218557397,16.72622761185398,0.9031251342075454,25.684712449983937,75.0,0.41594936691931084,0.6166666666666667,0.02810617553049909,1,15,2026-01-09,2026-08-10,4613.8,0.06608664494303383,0.0200930245964545,7.430085731600022,34.237048280036056,5.176641699941451,2.2534440316585718,-0.29574555978721384,21.16206635465112,37.5,0.0839307973954558,0.4666666666666667,0.002588462243387625,1,reversal_chip_turn_size_eq,16.383983999999998,0.032900570064000004
book_to_market_lf_plus_impact,1,120,2021-09-07,2026-08-10,4525.658333333334,0.07917136581164443,0.049505993156723035,18.083332325954913,9.449185486231082,1.4287168455181396,16.654615480436775,0.9918350025883538,23.48043647052772,68.33333333333333,0.31136212261791935,0.625,0.015406852818545863,1,15,2026-01-09,2026-08-10,4881.133333333333,0.07266497720004429,0.028249950228388308,10.134652080121764,9.30708393720279,1.4072310913050619,8.727420988816704,-0.029534190799651354,18.369838120638306,50.0,0.1230258638257216,0.5333333333333333,0.004767824847952967,1,book_to_market_lf_plus_impact,15.046176,0.015396024336
t10_size_plus_wc_mcap,1,120,2021-09-07,2026-08-10,3919.575,0.1094897105036843,0.06639234281669279,21.27856046254997,32.259533774411494,4.877641506691018,16.400918955858952,0.9147511248742921,25.3724805084382,81.66666666666667,0.42769908498445347,0.6416666666666667,0.030048383106818028,1,15,2026-01-09,2026-08-10,4609.8,0.06539451481448522,0.01864854850446999,6.100298875215515,30.026437857926876,4.539997404118544,1.5603014710969718,-0.3440425629235492,20.74911220279507,50.0,0.08074681796595154,0.4666666666666667,0.002464186192391914,1,t10_size_plus_wc_mcap,14.581016,0.02985811812
t10_nomcap_plus_impact,1,120,2021-09-07,2026-08-10,3923.15,0.11217541167821272,0.06904739927409821,21.98757181968931,34.641734985990055,5.237830329881697,16.749741489807615,0.9266354444335876,25.060619837742937,76.66666666666667,0.4305528407016024,0.6333333333333333,0.030588380031453255,1,15,2026-01-09,2026-08-10,4613.8,0.07203375173556856,0.024804210834750946,9.523985225721121,33.50294860164966,5.065645828569429,4.4583393971516925,-0.20904964502181572,19.959892943372626,62.5,0.10202483286594706,0.4666666666666667,0.003429641358046636,1,t10_nomcap_plus_impact,14.225216,0.033668843940000005
