formula,s_i,turnover,efficiency,net_excess,max_pool_corr,corr_size,corr_h03,corr_t10,corr_e,corr_f
"Log(TsSum(amount,40))",0.021499880518745355,0.10567121207714081,0.20346014866423862,-0.1910916754603386,-0.6162097001571335,-0.6589143923370614,-0.9260124407420258,-0.7312115634526178,-0.6162097001571335,-0.7476293452098299
"Log(TsMean(amount,40))",0.021499912259639986,0.10567121207714081,0.203460449038333,-0.1910916754603386,-0.6162096925836843,-0.6589143826427695,-0.9260124381153908,-0.7312115557116364,-0.6162096925836843,-0.7476293483894223
"Log(TsSum(amount,30))",0.022934108183416464,0.1337508112192154,0.17146892773478462,-0.20258798164129257,-0.6148319673118415,-0.6573466748766179,-0.9088203893722252,-0.759524064074224,-0.6148319673118415,-0.7364881046772226
"Rank(TsMean(amount,30))",0.02447520892957616,0.1337508112192154,0.18299110641999541,-0.20258798164129257,-0.6148319635034719,-0.657346666838708,-0.9088203765624172,-0.7595240708460256,-0.6148319635034719,-0.7364881032056618
"Log(TsMed(amount,40))",0.02036474039740888,0.13726522028446198,0.14836052683415327,-0.1762172634243965,-0.6036082698001191,-0.6236795603544106,-0.8464151880031738,-0.7022587656584914,-0.6036082698001191,-0.7334231952152661
"Log(TsVar(amount,40))",0.0229546229318794,0.12701916694641113,0.1807177883757013,-0.21421540639400483,-0.5804594851486822,-0.614468700634846,-0.8997569830521409,-0.7240989691381959,-0.5804594851486822,-0.7076071221541901
"Log(TsStd(amount,50))",0.020801601201769604,0.11281158030033112,0.18439242803257272,-0.20378767815828325,-0.5781219126222202,-0.6113378320328576,-0.9147451686720113,-0.6973756743703969,-0.5781219126222202,-0.7142078563115514
"Log(TsVar(amount,50))",0.02080160011907073,0.11281158030033112,0.18439241843516374,-0.20378767815828325,-0.5781219120111771,-0.611337831272215,-0.9147451672277341,-0.6973756728749033,-0.5781219120111771,-0.7142078549923396
"Log(TsMax(amount,40))",0.02347912775927932,0.1429387629032135,0.16426004592734214,-0.21563922836780547,-0.5611616811410893,-0.5907149484876235,-0.8740131763511283,-0.7094798900460874,-0.5611616811410893,-0.6857730919561441
"Log(TsMinMaxDiff(amount,40))",0.023244380351096577,0.14490249752998352,0.16041393866442366,-0.21715233192443847,-0.5583666437105521,-0.5870444070828335,-0.8712660890610233,-0.7082784667620267,-0.5583666437105521,-0.682665385540231
"Log(TsMax(amount,50))",0.02106624194532903,0.12391586601734161,0.170004395905048,-0.2031050934433937,-0.5549708715810732,-0.5844697006809411,-0.8879669533494732,-0.680282840536547,-0.5549708715810732,-0.6884791629015545
"Log(TsMinMaxDiff(amount,50))",0.021103291276421406,0.12555816769599915,0.16807581429124227,-0.20333798854351043,-0.5523998132603654,-0.5810346927064335,-0.8855648927579259,-0.6791508484588237,-0.5523998132603654,-0.685691403882863
