formula,fitness,net_excess,gross_excess,turnover,annual_cost,absolute_max_drawdown,excess_max_drawdown,risk_adjusted_score,absolute_dd_target_pass,excess_dd_target_pass,rank_ic,ic_mean,ic_ir,ic_win,ic_periods,ic_direction,s_i,efficiency,turnover_cap_pass,net_floor_pass,periods,coverage,run,submitted_direction
"Rank(TsMean(amount,30))",0.02447520892957616,-0.20258798164129257,-0.1823648589849472,0.1337508112192154,0.020223122656345367,0.6330229043960571,0.6223677396774292,,,,-0.09378225356340408,-0.05838105082511902,-0.3964239455529562,0.6583333611488342,120,0,0.02447520892957616,0.18299110641999541,0.0,0.0,120,1.0,ic_frontier_s113_20260923,0(reversed)
"Log(TsMax(amount,40))",0.02347912775927932,-0.21563922836780547,-0.1940268874168396,0.1429387629032135,0.02161234095096588,0.6361838579177856,0.6319761276245117,,,,-0.09085233509540558,-0.055986836552619934,-0.40275074850901166,0.6416667103767395,120,0,0.02347912775927932,0.16426004592734214,0.0,0.0,120,1.0,ic_frontier_s104_20260923,0(reversed)
"Log(TsMinMaxDiff(amount,40))",0.023244380351096577,-0.21715233192443847,-0.19524307429790497,0.14490249752998352,0.02190925762653351,0.6386047601699829,0.6333581209182739,,,,-0.09087218344211578,-0.05598080903291702,-0.40388212104287957,0.6333333849906921,120,0,0.023244380351096577,0.16041393866442366,0.0,0.0,120,1.0,ic_frontier_s102_20260923,0(reversed)
"Log(TsVar(amount,40))",0.0229546229318794,-0.21421540639400483,-0.19501010835170746,0.12701916694641113,0.019205298042297363,0.6442599892616272,0.6363577842712402,,,,-0.09132983535528183,-0.056187085807323456,-0.39169495663013554,0.6416667103767395,120,0,0.0229546229318794,0.1807177883757013,0.0,0.0,120,1.0,ic_frontier_s104_20260923,0(reversed)
"Log(TsSum(amount,30))",0.022934108183416464,-0.20258798164129257,-0.1823648589849472,0.1337508112192154,0.020223122656345367,0.6330229043960571,0.6223677396774292,,,,-0.09378228336572647,-0.05738631263375282,-0.38111105404369794,0.6416667103767395,120,0,0.022934108183416464,0.17146892773478462,0.0,0.0,120,1.0,ic_frontier_s108_20260923,0(reversed)
"Log(TsMean(amount,40))",0.021499912259639986,-0.1910916754603386,-0.1751141881942749,0.10567121207714081,0.01597748726606369,0.6207863092422485,0.6055976152420044,,,,-0.08967158198356628,-0.055018361657857895,-0.36886587188728004,0.6500000357627869,120,0,0.021499912259639986,0.203460449038333,1.0,0.0,120,1.0,ic_frontier_s104_20260923,0(reversed)
"Log(TsSum(amount,40))",0.021499880518745355,-0.1910916754603386,-0.1751141881942749,0.10567121207714081,0.01597748726606369,0.6207863092422485,0.6055976152420044,,,,-0.08967158198356628,-0.05501832440495491,-0.3688653273207427,0.6500000357627869,120,0,0.021499880518745355,0.20346014866423862,1.0,0.0,120,1.0,ic_frontier_s102_20260923,0(reversed)
"Log(TsMinMaxDiff(amount,50))",0.021103291276421406,-0.20333798854351043,-0.18435359358787537,0.12555816769599915,0.01898439495563507,0.6182644367218018,0.6093859672546387,,,,-0.08653800189495087,-0.05343268811702728,-0.3901784427973709,0.6250000596046448,120,0,0.021103291276421406,0.16807581429124227,0.0,0.0,120,1.0,ic_frontier_s102_20260923,0(reversed)
"Log(TsMax(amount,50))",0.02106624194532903,-0.2031050934433937,-0.18436901450157164,0.12391586601734161,0.01873607894182205,0.6172897815704346,0.6086955070495605,,,,-0.086544930934906,-0.053463730961084366,-0.3894622542760475,0.6250000596046448,120,0,0.02106624194532903,0.170004395905048,0.0,0.0,120,1.0,ic_frontier_s102_20260923,0(reversed)
"Log(TsStd(amount,50))",0.020801601201769604,-0.20378767815828325,-0.18673056721687317,0.11281158030033112,0.017057110941410065,0.6280553340911865,0.619321346282959,,,,-0.08757584542036057,-0.054122600704431534,-0.38004267716747997,0.6250000596046448,120,0,0.020801601201769604,0.18439242803257272,1.0,0.0,120,1.0,ic_frontier_s108_20260923,0(reversed)
"Log(TsVar(amount,50))",0.02080160011907073,-0.20378767815828325,-0.18673056721687317,0.11281158030033112,0.017057110941410065,0.6280553340911865,0.619321346282959,,,,-0.08757583796977997,-0.05412260815501213,-0.380042689719122,0.6250000596046448,120,0,0.02080160011907073,0.18439241843516374,1.0,0.0,120,1.0,ic_frontier_s102_20260923,0(reversed)
"Log(TsMed(amount,40))",0.02036474039740888,-0.1762172634243965,-0.15546276211738586,0.13726522028446198,0.02075450130701065,0.5924962759017944,0.5689775347709656,,,,-0.08788648247718811,-0.05290877819061279,-0.361116461891673,0.6416667103767395,120,0,0.02036474039740888,0.14836052683415327,0.0,0.0,120,1.0,ic_frontier_s108_20260923,0(reversed)
"Log(TsMean(amount,50))",0.019741842550340026,-0.17697891186475753,-0.16300854563713074,0.09239660203456879,0.013970366227626799,0.6027697324752808,0.5821958184242249,,,,-0.0858723521232605,-0.05305219069123268,-0.3582818568972688,0.6416667103767395,120,0,0.019741842550340026,0.21366416205385902,1.0,0.0,120,1.0,ic_frontier_s102_20260923,0(reversed)
"TsMax(Pow(amount,Constant(0.5)),50)",0.019633314674007137,-0.2031050934433937,-0.18436901450157164,0.12391586601734161,0.01873607894182205,0.6172897815704346,0.6086955070495605,,,,-0.0865449458360672,-0.04810118302702904,-0.3678759846874078,0.6166666746139526,120,0,0.019633314674007137,0.15844068483740023,0.0,0.0,120,1.0,ic_frontier_s114_20260923,0(reversed)
"TsEMA(TsMinDiff(amount,20),40)",0.01961336415020233,-0.21031621309518814,-0.18936529040336608,0.1385643035173416,0.02095092269182205,0.6467419862747192,0.6398686170578003,,,,-0.09792722016572952,-0.03731277212500572,-0.338510028389894,0.5916666984558105,120,0,0.01961336415020233,0.14154701934288347,0.0,0.0,120,1.0,ic_frontier_s102_20260923,0(reversed)
"TsSum(TsMinDiff(amount,40),30)",0.01878164960016471,-0.2072144490122795,-0.18544740200042725,0.14396195113658905,0.021767047011852263,0.6350268721580505,0.6296273469924927,,,,-0.09557624161243439,-0.036012906581163406,-0.3275159972985999,0.6000000238418579,120,0,0.01878164960016471,0.13046259412214375,0.0,0.0,120,1.0,ic_frontier_s102_20260923,0(reversed)
"TsWMA(Add(Constant(-10.0),amount),40)",0.01864077244438343,-0.20650046271085737,-0.18639596343040465,0.13296626508235931,0.02010449928045273,0.6409013867378235,0.6327692270278931,,,,-0.0963139533996582,-0.03596537932753563,-0.3271128230864862,0.5916666984558105,120,0,0.01864077244438343,0.14019174286678907,0.0,0.0,120,1.0,ic_frontier_s112_20260923,0(reversed)
"TsWMA(TsMinDiff(amount,20),50)",0.018495848810099632,-0.208403924292326,-0.1897577726840973,0.12332110852003098,0.018646151608228686,0.6419861316680908,0.633332371711731,,,,-0.0952514186501503,-0.035989243537187576,-0.32819026006784086,0.5916666984558105,120,0,0.018495848810099632,0.14998120785700983,0.0,0.0,120,1.0,ic_frontier_s104_20260923,0(reversed)
"TsEMA(amount,40)",0.018403605968868034,-0.20510193979740143,-0.18562422931194306,0.12882083654403687,0.019477710485458374,0.6394557356834412,0.6309681534767151,,,,-0.09629807621240616,-0.03601767122745514,-0.32761855579625504,0.5833333730697632,120,0,0.018403605968868034,0.14286202808950738,0.0,0.0,120,1.0,ic_frontier_s103_20260923,0(reversed)
"TsMinMaxDiff(amount,40)",0.01807261151342935,-0.21713906393051147,-0.19522980630397796,0.14490249752998352,0.02190925762653351,0.6385806202888489,0.6333581209182739,,,,-0.09087220579385757,-0.036323435604572296,-0.35096364655856865,0.5666667222976685,120,0,0.01807261151342935,0.12472256739184036,0.0,0.0,120,1.0,ic_frontier_s106_20260923,0(reversed)
