formula,fitness,net_excess,gross_excess,turnover,annual_cost,absolute_max_drawdown,excess_max_drawdown,risk_adjusted_score,absolute_dd_target_pass,excess_dd_target_pass,rank_ic,ic_mean,ic_ir,ic_win,ic_periods,ic_direction,s_i,efficiency,turnover_cap_pass,net_floor_pass,periods,coverage,run
"TsMinDiff(amount,20)",0.03406856349071759,-0.38406605272293093,-0.3019633197784424,0.543007493019104,0.08210273294448853,0.7294209003448486,0.7874681949615479,,,,-0.10407929122447968,-0.049599722027778625,-0.4790235324567783,0.6833333969116211,120,0,0.03406856349071759,0.06274050345290354,0.0,0.0,120,1.0,ic_frontier_s103_20260923
"TsMinDiff(TsMinDiff(amount,20),20)",0.03222495889545297,-0.3784396051883697,-0.2935427498817444,0.5614871382713318,0.08489685530662536,0.7199088335037231,0.7809231281280518,,,,-0.09948430210351944,-0.04828270897269249,-0.4740292794697282,0.6833333969116211,120,0,0.03222495889545297,0.05739215860698959,0.0,0.0,120,1.0,ic_frontier_s103_20260923
amount,0.031065679718959932,-0.33765008583068845,-0.2824700331687927,0.36494743824005127,0.055180052661895754,0.7246917486190796,0.7613188624382019,,,,-0.1117953360080719,-0.045930031687021255,-0.4220960725898832,0.6583333611488342,120,0,0.031065679718959932,0.08512370950943866,0.0,0.0,120,1.0,ic_frontier_s103_20260923
turnover,0.024752822298273306,-0.39822188272476194,-0.31801195979118346,0.530488908290863,0.0802099229335785,0.7332117557525635,0.8094866871833801,,,,-0.08187160640954971,-0.06539705395698547,-0.46513394141251546,0.6500000357627869,120,0,0.024752822298273306,0.046660395554776656,0.0,0.0,120,1.0,ic_frontier_s103_20260923
"Add(Constant(2.0),TsMinDiff(turnover,10))",0.022377744437644793,-0.3818307712554932,-0.2660610795021057,0.7656725645065308,0.11576969175338746,0.6537664532661438,0.7438068389892578,,,,-0.0597047321498394,-0.05909118801355362,-0.5766259390337478,0.6500000357627869,120,0,0.022377744437644793,0.02922625868417664,0.0,0.0,120,1.0,ic_frontier_s103_20260923
"TsMinDiff(turnover,10)",0.022377744206945487,-0.3818307712554932,-0.2660610795021057,0.7656725645065308,0.11576969175338746,0.6537664532661438,0.7438068389892578,,,,-0.0597047358751297,-0.05909118801355362,-0.5766258971104234,0.6500000357627869,120,0,0.022377744206945487,0.029226258382873814,0.0,0.0,120,1.0,ic_frontier_s103_20260923
"TsDiv(book_to_market_ratio_lyr,40)",0.0215397807966631,-0.008925626099109643,0.07741763681173325,0.5710533261299133,0.08634326291084289,0.28353315591812134,0.09679275751113892,,,,0.08583740144968033,0.05685960873961449,0.4301777007412418,0.5833333730697632,120,1,0.0215397807966631,0.03771938593307983,0.0,0.0,120,1.0,ic_frontier_s103_20260923
"TsMinDiff(volume,40)",0.02099693948318268,-0.3543227421283722,-0.2752444839477539,0.5230043530464172,0.0790782581806183,0.669404923915863,0.736803412437439,,,,-0.0705556720495224,-0.03991750255227089,-0.5251657011182926,0.5666667222976685,120,0,0.02099693948318268,0.04014677767188522,0.0,0.0,120,1.0,ic_frontier_s103_20260923
"TsDiv(low,50)",0.020166786052113275,-0.3901960752010345,-0.31013730525970457,0.5294892191886902,0.08005876994132996,0.7543745040893555,0.8005315065383911,,,,-0.08724796772003174,-0.057471755892038345,-0.4139880560725072,0.5583333373069763,120,0,0.020166786052113275,0.03808724582346328,0.0,0.0,120,1.0,ic_frontier_s103_20260923
"TsMinDiff(volume,30)",0.019983428152582552,-0.3497086124897003,-0.2667333161830902,0.5487784147262573,0.0829752963066101,0.6572061777114868,0.7258473634719849,,,,-0.06773858517408371,-0.038900963962078094,-0.520602396075679,0.5666667222976685,120,0,0.019983428152582552,0.0364143844151573,0.0,0.0,120,1.0,ic_frontier_s103_20260923
