candidate,formula,s_i,seat_turnover,tag,na,nc,comb,net,gross,turnover,monthly_turnover,sr,dd,raw_c,finite_share
"Div(TsDiv(book_to_market_ratio_lyr,40),market_cap)","Div(TsDiv(book_to_market_ratio_lyr,40),market_cap)",0.015230689984368329,0.1519281417131424,replace-SIZE,0.2514815453859208,1.0,0.5002963090771841,0.25114137753549587,0.2746486745103882,0.15547154083923523,0.31094308167847046,1.1488189447785164,0.2787367415566323,0.6175148483018734,0.836155390793945
"Div(TsDiv(book_to_market_ratio_lyr,30),market_cap)","Div(TsDiv(book_to_market_ratio_lyr,30),market_cap)",0.014931964809028097,0.1518785208463668,replace-SIZE,0.2507347324475702,1.0,0.5001469464895141,0.2520358466322798,0.27537868309544455,0.15438383904209485,0.3087676780841897,1.1515952563446106,0.2786184273264246,0.6257220099640343,0.8401853568118629
"Div(Div(TsDiv(book_to_market_ratio_lyr,30),market_cap),marke","Div(Div(TsDiv(book_to_market_ratio_lyr,30),market_cap),market_cap)",0.014703192301636471,0.1185693219304084,replace-SIZE,0.2501628011790912,1.0,0.5000325602358182,0.252654358702754,0.2747736936264511,0.14629189764349934,0.2925837952869987,1.1441702993288678,0.2837350134584774,0.6355106789512158,0.8401853568118629
"Div(TsDiv(ratio_sp_ttm,30),market_cap)","Div(TsDiv(ratio_sp_ttm,30),market_cap)",0.01466556297096354,0.1536686271429062,replace-SIZE,0.25006872785240886,1.0,0.5000137455704818,0.2521232752061797,0.2755026431339096,0.15462544925747268,0.30925089851494536,1.1501790646089842,0.2785803285389208,0.6242353196958852,0.8395628668520235
"Div(TsDiv(book_to_market_ratio_lf,40),market_cap)","Div(TsDiv(book_to_market_ratio_lf,40),market_cap)",0.014333705644886303,0.1514301896095276,replace-SIZE,0.24923908453721574,1.0,0.4998478169074432,0.2513994045261029,0.2752046154819461,0.15744187140107946,0.3148837428021589,1.1492626130933425,0.2787482584003025,0.6106364269806039,0.8364535063330244
"Div(TsDiv(TsEMA(ratio_bm_ttm,40),30),market_cap)","Div(TsDiv(TsEMA(ratio_bm_ttm,40),30),market_cap)",0.013826021958274972,0.1038117334246635,replace-SIZE,0.24796987532068743,1.0,0.4995939750641375,0.2505887514661973,0.2731822887551625,0.14942815667305007,0.29885631334610013,1.1477680415696117,0.2792516683064198,0.6374549105381762,0.8247559468643807
"Div(TsDiv(TsMean(ratio_bm_ttm,40),30),market_cap)","Div(TsDiv(TsMean(ratio_bm_ttm,40),30),market_cap)",0.012949184210968401,0.0958485081791877,replace-SIZE,0.245777780952421,1.0,0.49915555619048424,0.24877505256576324,0.2709694260140256,0.1467881841816296,0.2935763683632592,1.1424755065162082,0.2791013085686461,0.630093983443591,0.8247559468643807
seed,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact,0.0191213601832,,seed,0.23901700229,1.0,0.49780340045800003,0.23799618418561624,0.2596206218421806,0.14301876756987003,0.28603753513974006,1.1317246837126516,0.27412585607685014,0.6024815382310189,
"Div(TsDiv(book_to_market_ratio_lyr,40),market_cap)","Div(TsDiv(book_to_market_ratio_lyr,40),market_cap)",0.015230689984368329,0.1519281417131424,add-6th,0.23091143937576736,1.0,0.4961822878751535,0.2518864857660371,0.27376252944959245,0.1446828285949428,0.2893656571898856,1.1394535757974464,0.28806828666336637,0.6259925333583928,0.836155390793945
"Div(TsDiv(book_to_market_ratio_lyr,30),market_cap)","Div(TsDiv(book_to_market_ratio_lyr,30),market_cap)",0.014931964809028097,0.1518785208463668,add-6th,0.23028909526047522,1.0,0.49605781905209506,0.25125035335846413,0.2730437262386014,0.14413606402207188,0.28827212804414376,1.1382746886121557,0.2879978019658769,0.6238462176944573,0.8401853568118629
