candidate,formula,s_i,seat_turnover,tag,na,nc,comb,net,gross,turnover,monthly_turnover,sr,dd,raw_c,finite_share
seed,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact,0.0191213601832,,seed,0.23901700229,1.0,0.49780340045800003,0.23799618418561624,0.2596206218421806,0.14301876756987003,0.28603753513974006,1.1317246837126516,0.27412585607685014,0.6024815382310189,
"Mul(TsDiv(Inv(ratio_bm_ttm),30),amount)","Mul(TsDiv(Inv(ratio_bm_ttm),30),amount)",0.0350071942217235,0.3904991149902344,add-6th,0.27211248987025727,0.8892736989188454,0.4545956624875319,0.22045084664188971,0.24232716736867332,0.14468466089142606,0.28936932178285213,1.0861983989604924,0.27626845568120406,0.5335642193513073,0.84048656163114
"Mul(amount,TsEMA(turnover,40))","Mul(amount,TsEMA(turnover,40))",0.0365395161419952,0.3378662765026092,add-6th,0.27530482720415667,0.8293290529931996,0.42825903928777115,0.2101461913032949,0.2326947115835527,0.14913042513398017,0.29826085026796034,1.058859105931442,0.2742733080259695,0.49759743179591975,0.8371949335804757
"Mul(TsDiv(Inv(ratio_bm_ttm),30),amount)","Mul(TsDiv(Inv(ratio_bm_ttm),30),amount)",0.0350071942217235,0.3904991149902344,replace-SIZE,0.30092280597930876,0.7716681841528862,0.40743524406466053,0.20091396974544712,0.22506313046854043,0.15971667144902985,0.3194333428980597,1.0582482317310742,0.25366021724015375,0.4630009104917317,0.84048656163114
"Log(Greater(amount,TsPctChange(close,20)))","Log(Greater(amount,TsPctChange(close,20)))",0.0342500019324323,0.3650614321231842,add-6th,0.270535005934234,0.7709903955765073,0.4010526791962751,0.2142650357376884,0.23899311946219726,0.16354552727849772,0.32709105455699544,1.0579867569777859,0.27710116699338827,0.4625942373459044,0.8489141180105035
SLog1p(amount),SLog1p(amount),0.0341016204406239,0.3649474382400512,add-6th,0.2702258778262998,0.7707800623842569,0.4008962036381756,0.21421866061869427,0.23894702796478806,0.16354740308263085,0.3270948061652617,1.0579392383248845,0.2771011669933884,0.46246803743055415,0.8530892801977139
Log(amount),Log(amount),0.0341013123246137,0.3649474382400512,add-6th,0.27022523591794523,0.7707800623842569,0.40089607525650467,0.21421866061869427,0.23894702796478806,0.16354740308263085,0.3270948061652617,1.0579392383248845,0.2771011669933884,0.46246803743055415,0.8530892801977139
"Log(Add(amount,TsMinDiff(TsRank(Constant(-0.01),50),30)))","Log(Add(amount,TsMinDiff(TsRank(Constant(-0.01),50),30)))",0.0341013123246137,0.3649474382400512,add-6th,0.27022523591794523,0.7707800623842569,0.40089607525650467,0.21421866061869427,0.23894702796478806,0.16354740308263085,0.3270948061652617,1.0579392383248845,0.2771011669933884,0.46246803743055415,0.8530892801977139
"Log(Add(amount,TsMin(TsMed(TsDelta(Div(TsCov(book_to_market_","Log(Add(amount,TsMin(TsMed(TsDelta(Div(TsCov(book_to_market_ratio_lyr,Constant(0.01),20),TsMin(Constant(-10.0),30)),10),30),40)))",0.034278104478861,0.3635818362236023,add-6th,0.27059355290596043,0.7690087166263125,0.40017263306303275,0.21345018586473002,0.23812102970447757,0.16316695661208697,0.32633391322417393,1.056257827026779,0.276792545843662,0.4614052299757875,0.812709298733395
"Mul(amount,TsEMA(turnover,40))","Mul(amount,TsEMA(turnover,40))",0.0365395161419952,0.3378662765026092,replace-SIZE,0.304753610779988,0.728228595211992,0.38865359000139404,0.19448713815546032,0.2189090373802356,0.16152049751835493,0.32304099503670985,1.0407504717470268,0.25222397466536073,0.4369371571271952,0.8371949335804757
Log(SLog1p(amount)),Log(SLog1p(amount)),0.0344901557177959,0.3649474382400512,add-6th,0.2710353263204081,0.7266271664628353,0.38118929017235753,0.2120616470345727,0.23791400175288535,0.1709811819994223,0.3419623639988446,1.0504656961930017,0.27561368995914415,0.43597629987770115,0.8530892801977139
