candidate_a,candidate_b,correlation,abs_correlation,days,correlation_std,common_stocks_mean,common_stocks_min,cycle
C5-001,C5-002,0.7862406386634854,0.7862406386634854,241,0.073568269388656,4950.954356846473,4374,5
C5-001,C5-003,0.918080347015117,0.918080347015117,241,0.026626441017460534,4931.991701244813,4321,5
C5-001,C5-004,0.9411156050804999,0.9411156050804999,241,0.02228500961100064,4950.954356846473,4374,5
C5-001,C5-005,0.3300480404902908,0.3300480404902908,241,0.10638479206296785,4423.995850622407,3620,5
C5-001,C5-006,0.10969760617812674,0.10969760617812674,241,0.14378249317845582,4770.0829875518675,4268,5
C5-001,C5-007,0.4829411696614227,0.4829411696614227,241,0.1364025185904868,4879.485477178423,4187,5
C5-001,C5-008,0.5095057743862457,0.5095057743862457,241,0.1736882638663113,4934.630705394191,4329,5
C5-001,C5-009,0.9078612078827488,0.9078612078827488,241,0.012294643721261335,4950.954356846473,4374,5
C5-001,C5-010,0.9857749268738376,0.9857749268738376,241,0.00382445815546581,4950.954356846473,4374,5
C5-001,C5-011,0.3172683590629513,0.3172683590629513,241,0.14472596312691832,4933.8589211618255,4326,5
C5-001,C5-012,0.35813058152648686,0.35813058152648686,241,0.15618749462883658,4950.954356846473,4374,5
C5-001,C5-013,-0.015530093325258754,0.015530093325258754,241,0.10089157604784459,4950.929460580913,4374,5
C5-001,C5-014,0.30751961773100894,0.30751961773100894,241,0.1475472848652827,4925.074688796681,4344,5
C5-002,C5-003,0.9570696751271938,0.9570696751271938,241,0.016777547276362038,4931.991701244813,4321,5
C5-002,C5-004,0.944769883532644,0.944769883532644,241,0.019424418425145112,4950.954356846473,4374,5
C5-002,C5-005,0.1844829253396596,0.1844829253396596,241,0.0853690061839562,4423.995850622407,3620,5
C5-002,C5-006,0.2001863967675153,0.2001863967675153,241,0.08556000955417609,4770.0829875518675,4268,5
C5-002,C5-007,0.14464389671548278,0.14464389671548278,241,0.10993366669795568,4879.485477178423,4187,5
C5-002,C5-008,0.1401140345442798,0.1401140345442798,241,0.14399133585855217,4934.630705394191,4329,5
C5-002,C5-009,0.4718441512343017,0.4718441512343017,241,0.12430639416196292,4950.954356846473,4374,5
C5-002,C5-010,0.7059641238518094,0.7059641238518094,241,0.0950305790979347,4950.954356846473,4374,5
C5-002,C5-011,0.6448566438499181,0.6448566438499181,241,0.057884596128785375,4933.8589211618255,4326,5
C5-002,C5-012,0.6622423554556012,0.6622423554556012,241,0.0653191028244962,4950.954356846473,4374,5
C5-002,C5-013,-0.08040414975525467,0.08040414975525467,241,0.06512130378531246,4950.929460580913,4374,5
C5-002,C5-014,0.5831497612724252,0.5831497612724252,241,0.060282758595278825,4925.074688796681,4344,5
C5-003,C5-004,0.994029505790351,0.994029505790351,241,0.0039475438154893015,4931.991701244813,4321,5
C5-003,C5-005,0.2506953200323555,0.2506953200323555,241,0.08783931024972004,4423.979253112033,3620,5
C5-003,C5-006,0.17143468561524894,0.17143468561524894,241,0.11375617413422422,4766.526970954357,4219,5
C5-003,C5-007,0.28546747365348135,0.28546747365348135,241,0.11400019444348423,4879.468879668049,4187,5
C5-003,C5-008,0.29322264912182483,0.29322264912182483,241,0.15035636859196408,4931.991701244813,4321,5
C5-003,C5-009,0.6789007963189443,0.6789007963189443,241,0.0666751335679449,4931.991701244813,4321,5
C5-003,C5-010,0.8603105864954664,0.8603105864954664,241,0.04151129508879952,4931.991701244813,4321,5
C5-003,C5-011,0.5363746064755177,0.5363746064755177,241,0.0941641848187672,4931.991701244813,4321,5
C5-003,C5-012,0.5630906573307303,0.5630906573307303,241,0.10461366294584035,4931.991701244813,4321,5
C5-003,C5-013,-0.06643316853130524,0.06643316853130524,241,0.08230690527826282,4931.9668049792535,4321,5
C5-003,C5-014,0.49235257688039163,0.49235257688039163,241,0.09627522120125305,4906.170124481328,4291,5
C5-004,C5-005,0.2715447542145047,0.2715447542145047,241,0.09071264768125449,4423.995850622407,3620,5
C5-004,C5-006,0.16362094365795937,0.16362094365795937,241,0.11976235123436181,4770.0829875518675,4268,5
C5-004,C5-007,0.32613248867779926,0.32613248867779926,241,0.11665861666745135,4879.485477178423,4187,5
C5-004,C5-008,0.33659847986887104,0.33659847986887104,241,0.15377011436187782,4934.630705394191,4329,5
C5-004,C5-009,0.7206998828659084,0.7206998828659084,241,0.06245230782120811,4950.954356846473,4374,5
C5-004,C5-010,0.8914238545594266,0.8914238545594266,241,0.036549570640863255,4950.954356846473,4374,5
C5-004,C5-011,0.5076303269693935,0.5076303269693935,241,0.09858854973313572,4933.8589211618255,4326,5
C5-004,C5-012,0.5379633416446498,0.5379633416446498,241,0.10957283563091591,4950.954356846473,4374,5
C5-004,C5-013,-0.04937864190010273,0.04937864190010273,241,0.08055478040358942,4950.929460580913,4374,5
C5-004,C5-014,0.4685379304775262,0.4685379304775262,241,0.1013132242966445,4925.074688796681,4344,5
C5-005,C5-006,0.04815737689829466,0.04815737689829466,241,0.09534995401926312,4328.6556016597515,3536,5
C5-005,C5-007,0.14879888727399476,0.14879888727399476,241,0.11338608444670843,4428.091286307054,3623,5
C5-005,C5-008,0.026625623757389624,0.026625623757389624,241,0.12017152060814285,4428.091286307054,3623,5
C5-005,C5-009,0.36698695404712944,0.36698695404712944,241,0.122042250217345,4428.091286307054,3623,5
C5-005,C5-010,0.36350516693902435,0.36350516693902435,241,0.1112704738033376,4423.995850622407,3620,5
C5-005,C5-011,0.13853587167208106,0.13853587167208106,241,0.11243458791376347,4423.995850622407,3620,5
C5-005,C5-012,0.08089431535091109,0.08089431535091109,241,0.12571100129126128,4423.995850622407,3620,5
C5-005,C5-013,0.04205196964740081,0.04205196964740081,241,0.07666282056446537,4428.066390041494,3623,5
C5-005,C5-014,0.080050195728542,0.080050195728542,241,0.10990698326889911,4398.887966804979,3590,5
C5-006,C5-007,0.051585964463673147,0.051585964463673147,241,0.14957880685558947,4745.717842323652,4089,5
C5-006,C5-008,0.04200298295157909,0.04200298295157909,241,0.1488644954568139,4767.120331950207,4227,5
C5-006,C5-009,0.027343684971695256,0.027343684971695256,241,0.15410103936129765,4770.0829875518675,4268,5
C5-006,C5-010,0.0947657112529794,0.0947657112529794,241,0.15038976768052562,4770.0829875518675,4268,5
C5-006,C5-011,0.5534398351114147,0.5534398351114147,241,0.03556840199718446,4766.921161825726,4224,5
C5-006,C5-012,0.6434530694446723,0.6434530694446723,241,0.03006954155339673,4772.946058091286,4325,5
C5-006,C5-013,-0.15609078277333882,0.15609078277333882,241,0.03027097232138778,4772.946058091286,4325,5
C5-006,C5-014,0.44778628071506493,0.44778628071506493,241,0.03792082284713622,4748.875518672199,4295,5
C5-007,C5-008,0.7900085747338886,0.7900085747338886,241,0.10104066498811203,4883.609958506224,4192,5
C5-007,C5-009,0.6021496805273878,0.6021496805273878,241,0.1391816665152993,4883.609958506224,4192,5
C5-007,C5-010,0.520646537201404,0.520646537201404,241,0.1429174629489858,4879.485477178423,4187,5
C5-007,C5-011,-0.08432372605202362,0.08432372605202362,241,0.1608119609586085,4879.485477178423,4187,5
C5-007,C5-012,-0.013590277227576152,0.013590277227576152,241,0.17412156871141013,4879.485477178423,4187,5
C5-007,C5-013,0.01167244707352216,0.01167244707352216,241,0.11219393244479815,4883.585062240664,4192,5
C5-007,C5-014,-0.056951782217131756,0.056951782217131756,241,0.14258197048559007,4853.738589211618,4157,5
C5-008,C5-009,0.6352982407343384,0.6352982407343384,241,0.17587256723984504,4938.755186721992,4334,5
C5-008,C5-010,0.5435507964974973,0.5435507964974973,241,0.1820669458068317,4934.630705394191,4329,5
C5-008,C5-011,-0.12423673998309692,0.12423673998309692,241,0.16800567872180688,4933.8589211618255,4326,5
C5-008,C5-012,-0.03979300990282646,0.03979300990282646,241,0.1808340618739689,4934.630705394191,4329,5
C5-008,C5-013,0.013506984204456816,0.013506984204456816,241,0.1076322103198546,4938.730290456431,4334,5
C5-008,C5-014,-0.07466381290864729,0.07466381290864729,241,0.15553848186102975,4908.784232365145,4299,5
C5-009,C5-010,0.942943208800997,0.942943208800997,241,0.00667235851478334,4950.954356846473,4374,5
C5-009,C5-011,0.038506977250885706,0.038506977250885706,241,0.16910724842451702,4933.8589211618255,4326,5
C5-009,C5-012,0.08777608807506505,0.08777608807506505,241,0.18338544472002416,4950.954356846473,4374,5
C5-009,C5-013,0.02427372510112665,0.02427372510112665,241,0.11495286556429134,4955.053941908714,4379,5
C5-009,C5-014,0.07010700039540815,0.07010700039540815,241,0.17249838248487318,4925.074688796681,4344,5
C5-010,C5-011,0.24580913880429767,0.24580913880429767,241,0.15484512333810446,4933.8589211618255,4326,5
C5-010,C5-012,0.290326294305791,0.290326294305791,241,0.16571007025358758,4950.954356846473,4374,5
C5-010,C5-013,-0.00022589237092187115,0.00022589237092187115,241,0.10336627660265565,4950.929460580913,4374,5
C5-010,C5-014,0.24702180380318278,0.24702180380318278,241,0.1569946775505747,4925.074688796681,4344,5
C5-011,C5-012,0.9005441068414489,0.9005441068414489,241,0.019943514280273796,4933.8589211618255,4326,5
C5-011,C5-013,-0.13650507738933956,0.13650507738933956,241,0.046542450740766746,4933.834024896266,4326,5
C5-011,C5-014,0.7506976923091603,0.7506976923091603,241,0.027871174824470487,4908.01244813278,4296,5
C5-012,C5-013,-0.19884821398491148,0.19884821398491148,241,0.04533818677824985,4983.161825726141,4450,5
C5-012,C5-014,0.8165008154956845,0.8165008154956845,241,0.013589371263725369,4957.240663900415,4420,5
C5-013,C5-014,-0.4774985988073121,0.4774985988073121,241,0.03402510926510385,4957.248962655602,4420,5
C10-015,C10-016,0.5976964933102984,0.5976964933102984,120,0.09127843373272133,4422.416666666667,3623,10
C10-015,C10-017,0.7792219307531674,0.7792219307531674,120,0.058376651036927955,4422.416666666667,3623,10
C10-015,C10-018,0.6838528337052555,0.6838528337052555,120,0.07521580088190392,4418.308333333333,3620,10
C10-015,C10-019,0.6223493717266125,0.6223493717266125,120,0.07975552857703086,4418.308333333333,3620,10
C10-015,C10-020,0.6522823798737374,0.6522823798737374,120,0.09486297188751637,4422.416666666667,3623,10
C10-015,C10-021,0.6321928797349566,0.6321928797349566,120,0.07906141612245818,4418.308333333333,3620,10
C10-015,C10-022,0.7485310557068924,0.7485310557068924,120,0.0672605056022181,4422.416666666667,3623,10
C10-015,C10-023,0.7345880905607319,0.7345880905607319,120,0.06380023090213455,4393.208333333333,3590,10
C10-015,C10-024,0.8346215617651159,0.8346215617651159,120,0.0458967752574314,4422.416666666667,3623,10
C10-015,C10-025,0.7391280993483853,0.7391280993483853,120,0.047107992828105336,4393.208333333333,3590,10
C10-015,C10-026,0.7465748816603089,0.7465748816603089,120,0.05619739819391894,4393.208333333333,3590,10
C10-015,C10-027,0.4929244657375477,0.4929244657375477,120,0.10231156426702742,4422.416666666667,3623,10
C10-015,C10-028,0.3425422394347691,0.3425422394347691,120,0.13048397606385598,4422.416666666667,3623,10
C10-015,C10-029,0.5777630081327101,0.5777630081327101,120,0.09515781865280333,4422.416666666667,3623,10
C10-015,C10-030,0.1437733825194999,0.1437733825194999,120,0.1270684121724379,4418.308333333333,3620,10
C10-015,C10-031,0.12744361588917508,0.12744361588917508,120,0.136152251185809,4418.308333333333,3620,10
C10-015,C10-032,0.08528822051625537,0.08528822051625537,120,0.152618861396969,4422.416666666667,3623,10
C10-015,C10-033,0.17026405464467623,0.17026405464467623,120,0.10842270859564494,4422.416666666667,3623,10
C10-015,C10-034,0.11193736415112139,0.11193736415112139,120,0.12592381110338807,4422.416666666667,3623,10
C10-015,C10-035,0.12124527839400363,0.12124527839400363,120,0.12506975073373808,4393.208333333333,3590,10
C10-016,C10-017,0.9244993466747381,0.9244993466747381,120,0.015063930168127551,4422.416666666667,3623,10
C10-016,C10-018,0.7897825953454792,0.7897825953454792,120,0.0355852992741854,4418.308333333333,3620,10
C10-016,C10-019,0.676292496333033,0.676292496333033,120,0.06216109204353102,4418.308333333333,3620,10
C10-016,C10-020,0.8010113089244495,0.8010113089244495,120,0.04432885855537837,4422.416666666667,3623,10
C10-016,C10-021,0.7024287536486266,0.7024287536486266,120,0.060654157559106345,4418.308333333333,3620,10
C10-016,C10-022,0.8305454858286035,0.8305454858286035,120,0.02558374830055877,4422.416666666667,3623,10
C10-016,C10-023,0.8606674213881068,0.8606674213881068,120,0.025444282454214165,4393.208333333333,3590,10
C10-016,C10-024,0.7929477808469169,0.7929477808469169,120,0.04277692998360205,4422.416666666667,3623,10
C10-016,C10-025,0.7051300942357793,0.7051300942357793,120,0.07332706274040744,4393.208333333333,3590,10
C10-016,C10-026,0.7119755377521984,0.7119755377521984,120,0.05511243151233505,4393.208333333333,3590,10
C10-016,C10-027,0.8893643998140836,0.8893643998140836,120,0.03578147417516939,4743.85,3946,10
C10-016,C10-028,0.6708506889966308,0.6708506889966308,120,0.1320437020301649,4743.85,3946,10
C10-016,C10-029,0.8875380975644769,0.8875380975644769,120,0.03661469892490846,4743.85,3946,10
C10-016,C10-030,0.1246975903136291,0.1246975903136291,120,0.15181107726897267,4739.708333333333,3941,10
C10-016,C10-031,0.15958062811763646,0.15958062811763646,120,0.1663379613303389,4739.708333333333,3941,10
C10-016,C10-032,0.10275196733998831,0.10275196733998831,120,0.1925427527130804,4743.85,3946,10
C10-016,C10-033,0.08262799054111034,0.08262799054111034,120,0.14985533804296788,4743.85,3946,10
C10-016,C10-034,0.053025626921511915,0.053025626921511915,120,0.16833541863186505,4743.85,3946,10
C10-016,C10-035,0.1264684687021816,0.1264684687021816,120,0.15324745046013552,4714.175,3911,10
C10-017,C10-018,0.8622314883733005,0.8622314883733005,120,0.02312922330612635,4418.308333333333,3620,10
C10-017,C10-019,0.7624639066265682,0.7624639066265682,120,0.048172360463298494,4418.308333333333,3620,10
C10-017,C10-020,0.8477291175069878,0.8477291175069878,120,0.032378292853154626,4422.416666666667,3623,10
C10-017,C10-021,0.7784281393273105,0.7784281393273105,120,0.04838689520863694,4418.308333333333,3620,10
C10-017,C10-022,0.9303376354441255,0.9303376354441255,120,0.010444008031803056,4422.416666666667,3623,10
C10-017,C10-023,0.9286906001173851,0.9286906001173851,120,0.011514015244369773,4393.208333333333,3590,10
C10-017,C10-024,0.9365182491136714,0.9365182491136714,120,0.016843860922875282,4422.416666666667,3623,10
C10-017,C10-025,0.8201481907807937,0.8201481907807937,120,0.04305820150342886,4393.208333333333,3590,10
C10-017,C10-026,0.8308664142167305,0.8308664142167305,120,0.03552273922249369,4393.208333333333,3590,10
C10-017,C10-027,0.8319609986908922,0.8319609986908922,120,0.04245622111706822,4422.416666666667,3623,10
C10-017,C10-028,0.5648963888545319,0.5648963888545319,120,0.12408290178099349,4422.416666666667,3623,10
C10-017,C10-029,0.8124147712476902,0.8124147712476902,120,0.0526855813845341,4422.416666666667,3623,10
C10-017,C10-030,0.14300585957426376,0.14300585957426376,120,0.15075651488175973,4418.308333333333,3620,10
C10-017,C10-031,0.14784066233063442,0.14784066233063442,120,0.16418509748472335,4418.308333333333,3620,10
C10-017,C10-032,0.10378764909553256,0.10378764909553256,120,0.18584505655432032,4422.416666666667,3623,10
C10-017,C10-033,0.15150472612780247,0.15150472612780247,120,0.14592567014828878,4422.416666666667,3623,10
