components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_period_label,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_period_label,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,net_close_count,net_proxy_count,net_other_count,worst_proxy_member,worst_proxy_delta_pp,raw_a,NA_proxy,NC_proxy,comb_proxy
SIZE+H03+CHIP250+ASSET_GROWTH+BM_SIZE,5,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.9,,,24.846825804540494,16.324978769024302,2.4683367898764743,22.378489014664023,1.050244326559007,28.873530603564568,75.0,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.917808219178,,,23.05030605925763,16.103655993607024,2.4348727862333823,20.615433273024248,0.573919370865141,28.873530603564568,83.33333333333334,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.617021276596,,,27.550772950707337,16.664026424982687,2.5196007954573822,25.031172155249955,1.8068109924457896,19.096071449465178,62.5,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.466666666666,,,9.048796873474485,15.302565349302947,2.3137478808146055,6.7350489926598796,-0.07394331921059984,19.096071449465178,62.5,4,1,0,paper-derived-asset-growth,-2.654396786125378,0.010631999999999999,0.1329,0.7840514145453811,0.37940313654542146
SIZE+H03+CHIP250+BM_SIZE+ILLIQ,5,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.766666666666,,,22.58692952020487,15.005352020226855,2.2688092254583005,20.318120294746567,1.0232443275218255,28.028416992108152,81.66666666666667,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.753424657534,,,19.5902269379603,14.702174426512068,2.2229687732886245,17.36725816467167,0.4868773065648578,28.028416992108152,86.11111111111111,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.531914893617,,,28.159074401689075,15.469794291449498,2.339032896867164,25.820041504821912,1.8690175865758794,19.825818253286,75.0,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.2,,,7.090459845092556,13.55764096074172,2.0499153132641483,5.040544531828408,-0.14521407166785616,19.825818253285988,75.0,4,1,0,VERIFY10-G260910-13,2.2899922405804283,0.01268,0.1585,0.7662675324919533,0.376520389621379
SIZE+H03+CHIP250+BM_SIZE+BM_ILLIQ,5,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.766666666666,,,21.130514908010547,14.588177810964709,2.205732485017864,18.92478242299268,0.9922589894261887,27.3995661796266,76.66666666666667,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.753424657534,,,19.607469965179845,14.255873965682806,2.1554881436112403,17.45198182156861,0.49039629615262775,27.3995661796266,86.11111111111111,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.531914893617,,,23.409636448589577,15.097239020758268,2.2827025399386502,21.126933908650926,1.7851315670046353,19.916842238113517,62.5,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.2,,,6.238595660170354,13.694930409395031,2.0706734779005287,4.167922182269826,-0.18693327216019143,19.916842238113507,50.0,5,0,0,,,0.013522000000000001,0.169025,0.7002268318029108,0.34890707431130985
SIZE+H03+CHIP250+ASSET_GROWTH+BM_ILLIQ,5,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.741666666667,,,23.51666342689065,16.214562505663345,2.4516418508562983,21.06502157603435,1.0171353428253735,29.014980416741743,76.66666666666667,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.753424657534,,,21.745990249452664,15.991992253978937,2.4179892288016154,19.328001020651048,0.5373932143110309,29.014980416741743,83.33333333333334,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.468085106383,,,26.23047349680274,16.55552118909477,2.5031948037911294,23.727278693011613,1.775693865685621,19.56952052027068,66.66666666666666,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.2,,,8.256709919133797,14.417454993627826,2.1799191950365273,6.07679072409727,-0.09850806715122447,19.569520520270657,62.5,4,1,0,paper-derived-asset-growth,-2.654396786125378,0.01033,0.12912500000000002,0.7177645595124247,0.3488190517805911
SIZE+H03+CHIP250+ASSET_GROWTH+BM_SIZE+ILLIQ,6,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.741666666667,,,21.371241749038617,14.567355951244073,2.2025842198281036,19.168657529210513,0.9886355042818424,28.129271355269957,80.0,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.753424657534,,,19.21529648317405,14.43587055233517,2.1827036275130776,17.032592855660972,0.4770595563535056,28.129271355269957,86.11111111111111,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.468085106383,,,25.076045590128548,14.768780392125787,2.2330395952894193,22.84300599483913,1.7819197948334167,19.041510348461898,70.83333333333334,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.2,,,6.1898291222567074,13.80861264886573,2.087862232508498,4.1019668897482084,-0.18945866268605252,19.041510348461898,62.5,4,2,0,paper-derived-asset-growth,-2.654396786125378,0.010725,0.1340625,0.6974413253538949,0.34066109640925274
SIZE+H03+CHIP250+BM_ILLIQ+ILLIQ,5,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.766666666666,,,21.3980861179474,15.242649530079893,2.30468860894808,19.09339750899932,0.9904950638158905,28.628770750174592,81.66666666666667,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.753424657534,,,18.630994149786297,14.926017285295224,2.256813813536638,16.37418033624966,0.4560834867701146,28.628770750174592,88.88888888888889,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.531914893617,,,26.50985216031858,15.727703181664921,2.3780287210677358,24.131823439250848,1.8321162654420193,19.582186502126454,70.83333333333334,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.2,,,7.2907744758812125,14.167469008361413,2.1421213140642457,5.148653161816966,-0.13804546862728095,19.582186502126454,75.0,4,1,0,VERIFY10-G260910-13,2.2899922405804283,0.012377999999999998,0.15472499999999997,0.6787324536197737,0.3363746041288982
SIZE+H03+CHIP250+ASSET_GROWTH+BM_SIZE+BM_ILLIQ,6,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.741666666667,,,20.79034154274837,14.328901274286848,2.1665298726721716,18.623811670076197,0.9757044244383386,28.062869456534234,75.0,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.753424657534,,,19.178845318619807,14.057624128484608,2.125512768226873,17.053332550392934,0.4775325014388782,28.062869456534234,80.55555555555556,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.468085106383,,,23.287343707320886,14.74447477423921,2.229364585864969,21.057979121455915,1.7529847369606135,19.760045520191273,66.66666666666666,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.2,,,4.443446269012852,13.322195230666587,2.014315918876788,2.429130350136064,-0.26558895449915454,19.760045520191248,50.0,5,1,0,paper-derived-asset-growth,-2.654396786125378,0.011426666666666667,0.14283333333333334,0.6695587595889563,0.329868108481697
SIZE+H03+CHIP250+ASSET_GROWTH+ILLIQ,5,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4283.016666666666,,,22.670674889282537,16.378008870405512,2.4763549412053134,20.194319948077226,0.9953037161937963,29.33269993155325,76.66666666666667,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3985.780821917808,,,20.002380711262635,16.11724332403211,2.436927190593655,17.56545352066898,0.4855398960698622,29.33269993155325,83.33333333333334,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4744.68085106383,,,27.47746147620238,16.7774794946371,2.536754899589129,24.940706576613252,1.8089325680139559,19.22860206019923,66.66666666666666,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4822.533333333334,,,8.17945779894379,15.378885441381815,2.32528747873693,5.85417032020686,-0.10563033561873246,19.22860206019922,62.5,3,2,0,paper-derived-asset-growth,-2.654396786125378,0.009488,0.1186,0.6627086057368263,0.3219388725815719
SIZE+H03+CHIP250+ASSET_GROWTH+BM_ILLIQ+ILLIQ,6,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.741666666667,,,20.405942427816615,14.872136978402484,2.2486671111344556,18.15727531668216,0.9613819187589755,28.792485994665952,75.0,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.753424657534,,,17.90766076207736,14.79172596252959,2.236508965534474,15.671151796542887,0.4347253549494949,28.792485994665952,80.55555555555556,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.468085106383,,,24.954832476628262,14.995319811229034,2.26729235545783,22.687540121170432,1.7832576060152046,18.67728588273162,66.66666666666666,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.2,,,7.159161756049304,14.40207689889812,2.1775940271133956,4.981567728935908,-0.15417276643941033,18.67728588273162,62.5,4,2,0,paper-derived-asset-growth,-2.654396786125378,0.010473333333333334,0.13091666666666668,0.6347127908335011,0.31180408920840885
SIZE+H03+CHIP250+ASSET_GROWTH+BM_SIZE+BM_ILLIQ+ILLIQ,7,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",120,2021-09-07,2026-08-10,4279.741666666667,,,18.89935063280639,13.318627029227859,2.0137764068192525,16.88557422598714,0.9444774802127806,27.679526511848852,78.33333333333333,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False]",73,2021-09-07,2024-08-28,3983.753424657534,,,17.363541578927734,13.248228884007393,2.0031322072619178,15.360409371665815,0.42988514190458943,27.679526511848852,83.33333333333334,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",47,2024-09-11,2026-08-10,4739.468085106383,,,21.326300748909333,13.426470996374107,2.030082414651765,19.296218334257567,1.7302848904676742,19.38380418290554,70.83333333333334,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True]",15,2026-01-09,2026-08-10,4818.2,,,3.9771694536894997,12.494659811489601,1.889192563497228,2.0879768901922717,-0.2866388001919854,19.383804182905518,50.0,5,2,0,paper-derived-asset-growth,-2.654396786125378,0.011392857142857144,0.1424107142857143,0.5917129287844249,0.2947529608101341
