selection,size,comb,na,nb,nc,net,turnover,test,recent,s_recent,raw_a,change
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore,5,0.5585650957780615,0.24131602230000002,0.1722911180516043,1.0,24.479056270143566,14.969946259587685,26.023762762593684,11.38544619000573,0.010337467083096257,0.019305281784,swap chip250 -> t10_size_plus_impact_fscore
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_bm,5,0.5535560459800053,0.23899486063,0.15930592529715812,1.0,23.7792424672294,14.280638827979915,26.825215140912672,10.906546519132633,0.009558355517829487,0.0191195888504,swap chip250 -> t10_size_plus_impact_bm
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact,5,0.5534564079511364,0.23397117062999997,0.16189192521467524,1.0,24.131205986372013,14.711233939150544,27.60163933838062,11.138033867940086,0.009713515512880515,0.0187176936504,swap chip250 -> t10_size_plus_impact
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate,5,0.553384885048289,0.22589507800749997,0.1663024841336829,1.0,24.036944878074394,13.539282492105789,27.176545678785253,11.092913565217101,0.009978149048020973,0.0180716062406,swap chip250 -> t10_size_plus_impact_aggregate
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside,5,0.5532485204120721,0.22488164875500002,0.16649197331734866,1.0,24.03801329228403,13.650803498472328,27.125303705540826,10.897579674977129,0.00998951839904092,0.0179905319004,swap chip250 -> t10_size_plus_impact_downside
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_g13,5,0.5521061371470517,0.22237917964249998,0.16465800348157636,1.0,24.28520782036466,13.49277765875746,27.218423886379895,11.091139028186426,0.009879480208894582,0.0177903343714,swap chip250 -> t10_size_plus_impact_g13
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_dd120,5,0.5476464265051175,0.21956860063,0.1535220182260502,1.0,24.892760125588474,15.840685065536569,28.69518720984428,10.893228392883433,0.009211321093563011,0.0175654880504,swap chip250 -> t10_size_plus_impact_dd120
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+turn_bias,5,0.5354403399047788,0.18207872436,0.19164853649204808,0.9598835716901377,22.78893472359065,13.162959717775525,25.818398384124148,10.737229249018485,0.011498912189522884,0.0145662979488,swap chip250 -> turn_bias
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_wc_mcap,5,0.535043921540209,0.22050025592999997,0.1646000190797214,0.9629641415029032,23.593897973313574,15.252331722955068,27.141988091151177,10.331314859109069,0.009876001144783285,0.017640020474399998,swap chip250 -> t10_size_plus_wc_mcap
size_only+impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact_abs_return60,6,0.5319971210767304,0.16417316579791663,0.14046425119184858,1.0,24.662111014095203,14.414677843557724,26.470939227716993,11.005594455292943,0.008427855071510915,0.013133853263833331,add impact_abs_return60
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_nomcap_plus_impact,5,0.5315364996713836,0.23002707048,0.16228385238328594,0.9527371938694078,24.143455258999843,16.129138325411123,27.830059805023467,11.512140543157496,0.009737031142997156,0.0184021656384,swap chip250 -> t10_nomcap_plus_impact
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact_abs_return60,5,0.5269352446221847,0.17139561709249995,0.1357097401732121,0.9892393603179122,23.62649286857653,15.25285440778535,25.054311586758327,10.434202656179796,0.008142584410392726,0.013711649367399997,swap size_only -> impact_abs_return60
size_only+impact60+chip250+book_to_market_lf_plus_impact+impact_abs_return60,5,0.5267535762773508,0.15472000145749998,0.1308845028167164,1.0,25.050152336815778,15.447149416639405,29.233967494923878,11.68606369823003,0.007853070169002984,0.0123776001166,swap book_to_market_lf_minus_size -> impact_abs_return60
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_wc,5,0.5257193339288521,0.22530382321999998,0.16031141102105778,0.9434435009499597,23.059500561600963,13.9539193043,26.91529276009445,10.471723707561164,0.009618684661263466,0.0180243058576,swap chip250 -> t10_size_plus_impact_wc
size_only+impact60+chip250+book_to_market_lf_minus_size+impact_abs_return60,5,0.524424031342424,0.1585177381175,0.12205852491121147,1.0,25.856432715118927,15.751356381891881,28.889914819471326,11.76532411624441,0.007323511494672688,0.0126814190494,swap book_to_market_lf_plus_impact -> impact_abs_return60
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+growth_roe,5,0.5201099871751426,0.1460812705325,0.18472189704482514,0.9472023757843416,22.606307681556384,10.45559012250438,24.274813282158238,11.016739721712723,0.011083313822689508,0.0116865016426,swap chip250 -> growth_roe
