selection,size,net_5y,turn_5y,s_5y,comb_5y,net_1y,turn_1y,s_1y,comb_1y,net_3m,turn_3m,s_3m,comb_3m,comb_mean,comb_min,change
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 'f_i10_01']",5,24.151872669753423,16.424323784460356,0.03861916953894515,0.7163305692341799,12.743314680597816,15.623590446835776,0.007698835051061385,0.27931046422992506,57.86869938386886,11.89858919275539,0.08462320935547867,0.8410520802570001,0.612231037907035,0.27931046422992506,R2 swap size_only -> f_i10_01
"['impact60', 'book_to_market_lf_plus_impact', 'growth_revenue', 'f_i10_01', 't10_size_plus_impact_wc']",5,23.79193117476729,16.043929246893924,0.03777614284300004,0.7086747060258336,12.151508430673603,15.525777468249483,0.008107064917962115,0.26409549474687777,53.466920788794845,11.904131343176594,0.08675521346698191,0.8383138727749999,0.6036946911825704,0.26409549474687777,R3 swap t10_size_plus_impact_bm -> t10_size_plus_impact_wc
"['impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01', 'impact_abs_return60']",5,24.84137719375233,15.958091886894374,0.033306910566199964,0.6832396631136665,13.064017748244366,15.334456790380557,0.008198291334649948,0.28355932588590693,53.84233805929147,11.084584934081692,0.08630471095128497,0.8389493514774999,0.6019161134923577,0.28355932588590693,R3 swap book_to_market_lf_plus_impact -> impact_abs_return60
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue']",5,24.927300852669198,16.755056237743936,0.0379162637649224,0.7105196619253806,12.017220260433827,15.890072830910698,0.007392579207718283,0.25228767379329736,57.21286406655701,11.98414246362216,0.08614896757482851,0.8393414566299999,0.6007162641162259,0.25228767379329736,R1 swap book_to_market_lf_minus_size -> growth_revenue
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 'size_only']",5,24.927300852669198,16.755056237743936,0.0379162637649224,0.7105196619253806,12.017220260433827,15.890072830910698,0.007392579207718286,0.25228767379329736,57.21286406655701,11.98414246362216,0.08614896757482851,0.8393414566299999,0.6007162641162259,0.25228767379329736,R3 swap f_i10_01 -> size_only
"['size_only', 'impact60', 'book_to_market_lf_plus_impact', 'growth_revenue', 't10_size_plus_impact_wc']",5,24.41953791623625,16.42261632250504,0.036303855482303006,0.6974969937647679,12.796840363517022,16.110402944382866,0.007783128951005724,0.26722493326473773,59.570475206607256,12.414535294858132,0.08820154671492349,0.836603249148,0.600441725392502,0.26722493326473773,R2 swap t10_size_plus_impact_bm -> t10_size_plus_impact_wc
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01']",5,25.515668349407978,16.538705753833725,0.03265829490523736,0.6789832247425514,13.57982734881134,15.7498133783393,0.007591342864131265,0.2830825161540039,60.276302790003925,12.284125622188313,0.08886181377043309,0.838476504462,0.6001807484528517,0.2830825161540039,R2 swap book_to_market_lf_plus_impact -> f_i10_01
"['impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01', 'size_only']",5,25.515668349407978,16.538705753833725,0.03265829490523736,0.6789832247425512,13.57982734881134,15.7498133783393,0.007591342864131264,0.2830825161540039,60.276302790003925,12.284125622188313,0.08886181377043309,0.838476504462,0.6001807484528517,0.2830825161540039,R3 swap book_to_market_lf_plus_impact -> size_only
"['impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01', 'book_to_market_lf_minus_size']",5,24.667343841834782,16.842750776641154,0.03776255766898796,0.704747256084493,12.081765318826017,16.12212060822687,0.007328673790662122,0.25168432091434945,57.43408464361275,11.943986726362613,0.08697864675537582,0.841811627589,0.5994144015292808,0.25168432091434945,R3 swap book_to_market_lf_plus_impact -> book_to_market_lf_minus_size
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 'f_i10_01', 'impact_abs_return60']",6,24.11921025038914,14.745297003826039,0.03485048430678778,0.692167294827512,12.167306205792348,14.280778432021709,0.007205340056923451,0.2669315389008443,55.35990021390093,12.032238973590966,0.08231379721662473,0.8388728030379167,0.599323878922091,0.2669315389008443,R3 add impact_abs_return60
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'impact_abs_return60']",5,25.474647280233338,16.307076797860066,0.03267970485263296,0.677870339490859,13.505727489322341,15.864284159514371,0.007860605533111341,0.2812791753677027,56.65660435968303,12.112536949058335,0.08723174529727873,0.8372387278505,0.5987960809030205,0.2812791753677027,R2 swap book_to_market_lf_plus_impact -> impact_abs_return60
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 'impact_abs_return60']",6,24.735398340698016,14.83830086423168,0.03376093830501647,0.6843860901280128,12.689070690510787,14.431949406586847,0.006989549419243141,0.27423901481843854,57.690236613784826,11.730961287592475,0.08360486788729207,0.8374472833487501,0.5986907960984005,0.27423901481843854,R2 add impact_abs_return60
"['size_only', 'impact60', 'book_to_market_lf_plus_impact', 'growth_revenue', 't10_size_plus_impact']",5,25.04153481580974,17.232993705487186,0.036359239956059025,0.68859540897959,13.020378435370406,16.6797939055291,0.007849866777096818,0.2657352202364316,59.68648122474175,12.760479222463337,0.08833792151816951,0.8383367186299999,0.5975557826153405,0.2657352202364316,R2 swap t10_size_plus_impact_bm -> t10_size_plus_impact
