train_rank,bitmask,components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_period_label,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_period_label,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,platform_A_raw_mean,A_newcomer_no_decay_proxy,full_min_member_addition_pp,full_vs_best_single_pp,train_min_member_addition_pp,train_vs_best_single_pp,test_min_member_addition_pp,test_vs_best_single_pp,recent_min_member_addition_pp,recent_vs_best_single_pp,contains_new_proxy,same_B01_pair
1,87,SIZE+H03+RET40+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,17.952115337845253,28.62786576421808,4.328533303549774,13.623582034295476,0.8201424231187939,34.096905515906286,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,16.946684772599355,27.843596636730915,4.209951811473714,12.73673296112564,0.2359876512664131,34.096905515906286,77.77777777777779,test,47,2024-09-11,2026-08-10,5059.36170212766,,,19.5137415349293,29.829299321219693,4.510190057368417,15.00355147756088,1.7743066392815796,21.244769679919397,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,11.028336432833171,27.78809548800013,4.20156003778562,6.826776395047554,-0.1566322279596728,21.244769679919383,50.0,0.0110431109624,0.13803888703,-1.7185928390099203,-3.50238150689389,-2.7481968910953967,-4.536049669667426,-1.9141543548240725,-1.8948375243940507,-6.36727199203381,-9.449375042745478,False,True
2,91,SIZE+H03+DD120+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,15.928593781382574,22.74567416381493,3.4391459335688173,12.489447847813755,0.7706097899467429,33.445977573738496,63.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,15.850865677554578,21.61970458187953,3.2688993327801863,12.581966344774392,0.2260929505846869,33.445977573738496,69.44444444444444,test,47,2024-09-11,2026-08-10,5059.36170212766,,,16.049320410732427,24.47056373614149,3.699949236904593,12.349371173827835,1.6631436737617866,21.22460249564203,54.16666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.081571100065825,21.96252681697293,3.320734054726308,2.760837045339517,-0.320275261152885,21.224602495642053,50.0,0.007946663943,0.0993332992875,-2.8527270254916406,-4.63651569337561,-2.902963507446646,-4.690816286018675,-2.7725619392361107,-4.549017828127097,-6.492205763444421,-13.515314392453517,False,True
3,115,SIZE+H03+CHIP250+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,17.092876957342863,27.53959495268917,4.163986756846603,12.928890200496262,0.7869057363696875,33.64546827981395,66.66666666666666,train,73,2021-09-07,2024-08-28,4540.671232876713,,,16.58673185590443,26.69108385604461,4.035691879033945,12.55103997687048,0.2267513462853975,33.64546827981395,72.22222222222221,test,47,2024-09-11,2026-08-10,5059.36170212766,,,17.879017221279167,28.839441739038296,4.360523590942591,13.518493630336575,1.6991278801578578,20.87885397647021,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.365365219939273,25.93557879390299,3.921459513638132,5.443905706301139,-0.2101788589025343,20.87885397647024,50.0,0.0076572225576,0.09571528197,-2.4132846728091355,-4.197073340693105,-2.933889875350557,-4.721742653922586,-1.6034394827273708,-3.379895371618357,-5.229570575846688,-10.832245731491891,False,True
4,79,SIZE+H03+RET40+DD120+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4880.208333333333,,,17.10582307028014,30.26992005477182,4.576811912281499,12.529011157998642,0.7635697129506278,35.02826964112552,73.33333333333333,train,73,2021-09-07,2024-08-28,4736.013698630137,,,16.188999013523137,29.43163765973192,4.450063614151467,11.73893539937167,0.1811800560837169,35.02826964112552,77.77777777777779,test,47,2024-09-11,2026-08-10,5104.170212765957,,,18.529826392477197,31.55409734079038,4.770979517927506,13.758846874549688,1.7328429508530143,19.634837390895864,66.66666666666666,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,12.033387952515794,29.40946182276757,4.446710627602457,7.586677324913336,-0.1326210619092814,19.6348373908959,62.5,0.0099629972066,0.1245374650825,-2.5560247261215068,-4.596952383190725,-2.2200072750841784,-5.533847231421397,-3.1588589578352657,-3.139542127405244,-5.607371062168029,-8.689474112879697,False,True
5,95,SIZE+H03+RET40+DD120+CHIP250+ASSET_GROWTH,6,full,120,2021-09-07,2026-08-10,4743.825,,,16.535281609612014,30.387986460253995,4.594663552790404,11.940618056821611,0.7542605472632353,33.962720761835186,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,15.710871449738113,29.321942304041087,4.433477676371012,11.2773937733671,0.1850141257591101,33.962720761835186,72.22222222222221,test,47,2024-09-11,2026-08-10,5059.36170212766,,,17.81574845367149,32.02107538040993,4.841586597517981,12.97416185615351,1.6928124529470836,21.38509094601724,66.66666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.172645054515018,29.85108964361858,4.513484754115129,3.65916030039989,-0.2832761120520207,21.38509094601721,50.0,0.0098475924311666,0.1230949053895833,-1.6829639774738665,-5.185345484367756,-1.459339187758541,-5.995388857425967,-2.029389621407372,-3.924227145801423,-3.927517024513447,-12.616991137393144,False,True
6,123,SIZE+H03+DD120+CHIP250+DD60+ASSET_GROWTH,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.559222371884244,29.24673545719006,4.422106401127137,11.137115970757105,0.7247499243897431,33.32020719790928,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,15.452219737880906,28.19307184937707,4.2627924636258125,11.189427274255094,0.1815744133506579,33.32020719790928,75.0,test,47,2024-09-11,2026-08-10,5059.36170212766,,,15.725417952357502,30.860858430861036,4.666161794746188,11.059256157611314,1.6121806557075389,21.721456229132546,62.5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.056396243281984,27.827948317707147,4.20758578563732,0.8488104576446637,-0.3935734930333399,21.721456229132546,50.0,0.0070260187604999,0.0878252345062499,-1.7917742297391577,-5.988847570432263,-1.392539070519298,-6.083355356537973,-2.459237472725261,-5.839132844343618,-4.595095248656476,-15.427340980148369,False,True
7,107,SIZE+H03+DD120+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4880.208333333333,,,14.398872759930711,27.93768381429773,4.224177792721817,10.174694967208897,0.6804558408787779,35.054028958867,70.0,train,73,2021-09-07,2024-08-28,4736.013698630137,,,14.395452076283725,26.83852097976815,4.057984372140944,10.33746770414278,0.134695238313064,35.054028958867,75.0,test,47,2024-09-11,2026-08-10,5104.170212765957,,,14.404185736659,29.62150773102392,4.4787719689308165,9.925413767728184,1.5839018505790272,20.82636906853408,62.5,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,7.445310798548952,26.729198879890266,4.041454870639408,3.4038559279095453,-0.2925632899245824,20.826369068534067,62.5,0.0065771088018,0.0822138600225,-3.601361657335952,-6.951268573980473,-3.621474970313068,-6.935314926650287,-4.186792215531012,-6.972975234226748,-7.269620354238283,-12.872295509883488,False,True
8,31,SIZE+H03+RET40+DD120+CHIP250,5,full,120,2021-09-07,2026-08-10,4743.85,,,16.16013371375037,31.917305994889567,4.825896666427302,11.334237047323068,0.7348934969019216,33.12522965743925,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,14.86067197730957,30.34173003287109,4.587669580970109,10.27300239633946,0.1521675722893593,33.12522965743925,69.44444444444444,test,47,2024-09-11,2026-08-10,5059.425531914893,,,18.178446623541397,34.33095427713063,5.190840286702151,12.987606336839244,1.7122312226894507,21.19166186619914,70.83333333333334,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.36079168587603,32.75183337803204,4.952077206758444,3.4087144791175863,-0.2919203816951822,21.19166186619913,62.5,0.0117047288234,0.1463091102925,-1.5505280656602896,-5.7917264938663,-1.9182014903710252,-6.999780234453606,-2.2998858657961776,-3.910782665115688,-3.936532960469252,-12.867436958675446,False,True
9,119,SIZE+H03+RET40+CHIP250+DD60+ASSET_GROWTH,6,full,120,2021-09-07,2026-08-10,4743.825,,,16.625515430295547,33.71901527661939,5.09831510982485,11.527200320470696,0.7360669264662487,34.91598572478658,73.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,14.878268541288492,32.835079197762255,4.9646639747016525,9.91360456658684,0.141829682536699,34.91598572478658,77.77777777777779,test,47,2024-09-11,2026-08-10,5059.36170212766,,,19.339324428115013,35.073130120826065,5.303057274268901,14.03626715384611,1.698031243020679,20.774479160339865,66.66666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,10.667384265402465,32.36016014505096,4.892856213931705,5.7745280514707575,-0.1973510716195456,20.77447916033988,50.0,0.0096063912766666,0.1200798909583333,-2.0963817138247816,-5.598763220718672,-2.823128394538802,-7.359178064206228,-0.9672843237147716,-2.8621218481088224,-3.0697760869058035,-10.501623386322276,False,True
10,103,SIZE+H03+RET40+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4934.841666666666,,,16.66524675643818,33.797474488124074,5.11017814260436,11.555068613833818,0.7249647233477078,36.14200406615695,73.33333333333333,train,73,2021-09-07,2024-08-28,4812.931506849315,,,14.817165964317203,32.76891904021999,4.954660558881263,9.86250540543594,0.115087661037789,36.14200406615695,77.77777777777779,test,47,2024-09-11,2026-08-10,5124.191489361702,,,19.53567011441331,35.373133897679246,5.348417845329101,14.187252269084208,1.722304938756276,19.817482303213215,66.66666666666666,recent,15,2026-01-09,2026-08-10,5163.933333333333,,,13.861126428667694,33.18004160245458,5.016822290291133,8.844304138376561,-0.0893671032241191,19.817482303213264,62.5,0.0096735558212,0.120919447765,-3.529967270286331,-5.57089492735555,-4.043408728778436,-7.410277225357127,-2.7304535633007454,-2.711136732870724,-4.349744248704804,-7.431847299416471,False,True
