train_rank,bitmask,components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_period_label,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_period_label,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,platform_A_raw_mean,A_newcomer_no_decay_proxy,full_min_member_addition_pp,full_vs_best_single_pp,train_min_member_addition_pp,train_vs_best_single_pp,test_min_member_addition_pp,test_vs_best_single_pp,recent_min_member_addition_pp,recent_vs_best_single_pp,contains_new_proxy,same_B01_pair
1,595,SIZE+H03+CHIP250+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.742720526162973,23.08460728442028,3.4903926214043466,13.252327904758626,0.8064278325032327,33.60173282999072,66.66666666666666,train,73,2021-09-07,2024-08-28,4540.671232876713,,,16.920750189548396,22.3311917464362,3.376476192061153,13.544273997487243,0.2612020346409642,33.60173282999072,75.0,test,47,2024-09-11,2026-08-10,5059.36170212766,,,16.4662063681388,24.23877576814057,3.6649028961428542,12.801303471995944,1.6941905223785172,20.860623466149764,54.16666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.109617904907594,22.052444148214622,3.334329555210051,4.775288349697543,-0.2402431161423804,20.86062346614977,50.0,0.0101342066028,0.126677582535,-2.0898469685467718,-3.873635636430741,-1.9406558547337944,-3.728508633305824,-2.3206296410680007,-4.097085529958987,-6.244876127830604,-11.500863088095487,True,True
2,339,SIZE+H03+CHIP250+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.836286445016558,22.538203527004587,3.407776373283094,13.428510071733465,0.8104427200929653,33.561336158176466,68.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,16.84271627560944,21.867148695816084,3.306312882807392,13.536403392802049,0.2609080238541537,33.561336158176466,75.0,test,47,2024-09-11,2026-08-10,5059.36170212766,,,16.826299686861645,23.56620241733591,3.5632098055011894,13.263089881360456,1.7008340806819235,21.515221431171597,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.176596340845373,21.25635905822611,3.213961489603788,2.9626348512415857,-0.31243711333643,21.515221431171582,50.0,0.010495907988,0.13119884985,-1.9136648015719349,-3.6974534694559047,-1.9485264594189893,-3.7363792379910175,-2.4595293841955077,-3.6352991205944742,-7.635131862160708,-13.313516586551447,True,True
3,211,SIZE+H03+CHIP250+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.921520845630056,22.172787313514256,3.352525441803356,13.5689954038267,0.8196627002517687,33.72195984059787,66.66666666666666,train,73,2021-09-07,2024-08-28,4540.671232876713,,,16.69463569277107,21.74371491798365,3.287649695599128,13.406985997171944,0.2582360777714959,33.72195984059787,75.0,test,47,2024-09-11,2026-08-10,5059.36170212766,,,17.273916934113167,22.83008970666753,3.4519095636481305,13.822007370465036,1.7303797320245644,21.233259106339364,54.16666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.114283343374648,20.81091563833789,3.14661044451669,4.967672898857958,-0.2355367352337728,21.233259106339357,50.0,0.011289876528,0.1411234566,-1.7731794694786966,-3.5569681373626665,-2.077943855049094,-3.865796633621123,-2.065612595374612,-3.0763816314898964,-5.467463743854348,-11.308478538935072,True,True
4,203,SIZE+H03+DD120+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.665806079526778,24.04022011282037,3.634881281058441,13.030924798468336,0.7974645149586296,33.40499337351294,68.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,16.502633561524476,23.17812263690261,3.504532142699675,12.998101418824804,0.2429118854040866,33.40499337351294,77.77777777777779,test,47,2024-09-11,2026-08-10,5059.36170212766,,,16.919244245785674,25.36088007592843,3.834565067480379,13.084679178305295,1.7022510425430326,19.90022065330227,54.16666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.250143555024827,23.63463606253272,3.573556972654948,5.67658658236988,-0.2058150897928414,19.90022065330226,50.0,0.0102097627721999,0.1276220346525,-1.740092792502237,-4.095038742721032,-1.0544697692327087,-4.274681211968264,-2.80294078753435,-3.813709823649635,-4.758550060342427,-10.599564855423154,True,True
5,87,SIZE+H03+RET40+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,17.952115337845253,28.62786576421808,4.328533303549774,13.623582034295476,0.8201424231187939,34.096905515906286,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,16.946684772599355,27.843596636730915,4.209951811473714,12.73673296112564,0.2359876512664131,34.096905515906286,77.77777777777779,test,47,2024-09-11,2026-08-10,5059.36170212766,,,19.5137415349293,29.829299321219693,4.510190057368417,15.00355147756088,1.7743066392815796,21.244769679919397,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,11.028336432833171,27.78809548800013,4.20156003778562,6.826776395047554,-0.1566322279596728,21.244769679919383,50.0,0.0110431109624,0.13803888703,-1.7185928390099203,-3.50238150689389,-2.7481968910953967,-4.536049669667426,-1.9141543548240725,-1.8948375243940507,-6.36727199203381,-9.449375042745478,False,True
6,91,SIZE+H03+DD120+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,15.928593781382574,22.74567416381493,3.4391459335688173,12.489447847813755,0.7706097899467429,33.445977573738496,63.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,15.850865677554578,21.61970458187953,3.2688993327801863,12.581966344774392,0.2260929505846869,33.445977573738496,69.44444444444444,test,47,2024-09-11,2026-08-10,5059.36170212766,,,16.049320410732427,24.47056373614149,3.699949236904593,12.349371173827835,1.6631436737617866,21.22460249564203,54.16666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.081571100065825,21.96252681697293,3.320734054726308,2.760837045339517,-0.320275261152885,21.224602495642053,50.0,0.007946663943,0.0993332992875,-2.8527270254916406,-4.63651569337561,-2.902963507446646,-4.690816286018675,-2.7725619392361107,-4.549017828127097,-6.492205763444421,-13.515314392453517,False,True
7,115,SIZE+H03+CHIP250+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,17.092876957342863,27.53959495268917,4.163986756846603,12.928890200496262,0.7869057363696875,33.64546827981395,66.66666666666666,train,73,2021-09-07,2024-08-28,4540.671232876713,,,16.58673185590443,26.69108385604461,4.035691879033945,12.55103997687048,0.2267513462853975,33.64546827981395,72.22222222222221,test,47,2024-09-11,2026-08-10,5059.36170212766,,,17.879017221279167,28.839441739038296,4.360523590942591,13.518493630336575,1.6991278801578578,20.87885397647021,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.365365219939273,25.93557879390299,3.921459513638132,5.443905706301139,-0.2101788589025343,20.87885397647024,50.0,0.0076572225576,0.09571528197,-2.4132846728091355,-4.197073340693105,-2.933889875350557,-4.721742653922586,-1.6034394827273708,-3.379895371618357,-5.229570575846688,-10.832245731491891,False,True
8,331,SIZE+H03+DD120+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,15.777179451304754,24.174427049163487,3.655173369833519,12.122006081471234,0.7651468016628974,33.74896330151176,66.66666666666666,train,73,2021-09-07,2024-08-28,4540.671232876713,,,15.894445367305934,23.06325602773537,3.487164311393588,12.407281055912346,0.2223838192432286,33.74896330151176,75.0,test,47,2024-09-11,2026-08-10,5059.36170212766,,,15.595043028579516,25.87664648624484,3.91254894872022,11.682494079859296,1.6552429330426524,20.57561437395757,54.16666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.644640265966049,23.37294364123191,3.5339890785542645,3.110651187411785,-0.3062242721828203,20.575614373957617,50.0,0.0094157942322,0.1176974279025,-2.536210987329591,-5.0039574597181335,-1.567310215772837,-4.865501574880721,-4.0401251856966685,-5.215894922095636,-7.487115525990509,-13.165500250381248,True,True
9,587,SIZE+H03+DD120+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4880.208333333333,,,15.604016644983854,24.456746689244515,3.6978600994137705,11.906156545570084,0.7460708516187445,34.104571808442486,68.33333333333333,train,73,2021-09-07,2024-08-28,4736.013698630137,,,15.940825741397736,23.44907397268615,3.545499984670146,12.395325756727589,0.2039852891335019,34.104571808442486,77.77777777777779,test,47,2024-09-11,2026-08-10,5104.170212765957,,,15.0808876228942,26.0004155316318,3.931262828382728,11.149624794511473,1.6267283498563976,20.49731708553586,54.16666666666666,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,7.163837054131155,23.645318286909347,3.575172124980693,3.588664929150461,-0.2910564426995564,20.49731708553586,50.0,0.009054092847,0.1131761605874999,-2.5943978701821404,-5.219806995619285,-1.814159360077193,-4.877456874065478,-3.80526469424583,-5.748764207443461,-7.431499548377685,-12.687486508642571,True,True
10,451,SIZE+H03+ASSET_GROWTH+C01+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.216434323324677,24.756034390383945,3.7431123998260527,12.473321923498624,0.7842069849050183,34.38367512145243,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,15.69874484563698,24.146515316782143,3.65095311589746,12.04779172973952,0.2143779122801481,34.38367512145243,77.77777777777779,test,47,2024-09-11,2026-08-10,5059.36170212766,,,17.02050521420131,25.689765737178195,3.884292579461343,13.13621263473997,1.7059536598302407,20.182150884284045,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,10.357830770427912,23.6203123835022,3.5713912323855324,6.78643953804238,-0.1615110331113846,20.182150884284063,50.0,0.0127590068172,0.159487585215,-2.297695667471949,-4.652641617690744,-2.0047794583179908,-5.2249909010535465,-2.751407331099678,-3.762176367214962,-3.8113271753599136,-9.489711899750652,True,True
