remove,add,pool,new_proxy,train_net_pct,test_net_pct,full_net_pct,recent_net_pct,train_delta_pp,test_delta_pp,full_delta_pp,recent_delta_pp,turnover_delta_pp,drawdown_delta_pp
RET40,C03,SIZE+H03+CHIP250+ASSET_GROWTH+C03,True,13.544273997487243,12.801303471995944,13.252327904758626,4.775288349697543,0.807541036361604,-2.202248005564936,-0.3712541295368492,-2.0514880453500117,-5.5432584797977995,-0.49517268591556274
RET40,C02,SIZE+H03+CHIP250+ASSET_GROWTH+C02,True,13.536403392802049,13.263089881360456,13.428510071733465,2.9626348512415857,0.7996704316764092,-1.740461596200424,-0.19507196256201098,-3.8641415438059687,-6.089662237213492,-0.5355693577298197
RET40,C01,SIZE+H03+CHIP250+ASSET_GROWTH+C01,True,13.406985997171944,13.822007370465036,13.5689954038267,4.967672898857958,0.6702530360463044,-1.181544107095844,-0.05458663046877632,-1.8591034961895962,-6.455078450703823,-0.3749456753084175
RET40,DD120,SIZE+H03+DD120+CHIP250+ASSET_GROWTH,False,12.581966344774392,12.349371173827835,12.489447847813755,2.760837045339517,-0.15476661635124778,-2.6541803037330443,-1.1341341864817203,-4.065939349708037,-5.88219160040315,-0.6509279421677903
RET40,DD60,SIZE+H03+CHIP250+DD60+ASSET_GROWTH,False,12.55103997687048,13.518493630336575,12.928890200496262,5.443905706301139,-0.18569298425515868,-1.4850578472243043,-0.6946918337992134,-1.382870688746415,-1.0882708115289077,-0.4514372360923389
CHIP250,DD120,SIZE+H03+RET40+DD120+ASSET_GROWTH,False,11.73893539937167,13.758846874549688,12.529011157998642,7.586677324913336,-0.9977975617539698,-1.2447046030111917,-1.0945708762968334,0.7599009298657817,1.642054290553741,0.9313641252192326
CHIP250,C01,SIZE+H03+RET40+ASSET_GROWTH+C01,True,11.1044308240693,14.901304653167577,12.590740230229528,9.099617525474612,-1.6323021370563389,-0.10224682439330302,-1.0328418040659475,2.2728411304270573,2.8301541652874462,0.6772196518895015
CHIP250,C02,SIZE+H03+RET40+ASSET_GROWTH+C02,True,10.681486878000204,14.393324191995603,12.134317001798172,7.943105438689312,-2.0552460831254358,-0.6102272855652764,-1.489265032497304,1.1163290436417572,2.8896184010187618,1.158347965934432
ASSET_GROWTH,C02,SIZE+H03+RET40+CHIP250+C02,True,10.657837790517153,14.012767792268887,11.970423463576296,4.620153487736061,-2.0788951706084866,-0.9907836852919925,-1.6531585707191798,-2.206622907311494,5.39875602401586,-0.7372967851033039
ASSET_GROWTH,C03,SIZE+H03+RET40+CHIP250+C03,True,10.62923072426278,14.55994387688486,12.167183177912582,5.7322772868936775,-2.10750223686286,-0.44360760067601923,-1.4563988563828936,-1.0944991081538769,6.93952986480835,-0.03473223457120156
ASSET_GROWTH,C01,SIZE+H03+RET40+CHIP250+C01,True,10.613103732269735,14.276731030779803,12.046790406225604,4.844734536606336,-2.123629228855904,-0.7268204467810762,-1.5767916280698717,-1.9820418584412183,5.841840671944986,-0.22652710854768543
CHIP250,C03,SIZE+H03+RET40+ASSET_GROWTH+C03,True,10.37715086156265,13.697313628645558,11.676601471675252,9.205064679629007,-2.3595820995629886,-1.3062378489153215,-1.9469805626202241,2.378288284581453,3.5237346861827206,1.8816168622979035
ASSET_GROWTH,DD120,SIZE+H03+RET40+DD120+CHIP250,False,10.27300239633946,12.987606336839244,11.334237047323068,3.4087144791175863,-2.4637305647861787,-2.0159451407216356,-2.2893449869724076,-3.418061915929968,3.289440230671488,-0.9716758584670373
CHIP250,DD60,SIZE+H03+RET40+DD60+ASSET_GROWTH,False,9.86250540543594,14.187252269084208,11.555068613833818,8.844304138376561,-2.8742275556897,-0.8162992084766714,-2.0685134204616578,2.0175277433290066,5.169608723905995,2.045098550250664
SIZE,DD120,H03+RET40+DD120+CHIP250+ASSET_GROWTH,False,9.748590921305157,9.627551232217304,9.70016035562544,-0.748025627089937,-2.9881420398204828,-5.376000245343576,-3.923421678670035,-7.574802022137492,4.270072354155559,-0.9469936815157212
H03,DD120,SIZE+RET40+DD120+CHIP250+ASSET_GROWTH,False,9.732161834220657,9.725613890544066,9.728518349350468,-3.296969519235392,-3.004571126904983,-5.2779375870168135,-3.8950636849450078,-10.123745914282946,3.9999935568523526,-0.4131513728755678
SIZE,C01,H03+RET40+CHIP250+ASSET_GROWTH+C01,True,9.45454281249902,11.676264556220698,10.324076156679048,1.4233191943665722,-3.2821901486266203,-3.327286921340182,-3.2995058776164274,-5.4034572006809825,4.808353540861212,-1.9781922818397888
ASSET_GROWTH,DD60,SIZE+H03+RET40+CHIP250+DD60,False,9.057941480256847,13.959524854973914,10.9759387933557,4.413350923008549,-3.6787914808687923,-1.0440266225869657,-2.647643240939775,-2.4134254720390054,6.6557642811997155,-0.6238113341713998
SIZE,C02,H03+RET40+CHIP250+ASSET_GROWTH+C02,True,8.89112586240725,11.157915106906726,9.778147904801068,0.7753526170294776,-3.8456070987183892,-3.8456363706541534,-3.845434129494407,-6.051423778018076,4.753778314411186,-1.472600652258393
H03,C01,SIZE+RET40+CHIP250+ASSET_GROWTH+C01,True,8.477196489375153,11.722358155511085,9.747486245410627,-1.6838673905357828,-4.259536471750486,-3.281193322049795,-3.8760957888848484,-8.510643785583337,4.946781337922388,-0.26304950545524264
H03,C02,SIZE+RET40+CHIP250+ASSET_GROWTH+C02,True,8.444686932086967,10.60061974886795,9.288200678167849,-2.7039527685668467,-4.292046029038673,-4.402931728692929,-4.335381356127627,-9.530729163614401,4.6792200985686705,-0.23045986437119126
SIZE,C03,H03+RET40+CHIP250+ASSET_GROWTH+C03,True,8.160781940886855,11.053885279662836,9.2928950411907,1.3436209392820857,-4.575951020238785,-3.9496661978980434,-4.330686993104775,-5.483155455765469,5.546678783901676,-0.7936256582618029
H03,C03,SIZE+RET40+CHIP250+ASSET_GROWTH+C03,True,7.924271546945365,10.949407588471702,9.108062380850775,-2.2827503055035825,-4.812461414180275,-4.054143889089177,-4.5155196534447,-9.109526700551136,5.55705428002296,0.14059949032286312
