components,factor_count,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_min_member_addition_pp,recent_vs_best_single_pp
SIZE+H03+CHIP250+ASSET_GROWTH+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.109617904907594,22.052444148214622,3.334329555210051,4.775288349697543,-0.2402431161423804,20.86062346614977,50.0,-6.244876127830604,-11.500863088095487
SIZE+H03+CHIP250+ASSET_GROWTH+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.176596340845373,21.25635905822611,3.213961489603788,2.9626348512415857,-0.31243711333643,21.515221431171582,50.0,-7.635131862160708,-13.313516586551447
SIZE+H03+CHIP250+ASSET_GROWTH+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.114283343374648,20.81091563833789,3.14661044451669,4.967672898857958,-0.2355367352337728,21.233259106339357,50.0,-5.467463743854348,-11.308478538935072
SIZE+H03+DD120+ASSET_GROWTH+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.250143555024827,23.63463606253272,3.573556972654948,5.67658658236988,-0.2058150897928414,19.90022065330226,50.0,-4.758550060342427,-10.599564855423154
SIZE+H03+RET40+CHIP250+ASSET_GROWTH,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,11.028336432833171,27.78809548800013,4.20156003778562,6.826776395047554,-0.1566322279596728,21.244769679919383,50.0,-6.36727199203381,-9.449375042745478
SIZE+H03+DD120+CHIP250+ASSET_GROWTH,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.081571100065825,21.96252681697293,3.320734054726308,2.760837045339517,-0.320275261152885,21.224602495642053,50.0,-6.492205763444421,-13.515314392453517
SIZE+H03+CHIP250+DD60+ASSET_GROWTH,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.365365219939273,25.93557879390299,3.921459513638132,5.443905706301139,-0.2101788589025343,20.87885397647024,50.0,-5.229570575846688,-10.832245731491891
SIZE+H03+DD120+ASSET_GROWTH+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.644640265966049,23.37294364123191,3.5339890785542645,3.110651187411785,-0.3062242721828203,20.575614373957617,50.0,-7.487115525990509,-13.165500250381248
SIZE+H03+DD120+ASSET_GROWTH+C03,5,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,7.163837054131155,23.645318286909347,3.575172124980693,3.588664929150461,-0.2910564426995564,20.49731708553586,50.0,-7.431499548377685,-12.687486508642571
SIZE+H03+ASSET_GROWTH+C01+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,10.357830770427912,23.6203123835022,3.5713912323855324,6.78643953804238,-0.1615110331113846,20.182150884284063,50.0,-3.8113271753599136,-9.489711899750652
SIZE+H03+DD60+ASSET_GROWTH+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,11.478265834290648,27.058463568418084,4.091239691544814,7.3870261427458335,-0.1360347148804506,19.686000582755504,50.0,-3.2864501394019943,-8.889125295047199
