factor_id,factor_name,handler,formula,platform_net_excess_pct,local_net_excess_pct,local_net_positive,high_threshold,high_neighbor_count,high_neighbors,nearest_factor,nearest_correlation,nearest_abs_correlation,neighbor_rows_written
combo-direct-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-EQ,COMBO-DIRECT-OSR2-CHIP-EQ,reversal_chip_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)) / 2",7.8760639999999995,,,0.8,12,COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.923675); NONHT-CHIP-COST-250 (+0.887416); OSR2-RET40 (+0.885864); OSR2-RET40 (+0.885864); OSR3-RET40-BP-INTERACT (+0.860170); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.859111); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ (+0.853424); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD (+0.853424); OSR3-RET40-BP-TSRANK756 (+0.842487); OSR3-RET40-BP-REV2 (+0.828925); T10-NOMCAP-PLUS-IMPACT (+0.828802); OSR4-RET40-BP-CFP-REV3 (+0.808653),COMBO-DIRECT-OSR2-CHIP-TURN-EQ,0.9236753802516297,0.9236753802516297,12
combo-direct-3factor-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-EQ,reversal_chip_turn_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504))) / 3",8.662416,,,0.8,16,OSR2-RET40-TURN-BIAS-EQ (+0.935579); T10-NOMCAP-PLUS-IMPACT (+0.929900); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.928148); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ (+0.926783); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD (+0.926783); COMBO-DIRECT-OSR2-CHIP-EQ (+0.923675); T10-SIZE-PLUS-WC-MCAP (+0.861622); T10-ADD-DD120-20260911 (+0.847210); NONHT-CHIP-COST-250 (+0.831488); OSR2-RET40-TURN-BIAS-PAPER-EQ (+0.829989); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD (+0.829989); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ (+0.818818); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD (+0.818818); OSR2-RET40 (+0.809169); OSR2-RET40 (+0.809169); T10-SIZE-PLUS-IMPACT (+0.805750),OSR2-RET40-TURN-BIAS-EQ,0.9355793808352878,0.9355793808352878,16
combo-direct-4factor-paper-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 4",12.774432000000001,,,0.8,16,OSR2-RET40-TURN-BIAS-PAPER-EQ (+0.946460); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD (+0.946460); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ (+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD (+0.935045); T10-NOMCAP-PLUS-IMPACT (+0.928555); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.928148); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ (+0.897504); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD (+0.897504); T10-ADD-BM-20260911 (+0.895247); T10-SIZE-PLUS-WC-MCAP (+0.894390); T10-ADD-DD120-20260911 (+0.873419); T10-SIZE-PLUS-IMPACT (+0.865616); COMBO-DIRECT-OSR2-CHIP-EQ (+0.859111); OSR2-RET40-TURN-BIAS-EQ (+0.856482); T10-ADD-FSCORE-20260911 (+0.844128); T10-SIZE-PLUS-IMPACT-WC (+0.837497),OSR2-RET40-TURN-BIAS-PAPER-EQ,0.9464602031758208,0.9464602031758208,16
combo-direct-4factor-size-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,reversal_chip_turn_size_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",16.383983999999998,,,0.8,17,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD (+1.000000); T10-NOMCAP-PLUS-IMPACT (+0.968719); T10-ADD-DD120-20260911 (+0.965092); T10-SIZE-PLUS-IMPACT (+0.955010); T10-SIZE-PLUS-WC-MCAP (+0.936281); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.926783); T10-ADD-BM-20260911 (+0.913453); T10-ADD-FSCORE-20260911 (+0.912415); T10-SIZE-PLUS-IMPACT-WC (+0.906949); T10-ADD-DOWNSIDE-IMPACT-20260911 (+0.885441); T10-ADD-AGG-IMPACT-20260911 (+0.875798); T10-ADD-G13-20260911 (+0.873917); OSR2-RET40-TURN-BIAS-PAPER-EQ (+0.863652); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD (+0.863652); OSR2-RET40-TURN-BIAS-EQ (+0.859480); COMBO-DIRECT-OSR2-CHIP-EQ (+0.853424),COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,1.0,1.0,17
combo-direct-4factor-size-2026-ytd-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,reversal_chip_turn_size_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",10.726920000000002,,,0.8,17,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ (+1.000000); T10-NOMCAP-PLUS-IMPACT (+0.968719); T10-ADD-DD120-20260911 (+0.965092); T10-SIZE-PLUS-IMPACT (+0.955010); T10-SIZE-PLUS-WC-MCAP (+0.936281); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.926783); T10-ADD-BM-20260911 (+0.913453); T10-ADD-FSCORE-20260911 (+0.912415); T10-SIZE-PLUS-IMPACT-WC (+0.906949); T10-ADD-DOWNSIDE-IMPACT-20260911 (+0.885441); T10-ADD-AGG-IMPACT-20260911 (+0.875798); T10-ADD-G13-20260911 (+0.873917); OSR2-RET40-TURN-BIAS-PAPER-EQ (+0.863652); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD (+0.863652); OSR2-RET40-TURN-BIAS-EQ (+0.859480); COMBO-DIRECT-OSR2-CHIP-EQ (+0.853424),COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,1.0,1.0,17
alphaprobe-net1-platform-20260914-candidates.report:F-NET01-PLAT-20260914,F-NET01-PLAT-20260914,wma_low_volume40,"WMA((((1/LOW)/LOW)/VOLUME),40)",13.628703999999999,,,0.8,0,,VERIFY-F260910-12,0.7507173936898273,0.7507173936898273,1
h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",16.443255999999998,,,0.8,2,VERIFY-G260910-13 (+0.965583); VERIFY10-G260910-13 (+0.965583),VERIFY-G260910-13,0.965582641510827,0.965582641510827,2
turnover-cost-cycle10-candidates.report:HT-WREV-LOWTURN-21D,HT-WREV-LOWTURN-21D,weighted_reversal_lowturn,"(RANK(-SUM(TURNOVER * RETURNS(CLOSE,1),21) / SUM(TURNOVER,21)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504))) / 2",2.7122639999999993,,,0.8,1,OSR2-RET40-TURN-BIAS-EQ (+0.833129),OSR2-RET40-TURN-BIAS-EQ,0.8331287879827715,0.8331287879827715,1
ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,,,0.8,1,NONHT-CHIP-COST-250 (-0.837677),NONHT-CHIP-COST-250,-0.8376766833549193,0.8376766833549193,1
huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",6.428368,,,0.8,3,HT13-TURN-BIAS-1M (+1.000000); HT13-TURN-BIAS-1M-POS (-1.000000); OSR2-RET40-TURN-BIAS-EQ (-0.821641),HT13-TURN-BIAS-1M,1.0,1.0,3
