factor_id,factor_name,report,handler,formula,direction,platform_factor_direction,platform_factor_id,platform_run_id,configured_cycle,platform_rank_ic,platform_ic_mean,platform_ic_ir,platform_ic_p_value,platform_monotonicity,platform_gross_excess_pct,platform_turnover_pct,platform_annual_cost_pct,platform_net_excess_pct,platform_long_sharpe,platform_long_max_drawdown_pct,platform_long_monthly_win_rate_pct,local_net_excess_pct,local_net_positive,high_threshold,high_neighbor_count,high_neighbor_names,high_neighbors,nearest_factor,nearest_correlation,nearest_abs_correlation,neighbor_rows_written
combo-direct-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-EQ,COMBO-DIRECT-OSR2-CHIP-EQ,combo-direct-20260909-candidates.report.csv,reversal_chip_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)) / 2",1,1,6aa14416ecb163ea7228cd95,6aa1441751cdfe29b2e0b805,10,0.0955,0.0543,0.3591,0.0001,0.93,14.42,43.28,6.543936,7.8760639999999995,0.7541,30.05,55.0,,,0.8,12,COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.923675); NONHT-CHIP-COST-250 [nonht-report-directions-20260909-formula] (+0.887416); OSR2-RET40 [oversold-rebound-recovery-candidates] (+0.885864); OSR2-RET40 [positive-cycle10-candidates] (+0.885864); OSR3-RET40-BP-INTERACT [osr3-ret40-value-candidates] (+0.860170); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (+0.859111); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (+0.853424); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (+0.853424); OSR3-RET40-BP-TSRANK756 [osr3-ret40-value-candidates] (+0.842487); OSR3-RET40-BP-REV2 [osr3-ret40-value-candidates] (+0.828925); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (+0.828802); OSR4-RET40-BP-CFP-REV3 [osr4-ret40-value-refine-candidates] (+0.808653),"COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.923675); NONHT-CHIP-COST-250 [nonht-report-directions-20260909-formula] (net=4.28%, rho=+0.887416); OSR2-RET40 [oversold-rebound-recovery-candidates] (net=1.03%, rho=+0.885864); OSR2-RET40 [positive-cycle10-candidates] (net=5.03%, rho=+0.885864); OSR3-RET40-BP-INTERACT [osr3-ret40-value-candidates] (net=2.73%, rho=+0.860170); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (net=12.77%, rho=+0.859111); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (net=16.38%, rho=+0.853424); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (net=10.73%, rho=+0.853424); OSR3-RET40-BP-TSRANK756 [osr3-ret40-value-candidates] (net=1.64%, rho=+0.842487); OSR3-RET40-BP-REV2 [osr3-ret40-value-candidates] (net=2.48%, rho=+0.828925); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (net=14.23%, rho=+0.828802); OSR4-RET40-BP-CFP-REV3 [osr4-ret40-value-refine-candidates] (net=1.63%, rho=+0.808653)",COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.923675),0.9236753802516297,0.9236753802516297,12
combo-direct-3factor-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-EQ,combo-direct-3factor-20260909-candidates.report.csv,reversal_chip_turn_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504))) / 3",1,1,6aa148c86df2a192a47e7916,6aa148c8cffa1665a21012b2,10,0.101,0.0579,0.4039,0.0,0.92,14.91,41.32,6.247584,8.662416,0.8047,30.05,55.0,,,0.8,16,OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.935579); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (+0.929900); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (+0.928148); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (+0.926783); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (+0.926783); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (+0.923675); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (+0.861622); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (+0.847210); NONHT-CHIP-COST-250 [nonht-report-directions-20260909-formula] (+0.831488); OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (+0.829989); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (+0.829989); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ [osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates] (+0.818818); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD [osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates] (+0.818818); OSR2-RET40 [oversold-rebound-recovery-candidates] (+0.809169); OSR2-RET40 [positive-cycle10-candidates] (+0.809169); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (+0.805750),"OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.935579); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (net=14.23%, rho=+0.929900); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (net=12.77%, rho=+0.928148); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (net=16.38%, rho=+0.926783); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (net=10.73%, rho=+0.926783); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (net=7.88%, rho=+0.923675); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (net=14.58%, rho=+0.861622); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (net=16.83%, rho=+0.847210); NONHT-CHIP-COST-250 [nonht-report-directions-20260909-formula] (net=4.28%, rho=+0.831488); OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (net=11.64%, rho=+0.829989); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (net=7.70%, rho=+0.829989); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ [osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates] (net=5.22%, rho=+0.818818); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD [osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates] (net=4.67%, rho=+0.818818); OSR2-RET40 [oversold-rebound-recovery-candidates] (net=1.03%, rho=+0.809169); OSR2-RET40 [positive-cycle10-candidates] (net=5.03%, rho=+0.809169); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (net=18.16%, rho=+0.805750)",OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.935579),0.9355793808352878,0.9355793808352878,16
combo-direct-4factor-paper-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,combo-direct-4factor-paper-20260909-candidates.report.csv,reversal_chip_turn_paper,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 4",1,1,6aa15326a7f535324660b5d5,6aa15327cffa1665a21012d2,10,0.115,0.0673,0.4386,0.0,0.98,18.39,37.14,5.615568,12.774432000000001,0.9824,24.09,61.67,,,0.8,16,OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (+0.946460); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (+0.946460); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (+0.935045); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (+0.928555); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.928148); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ [osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates] (+0.897504); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD [osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates] (+0.897504); T10-ADD-BM-20260911 [t10-additions-20260911-candidates] (+0.895247); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (+0.894390); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (+0.873419); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (+0.865616); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (+0.859111); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.856482); T10-ADD-FSCORE-20260911 [t10-more-additions-20260911-candidates] (+0.844128); T10-SIZE-PLUS-IMPACT-WC [t10-newdirections-20260911-candidates] (+0.837497),"OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (net=11.64%, rho=+0.946460); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (net=7.70%, rho=+0.946460); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (net=16.38%, rho=+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (net=10.73%, rho=+0.935045); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (net=14.23%, rho=+0.928555); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.928148); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ [osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates] (net=5.22%, rho=+0.897504); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD [osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates] (net=4.67%, rho=+0.897504); T10-ADD-BM-20260911 [t10-additions-20260911-candidates] (net=18.09%, rho=+0.895247); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (net=14.58%, rho=+0.894390); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (net=16.83%, rho=+0.873419); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (net=18.16%, rho=+0.865616); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (net=7.88%, rho=+0.859111); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.856482); T10-ADD-FSCORE-20260911 [t10-more-additions-20260911-candidates] (net=17.48%, rho=+0.844128); T10-SIZE-PLUS-IMPACT-WC [t10-newdirections-20260911-candidates] (net=17.44%, rho=+0.837497)",OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (+0.946460),0.9464602031758208,0.9464602031758208,16
combo-direct-4factor-size-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,combo-direct-4factor-size-20260909-candidates.report.csv,reversal_chip_turn_size_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",1,1,6aa150cb3e7967143f8face0,6aa150cbcffa1665a21012bd,10,0.1104,0.0701,0.4527,0.0,0.98,21.93,36.68,5.546016,16.383983999999998,1.0164,28.3,60.0,,,0.8,17,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (+1.000000); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (+0.968719); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (+0.965092); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (+0.955010); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (+0.936281); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.926783); T10-ADD-BM-20260911 [t10-additions-20260911-candidates] (+0.913453); T10-ADD-FSCORE-20260911 [t10-more-additions-20260911-candidates] (+0.912415); T10-SIZE-PLUS-IMPACT-WC [t10-newdirections-20260911-candidates] (+0.906949); T10-ADD-DOWNSIDE-IMPACT-20260911 [t10-more-additions-20260911-candidates] (+0.885441); T10-ADD-AGG-IMPACT-20260911 [t10-more-additions-20260911-candidates] (+0.875798); T10-ADD-G13-20260911 [t10-additions-20260911-candidates] (+0.873917); OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (+0.863652); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (+0.863652); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.859480); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (+0.853424),"COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (net=10.73%, rho=+1.000000); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (net=14.23%, rho=+0.968719); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (net=16.83%, rho=+0.965092); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (net=18.16%, rho=+0.955010); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (net=14.58%, rho=+0.936281); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (net=12.77%, rho=+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.926783); T10-ADD-BM-20260911 [t10-additions-20260911-candidates] (net=18.09%, rho=+0.913453); T10-ADD-FSCORE-20260911 [t10-more-additions-20260911-candidates] (net=17.48%, rho=+0.912415); T10-SIZE-PLUS-IMPACT-WC [t10-newdirections-20260911-candidates] (net=17.44%, rho=+0.906949); T10-ADD-DOWNSIDE-IMPACT-20260911 [t10-more-additions-20260911-candidates] (net=19.39%, rho=+0.885441); T10-ADD-AGG-IMPACT-20260911 [t10-more-additions-20260911-candidates] (net=19.76%, rho=+0.875798); T10-ADD-G13-20260911 [t10-additions-20260911-candidates] (net=19.62%, rho=+0.873917); OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (net=11.64%, rho=+0.863652); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (net=7.70%, rho=+0.863652); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.859480); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (net=7.88%, rho=+0.853424)",COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (+1.000000),1.0,1.0,17
combo-direct-4factor-size-2026-ytd-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,combo-direct-4factor-size-2026-ytd-candidates.report.csv,reversal_chip_turn_size_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",1,1,6aa159b851cdfe29b2e0b84f,6aa159b851cdfe29b2e0b850,10,0.0819,0.0362,0.181,0.4801,0.76,17.1,42.15,6.37308,10.726920000000002,0.5008,26.38,62.5,,,0.8,17,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (+1.000000); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (+0.968719); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (+0.965092); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (+0.955010); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (+0.936281); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.926783); T10-ADD-BM-20260911 [t10-additions-20260911-candidates] (+0.913453); T10-ADD-FSCORE-20260911 [t10-more-additions-20260911-candidates] (+0.912415); T10-SIZE-PLUS-IMPACT-WC [t10-newdirections-20260911-candidates] (+0.906949); T10-ADD-DOWNSIDE-IMPACT-20260911 [t10-more-additions-20260911-candidates] (+0.885441); T10-ADD-AGG-IMPACT-20260911 [t10-more-additions-20260911-candidates] (+0.875798); T10-ADD-G13-20260911 [t10-additions-20260911-candidates] (+0.873917); OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (+0.863652); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (+0.863652); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.859480); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (+0.853424),"COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (net=16.38%, rho=+1.000000); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (net=14.23%, rho=+0.968719); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (net=16.83%, rho=+0.965092); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (net=18.16%, rho=+0.955010); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (net=14.58%, rho=+0.936281); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (net=12.77%, rho=+0.935045); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.926783); T10-ADD-BM-20260911 [t10-additions-20260911-candidates] (net=18.09%, rho=+0.913453); T10-ADD-FSCORE-20260911 [t10-more-additions-20260911-candidates] (net=17.48%, rho=+0.912415); T10-SIZE-PLUS-IMPACT-WC [t10-newdirections-20260911-candidates] (net=17.44%, rho=+0.906949); T10-ADD-DOWNSIDE-IMPACT-20260911 [t10-more-additions-20260911-candidates] (net=19.39%, rho=+0.885441); T10-ADD-AGG-IMPACT-20260911 [t10-more-additions-20260911-candidates] (net=19.76%, rho=+0.875798); T10-ADD-G13-20260911 [t10-additions-20260911-candidates] (net=19.62%, rho=+0.873917); OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (net=11.64%, rho=+0.863652); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (net=7.70%, rho=+0.863652); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.859480); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (net=7.88%, rho=+0.853424)",COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (+1.000000),1.0,1.0,17
alphaprobe-net1-platform-20260914-candidates.report:F-NET01-PLAT-20260914,F-NET01-PLAT-20260914,alphaprobe-net1-platform-20260914-candidates.report.csv,wma_low_volume40,"WMA((((1/LOW)/LOW)/VOLUME),40)",1,1,6aa7cd278b01f62dc5146aed,6aa7cd283e7967143f8fb524,5,0.0577,0.0281,0.3041,0.0,0.99,16.06,8.04,2.4312959999999997,13.628703999999999,0.9352,33.95,63.33,,,0.8,0,,,VERIFY-F260910-12 [verify-field-scan-20260910-candidates] (+0.750717),0.7507173936898273,0.7507173936898273,1
h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,h03-t10-single-20260911-candidates.report.csv,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",1,1,6aa36bd3cffa1665a2101716,6aa36bd3ecb163ea7228cffe,10,0.0665,0.0486,0.3606,0.0001,0.98,17.86,9.37,1.416744,16.443255999999998,0.9367,30.85,65.0,,,0.8,2,VERIFY-G260910-13 [verify-field-scan-20260910-candidates] (+0.965583); VERIFY10-G260910-13 [verify-field-scan-cycle10-20260910-candidates] (+0.965583),"VERIFY-G260910-13 [verify-field-scan-20260910-candidates] (net=14.70%, rho=+0.965583); VERIFY10-G260910-13 [verify-field-scan-cycle10-20260910-candidates] (net=13.94%, rho=+0.965583)",VERIFY-G260910-13 [verify-field-scan-20260910-candidates] (+0.965583),0.965582641510827,0.965582641510827,2
turnover-cost-cycle10-candidates.report:HT-WREV-LOWTURN-21D,HT-WREV-LOWTURN-21D,turnover-cost-cycle10-candidates.report.csv,weighted_reversal_lowturn,"(RANK(-SUM(TURNOVER * RETURNS(CLOSE,1),21) / SUM(TURNOVER,21)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504))) / 2",1,1,6a9fb7b4ecb163ea7228cbd2,6a9fb7b46df2a192a47e762c,10,0.0998,0.0558,0.479,0.0,0.9,11.94,61.03,9.227736,2.7122639999999993,0.8141,26.72,58.33,,,0.8,1,OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.833129),"OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.833129)",OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.833129),0.8331287879827715,0.8331287879827715,1
ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,ht13-momentum-120d-d0.report.csv,momentum120,"RETURNS(CLOSE,120)",0,0,6aa4e3bd6df2a192a47e7ea3,6aa4e3bfa7f535324660bc2d,10,-0.0665,-0.0438,-0.2947,0.0018,0.83,7.73,35.97,5.438663999999999,2.291336000000001,0.6588,39.84,53.45,,,0.8,1,NONHT-CHIP-COST-250 [nonht-report-directions-20260909-formula] (-0.837677),"NONHT-CHIP-COST-250 [nonht-report-directions-20260909-formula] (net=4.28%, rho=-0.837677)",NONHT-CHIP-COST-250 [nonht-report-directions-20260909-formula] (-0.837677),-0.8376766833549193,0.8376766833549193,1
huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,huatai-series13-candidates.report.csv,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",0,0,6a9e8b253e7967143f8fa933,6a9e8b263e7967143f8fa934,5,-0.0652,-0.0368,-0.3172,0.0001,0.87,11.17,15.68,4.741632,6.428368,0.9929,24.89,61.54,,,0.8,3,HT13-TURN-BIAS-1M [positive-cycle10-candidates] (+1.000000); HT13-TURN-BIAS-1M-POS [huatai-turn-bias-positive] (-1.000000); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (-0.821641),"HT13-TURN-BIAS-1M [positive-cycle10-candidates] (net=4.96%, rho=+1.000000); HT13-TURN-BIAS-1M-POS [huatai-turn-bias-positive] (net=6.40%, rho=-1.000000); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=-0.821641)",HT13-TURN-BIAS-1M [positive-cycle10-candidates] (+1.000000),1.0,1.0,3
