id,name,report,formula,handler,direction,cycle,platform_net_excess_pct,platform_periods_full_window,recent_start,recent_end,recent_periods,recent_stock_count_mean,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,fidelity,factor_id,run_id,platform_rank_ic,platform_ic_mean,platform_ic_ir,platform_ic_p_value,platform_monotonicity,platform_turnover_pct,platform_gross_excess_pct,platform_annual_cost_pct,platform_long_sharpe,platform_long_max_drawdown_pct,platform_long_monthly_win_rate_pct,raw_result,configured_cycle,reason
h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,h03-t10-single-20260911-candidates.report.csv,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",impact60,1,10,16.443255999999998,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5163.933333333333,0.06365449650221296,0.0388781768779541,18.321743860289633,8.909864364961976,1.3471714919822508,16.97457236830738,,,,,,,,,,,,,,,,,
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-G260910-13,VERIFY10-G260910-13,verify-field-scan-cycle10-20260910-candidates.report.csv,"RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",impact_abs_return60,1,10,13.944184,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5163.933333333333,0.05303531144198366,0.03322728144711012,16.224807335034008,9.491044485478445,1.4350459262043411,14.789761408829666,,,,,,,,,,,,,,,,,
size-only-20260911-candidates.report:SIZE-ONLY-20260911,SIZE-ONLY-20260911,size-only-20260911-candidates.report.csv,RANK(MARKET_CAP),size_only,0,10,21.433287999999997,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5185.0,-0.04530152757503176,-0.02576832335096946,14.0038002552307,8.877996689810383,1.34235309949933,12.66144715573137,,,,,,,,,,,,,,,,,
verify-field-scan-20260910-candidates.report:VERIFY-G260910-13,VERIFY-G260910-13,verify-field-scan-20260910-candidates.report.csv,"RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",impact_abs_return60,1,5,14.700511999999998,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5166.193548387097,0.04653852813217828,0.02671651875406247,14.301901863008878,5.4275245282683064,1.6412834173483362,12.660618445660543,,,,,,,,,,,,,,,,,
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-F260910-12,VERIFY10-F260910-12,verify-field-scan-cycle10-20260910-candidates.report.csv,"RANK(book_to_market_ratio_lf) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",book_to_market_lf_plus_impact,1,10,15.046176,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5159.933333333333,0.07178434641262327,0.02734938557710979,11.561790759060765,9.126549744451077,1.379934321361003,10.181856437699762,,,,,,,,,,,,,,,,,
verify-field-scan-20260910-candidates.report:VERIFY-F260910-12,VERIFY-F260910-12,verify-field-scan-20260910-candidates.report.csv,"RANK(book_to_market_ratio_lf) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",book_to_market_lf_plus_impact,1,5,15.588864000000001,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5162.322580645161,0.055757639216074205,0.0209386852308931,11.611787197113674,5.696409348472891,1.7225941869782018,9.889193010135472,,,,,,,,,,,,,,,,,
verify-field-scan-20260910-candidates.report:VERIFY-E260910-04,VERIFY-E260910-04,verify-field-scan-20260910-candidates.report.csv,RANK(book_to_market_ratio_lf) - RANK(MARKET_CAP),book_to_market_lf_minus_size,1,5,17.75808,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5182.967741935484,0.05560111461562852,0.01960816102503005,11.540157110204076,6.753493481867285,2.042256428916667,9.49790068128741,,,,,,,,,,,,,,,,,
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-E260910-04,VERIFY10-E260910-04,verify-field-scan-cycle10-20260910-candidates.report.csv,RANK(book_to_market_ratio_lf) - RANK(MARKET_CAP),book_to_market_lf_minus_size,1,10,16.74068,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5181.0,0.06841379856751269,0.0233865631918309,10.678024240267234,9.44787048144331,1.4285180167942284,9.249506223473007,,,,,,,,,,,,,,,,,
alphaprobe-net1-platform-20260914-candidates.report:F-NET01-PLAT-20260914,F-NET01-PLAT-20260914,alphaprobe-net1-platform-20260914-candidates.report.csv,"WMA((((1/LOW)/LOW)/VOLUME),40)",wma_low_volume40,1,5,13.628703999999999,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5173.709677419355,0.05406083816135249,-0.004093257122058439,10.500145437482008,5.793237868892912,1.7518751315532166,8.748270305928791,,,,,,,,,,,,,,,,,
alphaprobe-gfn-new-20260916-candidates.report:F-GFN-N02-20260916,F-GFN-N02-20260916,alphaprobe-gfn-new-20260916-candidates.report.csv,BOOK_TO_MARKET_RATIO_LF / OPER_MAIN_PROFIT_TTM,book_to_market_lf_div_oper_main_profit_ttm,1,5,12.274464,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5011.4838709677415,0.031561677517317935,0.005652591223789907,8.916041881293598,4.299072468054511,1.3000395143396843,7.616002366953914,,,,,,,,,,,,,,,,,
