formula,net_excess,gross_excess,turnover,annual_cost,periods,coverage,rank_ic,ic_mean,ic_ir,absolute_max_drawdown,excess_max_drawdown,run,objective
"TsDiv(Rank(a_share_market_val),40)",-0.2528760130405426,-0.1739128589630127,0.522243082523346,0.0789631540775299,120,1.0,-0.0891863778233528,-0.0514991469681263,-0.6497472066297335,0.5860146284103394,0.6135661602020264,eff40_s9811,aligned_ic_efficiency
"TsMinDiff(amount,40)",-0.3852756606817246,-0.310584511756897,0.4939890801906585,0.0746911489248275,120,1.0,-0.1107714548707008,-0.0504473857581615,-0.4670148470933817,0.7403709888458252,0.7943351864814758,eff40_s9811,aligned_ic_efficiency
"TsMinDiff(amount,50)",-0.3874041728496551,-0.3144823980331421,0.4822868704795837,0.072921774816513,120,1.0,-0.1116981580853462,-0.0504371896386146,-0.4604869966305423,0.7432701587677002,0.7981120347976685,eff40_s9811,aligned_ic_efficiency
"TsMinDiff(TsMinDiff(amount,40),40)",-0.3899875383853912,-0.312928991317749,0.509646475315094,0.0770585470676422,120,1.0,-0.1088737174868583,-0.050037957727909,-0.4695357085503351,0.7396730184555054,0.7974358797073364,eff40_s9811,aligned_ic_efficiency
Log(amount),-0.3376500858306884,-0.2824700331687927,0.3649474382400512,0.0551800526618957,120,1.0,-0.1117953509092331,-0.0695624053478241,-0.4575500371567654,0.7246917486190796,0.7613188624382019,eff40_s9811,aligned_ic_efficiency
"TsMinDiff(amount,20)",-0.3840660527229309,-0.3019633197784424,0.543007493019104,0.0821027329444885,120,1.0,-0.1040792912244796,-0.0495997220277786,-0.4790235324567783,0.7294209003448486,0.7874681949615479,eff40_s9811,aligned_ic_efficiency
"TsDiv(Rank(a_share_market_val),20)",-0.2832299998283386,-0.1783094465732574,0.6939190030097961,0.1049205532550811,120,1.0,-0.0768536925315857,-0.0484793968498706,-0.6829326518135231,0.570016622543335,0.6062980890274048,eff40_s9811,aligned_ic_efficiency
amount,-0.3376500858306884,-0.2824700331687927,0.3649474382400512,0.0551800526618957,120,1.0,-0.1117953360080719,-0.0459300316870212,-0.4220960725898832,0.7246917486190796,0.7613188624382019,eff40_s9811,aligned_ic_efficiency
Abs(amount),-0.3376500858306884,-0.2824700331687927,0.3649474382400512,0.0551800526618957,120,1.0,-0.1117953360080719,-0.0459300316870212,-0.4220960725898832,0.7246917486190796,0.7613188624382019,eff40_s9811,aligned_ic_efficiency
"TsMinDiff(Rank(a_share_market_val),20)",-0.394045375585556,-0.3039837598800659,0.5956456065177917,0.0900616157054901,120,1.0,-0.0822498798370361,-0.0602332465350627,-0.5216322976549235,0.7238591909408569,0.7870060205459595,eff40_s9811,aligned_ic_efficiency
"TsMinDiff(Rank(a_share_market_val),50)",-0.3339928384065628,-0.2772431945800781,0.3753283321857452,0.0567496438264846,120,1.0,-0.095268078148365,-0.0593265332281589,-0.4480709031169303,0.7211470603942871,0.7608383893966675,eff40_s9811,aligned_ic_efficiency
Log(dpo),-0.3536158304214477,-0.2666844749450683,0.5749428272247314,0.0869313554763794,120,1.0,-0.1017235442996025,-0.0555104538798332,-0.3944997202147293,0.8431990146636963,0.8089452981948853,eff40_s9811,aligned_ic_efficiency
"TsMinDiff(Rank(a_share_market_val),40)",-0.3455656593561172,-0.2821053886413574,0.4197107851505279,0.0634602707147598,120,1.0,-0.0932986289262771,-0.0598253682255744,-0.4655537344835231,0.7241132259368896,0.7656928300857544,eff40_s9811,aligned_ic_efficiency
"TsMinDiff(Rank(Rank(a_share_market_val)),40)",-0.3455656593561172,-0.2821053886413574,0.4197107851505279,0.0634602707147598,120,1.0,-0.0932986289262771,-0.0598253682255744,-0.4655537344835231,0.7241132259368896,0.7656928300857544,eff40_s9811,aligned_ic_efficiency
"TsEMA(amount,10)",-0.2794305450439453,-0.2409062147140503,0.2547905445098877,0.038524330329895,120,1.0,-0.1075303107500076,-0.0427417606115341,-0.3854684874733032,0.6974871158599854,0.7099300026893616,eff40_s9811,aligned_ic_efficiency
