factor_id,factor_name,factor_handler,factor_formula,platform_net_excess_pct,platform_rank_ic,max_abs_correlation_to_representatives,nearest_representative,nearest_representative_handler,nearest_correlation,high_correlation_to_any_representative_at_0.80,all_representative_correlations
t10-additions-20260911-candidates.report:T10-ADD-G13-20260911,T10-ADD-G13-20260911,t10_size_plus_impact_g13,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)) / 6",19.622616,0.1043,0.9987282214398131,T10-ADD-AGG-IMPACT-20260911,t10_size_plus_impact_aggregate,0.9987282214398131,True,SIZE-ONLY-20260911=-0.721741; T10-ADD-AGG-IMPACT-20260911=+0.998728; VERIFY-E260910-04=+0.572396; H03-T10-SINGLE=+0.792053; F-NET01-PLAT-20260914=+0.683916; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.769480; HT13-TURN-BIAS-1M=-0.564027; OSR2-RET40=+0.476530; OSR2-DD120=+0.332266; NONHT-CHIP-COST-250=+0.581427; OSR3-RET40-BP-CFP=+0.279879; NEW-VALUE-EVEBITDA=+0.139011; NONHT-RESVOL-LOW=+0.103398
t10-more-additions-20260911-candidates.report:T10-ADD-DOWNSIDE-IMPACT-20260911,T10-ADD-DOWNSIDE-IMPACT-20260911,t10_size_plus_impact_downside,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(SUM((ABS(CLOSE / DELAY(CLOSE,1) - 1) - (CLOSE / DELAY(CLOSE,1) - 1)) / 2,60) / (SUM(AMOUNT,60) + 1))) / 6",19.39004,0.1067,0.9994033584758258,T10-ADD-AGG-IMPACT-20260911,t10_size_plus_impact_aggregate,0.9994033584758258,True,SIZE-ONLY-20260911=-0.698643; T10-ADD-AGG-IMPACT-20260911=+0.999403; VERIFY-E260910-04=+0.562026; H03-T10-SINGLE=+0.779286; F-NET01-PLAT-20260914=+0.675163; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.786371; HT13-TURN-BIAS-1M=-0.580402; OSR2-RET40=+0.497127; OSR2-DD120=+0.342812; NONHT-CHIP-COST-250=+0.598360; OSR3-RET40-BP-CFP=+0.297387; NEW-VALUE-EVEBITDA=+0.133022; NONHT-RESVOL-LOW=+0.113571
t10-newdirections-20260911-candidates.report:T10-SIZE-PLUS-IMPACT,T10-SIZE-PLUS-IMPACT,t10_size_plus_impact,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))) / 5",18.157232,0.1113,0.9785633942082337,T10-ADD-AGG-IMPACT-20260911,t10_size_plus_impact_aggregate,0.9785633942082337,True,SIZE-ONLY-20260911=-0.620419; T10-ADD-AGG-IMPACT-20260911=+0.978563; VERIFY-E260910-04=+0.506557; H03-T10-SINGLE=+0.657318; F-NET01-PLAT-20260914=+0.600083; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.865616; HT13-TURN-BIAS-1M=-0.641795; OSR2-RET40=+0.600213; OSR2-DD120=+0.420437; NONHT-CHIP-COST-250=+0.684627; OSR3-RET40-BP-CFP=+0.361943; NEW-VALUE-EVEBITDA=+0.117069; NONHT-RESVOL-LOW=+0.090047
t10-additions-20260911-candidates.report:T10-ADD-BM-20260911,T10-ADD-BM-20260911,t10_size_plus_impact_bm,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(book_to_market_ratio_lf)) / 6",18.092280000000002,0.1192,0.9363702642232724,T10-ADD-AGG-IMPACT-20260911,t10_size_plus_impact_aggregate,0.9363702642232724,True,SIZE-ONLY-20260911=-0.579463; T10-ADD-AGG-IMPACT-20260911=+0.936370; VERIFY-E260910-04=+0.669687; H03-T10-SINGLE=+0.630946; F-NET01-PLAT-20260914=+0.660183; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.895247; HT13-TURN-BIAS-1M=-0.606030; OSR2-RET40=+0.575132; OSR2-DD120=+0.356849; NONHT-CHIP-COST-250=+0.681596; OSR3-RET40-BP-CFP=+0.503938; NEW-VALUE-EVEBITDA=+0.046255; NONHT-RESVOL-LOW=+0.228285
t10-more-additions-20260911-candidates.report:T10-ADD-FSCORE-20260911,T10-ADD-FSCORE-20260911,t10_size_plus_impact_fscore,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK((IF(oper_roa_net_ttm > 0,1,0) + IF(cfd_ocf_to_debt_ttm > 0,1,0) + IF(oper_roa_net_ttm > oper_roa_net_lyr,1,0) + IF(cfd_surplus_cash_multi_ttm > 1,1,0) + IF(fin_debt_to_asset_ttm < fin_debt_to_asset_lyr,1,0) + IF(fin_current_ratio_ttm > fin_current_ratio_lyr,1,0) + IF(oper_gross_margin_ttm > oper_gross_margin_lyr,1,0) + IF(oper_total_asset_turnover_ttm > oper_total_asset_turnover_lyr,1,0)) / 8)) / 6",17.476064,0.1118,0.9293184161842151,T10-ADD-AGG-IMPACT-20260911,t10_size_plus_impact_aggregate,0.9293184161842151,True,SIZE-ONLY-20260911=-0.570956; T10-ADD-AGG-IMPACT-20260911=+0.929318; VERIFY-E260910-04=+0.497502; H03-T10-SINGLE=+0.614504; F-NET01-PLAT-20260914=+0.574888; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.844128; HT13-TURN-BIAS-1M=-0.634264; OSR2-RET40=+0.590102; OSR2-DD120=+0.376907; NONHT-CHIP-COST-250=+0.643413; OSR3-RET40-BP-CFP=+0.398059; NEW-VALUE-EVEBITDA=+0.071160; NONHT-RESVOL-LOW=+0.140892
t10-newdirections-20260911-candidates.report:T10-SIZE-PLUS-IMPACT-WC,T10-SIZE-PLUS-IMPACT-WC,t10_size_plus_impact_wc,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK((CURRENT_ASSETS-INVENTORY-CURRENT_LIABILITIES)/(ABS(MARKET_CAP)+1))) / 6",17.443168,0.1052,0.939330960683131,T10-ADD-AGG-IMPACT-20260911,t10_size_plus_impact_aggregate,0.939330960683131,True,SIZE-ONLY-20260911=-0.600469; T10-ADD-AGG-IMPACT-20260911=+0.939331; VERIFY-E260910-04=+0.527508; H03-T10-SINGLE=+0.643409; F-NET01-PLAT-20260914=+0.562502; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.837497; HT13-TURN-BIAS-1M=-0.614338; OSR2-RET40=+0.563945; OSR2-DD120=+0.378594; NONHT-CHIP-COST-250=+0.646291; OSR3-RET40-BP-CFP=+0.382229; NEW-VALUE-EVEBITDA=+0.140952; NONHT-RESVOL-LOW=+0.126745
t10-additions-20260911-candidates.report:T10-ADD-DD120-20260911,T10-ADD-DD120-20260911,t10_size_plus_impact_dd120,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(1-CLOSE/TS_MAX(CLOSE,120))) / 6",16.834384,0.1052,0.9220193816232004,T10-ADD-AGG-IMPACT-20260911,t10_size_plus_impact_aggregate,0.9220193816232004,True,SIZE-ONLY-20260911=-0.550278; T10-ADD-AGG-IMPACT-20260911=+0.922019; VERIFY-E260910-04=+0.424275; H03-T10-SINGLE=+0.540529; F-NET01-PLAT-20260914=+0.487510; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.873419; HT13-TURN-BIAS-1M=-0.592812; OSR2-RET40=+0.678381; OSR2-DD120=+0.622856; NONHT-CHIP-COST-250=+0.748384; OSR3-RET40-BP-CFP=+0.381746; NEW-VALUE-EVEBITDA=+0.121971; NONHT-RESVOL-LOW=-0.025784
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-E260910-04,VERIFY10-E260910-04,book_to_market_lf_minus_size,RANK(book_to_market_ratio_lf) - RANK(MARKET_CAP),16.74068,0.0823,1.0,VERIFY-E260910-04,book_to_market_lf_minus_size,1.0,True,SIZE-ONLY-20260911=-0.714189; T10-ADD-AGG-IMPACT-20260911=+0.568226; VERIFY-E260910-04=+1.000000; H03-T10-SINGLE=+0.580385; F-NET01-PLAT-20260914=+0.691893; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.423896; HT13-TURN-BIAS-1M=-0.082115; OSR2-RET40=+0.084895; OSR2-DD120=-0.013061; NONHT-CHIP-COST-250=+0.212774; OSR3-RET40-BP-CFP=+0.412349; NEW-VALUE-EVEBITDA=-0.031079; NONHT-RESVOL-LOW=+0.323931
combo-direct-4factor-size-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,reversal_chip_turn_size_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",16.383983999999998,0.1104,0.9350449714415454,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,0.9350449714415454,True,SIZE-ONLY-20260911=-0.453660; T10-ADD-AGG-IMPACT-20260911=+0.875798; VERIFY-E260910-04=+0.386137; H03-T10-SINGLE=+0.416293; F-NET01-PLAT-20260914=+0.439998; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.935045; HT13-TURN-BIAS-1M=-0.684665; OSR2-RET40=+0.734250; OSR2-DD120=+0.536417; NONHT-CHIP-COST-250=+0.786591; OSR3-RET40-BP-CFP=+0.447649; NEW-VALUE-EVEBITDA=+0.084344; NONHT-RESVOL-LOW=+0.041820
verify-field-scan-20260910-candidates.report:VERIFY-F260910-12,VERIFY-F260910-12,book_to_market_lf_plus_impact,"RANK(book_to_market_ratio_lf) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",15.588864000000001,0.0656,0.9007698830054456,VERIFY-E260910-04,book_to_market_lf_minus_size,0.9007698830054456,True,SIZE-ONLY-20260911=-0.576054; T10-ADD-AGG-IMPACT-20260911=+0.586954; VERIFY-E260910-04=+0.900770; H03-T10-SINGLE=+0.711265; F-NET01-PLAT-20260914=+0.750717; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.400678; HT13-TURN-BIAS-1M=-0.139207; OSR2-RET40=+0.035881; OSR2-DD120=-0.083677; NONHT-CHIP-COST-250=+0.199692; OSR3-RET40-BP-CFP=+0.392990; NEW-VALUE-EVEBITDA=-0.024254; NONHT-RESVOL-LOW=+0.438112
