start_date,end_date,code,样本简称,所属行业,change_type
2021-12-13,2022-06-10,000021,深科技,信息技术,OLD
2021-12-13,2022-06-10,002049,紫光国微,信息技术,OLD
2021-12-13,2022-06-10,002129,中环股份,工业,OLD
2021-12-13,2022-06-10,002156,通富微电,信息技术,OLD
2021-12-13,2022-06-10,002185,华天科技,信息技术,OLD
2021-12-13,2022-06-10,002371,北方华创,信息技术,OLD
2021-12-13,2022-06-10,002409,雅克科技,信息技术,OLD
2021-12-13,2022-06-10,300223,北京君正,信息技术,OLD
2021-12-13,2022-06-10,300236,上海新阳,信息技术,OLD
2021-12-13,2022-06-10,300316,晶盛机电,工业,OLD
2021-12-13,2022-06-10,300346,南大光电,信息技术,OLD
2021-12-13,2022-06-10,300373,扬杰科技,信息技术,OLD
2021-12-13,2022-06-10,300456,赛微电子,信息技术,OLD
2021-12-13,2022-06-10,300458,全志科技,信息技术,OLD
2021-12-13,2022-06-10,300474,景嘉微,信息技术,OLD
2021-12-13,2022-06-10,300623,捷捷微电,信息技术,+
2021-12-13,2022-06-10,300661,圣邦股份,信息技术,OLD
2021-12-13,2022-06-10,300782,卓胜微,信息技术,OLD
2021-12-13,2022-06-10,600460,士兰微,信息技术,OLD
2021-12-13,2022-06-10,600584,长电科技,信息技术,OLD
2021-12-13,2022-06-10,600667,太极实业,工业,OLD
2021-12-13,2022-06-10,600703,三安光电,信息技术,OLD
2021-12-13,2022-06-10,600745,闻泰科技,信息技术,OLD
2021-12-13,2022-06-10,603005,晶方科技,信息技术,OLD
2021-12-13,2022-06-10,603160,汇顶科技,信息技术,OLD
2021-12-13,2022-06-10,603290,斯达半导,信息技术,OLD
2021-12-13,2022-06-10,603501,韦尔股份,信息技术,OLD
2021-12-13,2022-06-10,603893,瑞芯微,信息技术,OLD
2021-12-13,2022-06-10,603986,兆易创新,信息技术,OLD
2021-12-13,2022-06-10,605358,立昂微,信息技术,OLD
2022-06-13,2022-12-09,000021,深科技,信息技术,OLD
2022-06-13,2022-12-09,002049,紫光国微,信息技术,OLD
2022-06-13,2022-12-09,002129,中环股份,工业,OLD
2022-06-13,2022-12-09,002156,通富微电,信息技术,OLD
2022-06-13,2022-12-09,002185,华天科技,信息技术,OLD
2022-06-13,2022-12-09,002371,北方华创,信息技术,OLD
2022-06-13,2022-12-09,002409,雅克科技,信息技术,OLD
2022-06-13,2022-12-09,300223,北京君正,信息技术,OLD
2022-06-13,2022-12-09,300316,晶盛机电,工业,OLD
2022-06-13,2022-12-09,300373,扬杰科技,信息技术,OLD
2022-06-13,2022-12-09,300474,景嘉微,信息技术,OLD
2022-06-13,2022-12-09,300623,捷捷微电,信息技术,OLD
2022-06-13,2022-12-09,300661,圣邦股份,信息技术,OLD
2022-06-13,2022-12-09,300782,卓胜微,信息技术,OLD
2022-06-13,2022-12-09,600460,士兰微,信息技术,OLD
2022-06-13,2022-12-09,600584,长电科技,信息技术,OLD
2022-06-13,2022-12-09,600703,三安光电,信息技术,OLD
2022-06-13,2022-12-09,600745,闻泰科技,信息技术,OLD
2022-06-13,2022-12-09,603160,汇顶科技,信息技术,OLD
2022-06-13,2022-12-09,603290,斯达半导,信息技术,OLD
2022-06-13,2022-12-09,603501,韦尔股份,信息技术,OLD
2022-06-13,2022-12-09,603893,瑞芯微,信息技术,OLD
2022-06-13,2022-12-09,603986,兆易创新,信息技术,OLD
2022-06-13,2022-12-09,605358,立昂微,信息技术,OLD
2022-06-13,2022-12-09,688008,澜起科技,信息技术,+
2022-06-13,2022-12-09,688012,中微公司,信息技术,+
2022-06-13,2022-12-09,688126,沪硅产业,信息技术,+
2022-06-13,2022-12-09,688396,华润微,信息技术,+
2022-06-13,2022-12-09,688536,思瑞浦,信息技术,+
2022-06-13,2022-12-09,688981,中芯国际,信息技术,+
2022-12-12,2023-06-09,002049,紫光国微,信息技术,OLD
2022-12-12,2023-06-09,002156,通富微电,信息技术,OLD
2022-12-12,2023-06-09,002185,华天科技,信息技术,OLD
2022-12-12,2023-06-09,002371,北方华创,信息技术,OLD
2022-12-12,2023-06-09,002409,雅克科技,信息技术,OLD
2022-12-12,2023-06-09,300223,北京君正,信息技术,OLD
2022-12-12,2023-06-09,300316,晶盛机电,工业,OLD
2022-12-12,2023-06-09,300373,扬杰科技,信息技术,OLD
