key,name,s_i,seat_turn,seat_net,corr_size,corr_pool,net_size_neutral,T1,T2,T3,NC2,NC3,NA6,add6_net,add6_sr,add6_dd,dNA,dNB_steady,dNB_first,dNB_first_extra,dNC_turn_K1,dNC_perf_K1,dNC_K1,dComb_K1,dpoints_K1,dNC_turn_K2,dNC_perf_K2,dNC_K2,dComb_K2,dpoints_K2,dNC_turn_K3,dNC_perf_K3,dNC_K3,dComb_K3,dpoints_K3,dpoints_mean,pts_NA,pts_NB,pts_NB_first_extra,pts_NC_turn_K1,pts_NC_perf_K1,pts_NC_turn_K2,pts_NC_perf_K2,pts_NC_turn_K3,pts_NC_perf_K3,dpoints_turn_cost,dpoints_turn_cost_K2,dpoints_nb_first,sign_positive_all,n_positive,dd_lo_local,dd_hi_local,dd_positive_all_local,dd_lo_platform,dd_hi_platform,dd_positive_all_platform,dNC_check_K1,dNC_check_K2,dNC_check_K3,turn_bucket,size_pass
t10_size_plus_impact_downside,T10-ADD-DOWNSIDE-IMPACT-20260911,0.034085006206315,0.2762584551977267,0.2187171092238739,0.6834117184749838,0.8181550503628672,0.070263546947767,0.1748940690261616,0.3497881380523232,0.5246822070784849,0.8644759271637052,0.5763172847758035,0.2701912648381562,0.2394099193725158,1.1266727559945624,0.2728172832192537,0.0311742625481562,0.0415656833975416,-0.0531148893977777,-0.0946805727953193,-0.12012001523664945,0.0015347758454350114,-0.11858523939121443,-0.03258051602727569,-1433.5427052001305,-0.0360585930856282,0.0006636247689927661,-0.03539496831663544,0.004855105956284852,213.62466207653347,-0.021066924615685538,0.0001521957636326334,-0.020914728852052904,0.011371213715346995,500.3334034752678,-239.8615465494431,274.33351042377456,640.1115243221406,-1458.080821047917,-2378.376301685659,30.388561739613227,-713.9601430954383,13.139770426056769,-417.12510739057365,3.0134761199261413,-1169.820517390557,-713.9601430954383,-1458.080821047917,False,2,,inf,True,,0.0565,False,2.7755575615628914e-17,4.163336342344337e-17,3.469446951953614e-18,<=30%,False
t10_size_plus_impact_g13,T10-ADD-G13-20260911,0.0330197653655215,0.2703127146326537,0.2261392820395543,0.7105193222518402,0.8328459338508464,0.0714795225348132,0.1740118818517874,0.3480237637035749,0.5220356455553623,0.8630658930066143,0.5753772620044096,0.2679720130865032,0.2386565354251943,1.1245046463898305,0.2737197182307883,0.0289550107965032,0.0386066810620042,-0.0531148893977777,-0.0917215704597819,-0.11859766384256197,-0.0011783493943153013,-0.11977601323687728,-0.034595865425592676,-1522.2180787260777,-0.03374649960118654,-0.0016658650707969572,-0.03541236467198349,0.003367776428609536,148.1821628588196,-0.02053554172260845,-0.0003811841608962896,-0.02091672588350474,0.009890813883424976,435.19581087069895,-312.9467016655197,254.80409500922815,594.5428883548645,-1412.512185080641,-2348.233744082727,-23.331318007442967,-668.1806921034935,-32.98412840177975,-406.6037261076473,-7.547446385746533,-1141.006054097956,-668.1806921034935,-1412.512185080641,False,2,,inf,True,,0.053,False,2.220446049250313e-16,2.0816681711721685e-16,3.8163916471489756e-17,<=30%,False
t10_size_plus_impact_aggregate,T10-ADD-AGG-IMPACT-20260911,0.0347261489275538,0.272199804497401,0.2260940820492591,0.695208916091489,0.8266448511022446,0.0719409104035384,0.1739453647454457,0.3478907294908915,0.5218360942363373,0.8559919995685777,0.5706613330457185,0.2715269788407373,0.2371700345665706,1.120721748439619,0.2731567515374945,0.0325099765507372,0.043346635400983,-0.0531148893977777,-0.09646152479876069,-0.11827269473404639,-0.008335521430515205,-0.1266082161645616,-0.03530037957356124,-1553.2167012366945,-0.03693379032668975,-0.006053439907008707,-0.042987230233698465,0.002329064095327179,102.47882019439588,-0.020401375726356204,-0.0013849141817786769,-0.02178628990813488,0.011869487241830793,522.2574386405549,-309.4934808005812,286.0877936464874,667.5381851751381,-1485.5074819009144,-2341.7993557341188,-165.04332432420105,-731.289048468457,-119.85811015877239,-403.94723938185285,-27.421300799217804,-1159.0118811948096,-731.289048468457,-1485.5074819009144,False,2,,inf,True,,0.0505,False,8.326672684688674e-17,1.3877787807814457e-16,2.0816681711721685e-17,<=30%,False
impact_abs_return60,VERIFY10-G260910-13,0.0121418007069564,0.1044853007812934,0.1626813974448477,0.8045641388910239,0.8579281892954664,-0.0302503693616938,0.1332265180126082,0.2664530360252165,0.3996795540378248,1.0,0.8013016448601016,0.2244762533811592,0.2481641170400764,1.1560591525178576,0.2751730520348707,-0.0145407489088407,-0.0193876652117876,-0.0531148893977777,-0.0337272241859901,0.006212447742358728,0.005364294331851662,0.01157674207421039,-0.004484298672499124,-197.30914158996148,0.007035138435006249,0.006260488988453459,0.013295627423459707,-0.0037108002653369315,-163.275211674825,0.0005966431464099446,0.0005966431464099446,0.0011932862928198892,-0.00915685377412485,-402.90156606149344,-254.49530644209332,-127.95859039779816,-298.570044261529,-519.3992524642474,123.0064652987028,106.2130277706629,139.29574101312372,123.95768197137848,11.813534298916903,11.813534298916903,91.37191353691448,139.29574101312372,-519.3992524642474,False,0,,,False,,,False,9.020562075079397e-17,1.0755285551056204e-16,8.912141857830846e-17,<=30%,False
t10_size_plus_impact_wc,T10-SIZE-PLUS-IMPACT-WC,0.0353263081259031,0.2826150852672086,0.1973742568012564,0.5863456032947421,0.7314137459522745,0.0647669691466171,0.1780402152189381,0.3560804304378763,0.5341206456568145,0.8273749249468767,0.5515832832979178,0.2727773105039649,0.2351033915109485,1.1173289034215774,0.2725688002958524,0.0337603082139649,0.0450137442852865,-0.0531148893977777,-0.0981286336830642,-0.1342700671661569,-0.017741097053697297,-0.15201116421985417,-0.045898151756291125,-2019.5186772768095,-0.05997226700336177,-0.01113608125931073,-0.0711083482626725,-0.009491884575559374,-417.6429213246124,-0.02243994571414058,-0.0025745351593846047,-0.025014480873525185,0.011250355749556918,495.0156529805044,-647.3819818736392,297.0907122828911,693.211661993412,-1511.1809587191885,-2658.5473298899065,-351.2737216632065,-1187.450886666563,-220.49440893435246,-444.31092513998345,-50.975796155815175,-1430.103047232151,-1187.450886666563,-1511.1809587191885,False,1,,inf,True,,0.021,False,1.3877787807814457e-16,2.0816681711721685e-16,1.3877787807814457e-17,<=30%,False
fnet01_qfq,F-NET01-PLAT-20260914 (qfq 口径),0.0130075901827923,0.126992838178948,0.1794793682611893,0.6146300473317697,0.8205034133144864,0.1276395766948854,0.1446401486629962,0.2892802973259925,0.4339204459889887,0.9529801480039154,0.6588628100931422,0.2262799814558174,0.2224495316686369,1.112261378217784,0.2555875827587428,-0.0127370208341825,-0.0169826944455767,-0.0531148893977777,-0.036132194952201,-0.0008950775101751335,-0.045683427701060514,-0.046578505211235646,-0.029451674567844387,-1295.873680985153,-0.0009968085895000673,-0.00750293286617265,-0.008499741455672716,-0.012316230877841068,-541.914158625007,-0.0012421054378302576,-0.009349271074622635,-0.010591376512452894,-0.013257466653392148,-583.3285327492546,-807.0387907864715,-112.085783340806,-261.53349446188116,-556.4358022638953,-17.72253470146764,-904.5318684809981,-19.73681007210133,-148.55807075021846,-24.5936876690391,-185.11556727752819,-20.684344147536024,-19.73681007210133,-556.4358022638953,False,0,,,False,,,False,4.85722573273506e-17,1.5612511283791264e-17,6.938893903907228e-18,<=30%,False
paper_composite,paper-derived-composite,0.0106335410998721,0.094363359415713,0.1160040831515824,0.537472003904885,0.7232684523572847,-0.0020236011438516,0.1330712360609735,0.2661424721219471,0.3992137081829207,0.8957166159537291,0.6731106153874677,0.2213340458664003,0.2178406942589318,1.0943624215976966,0.2697453747985197,-0.0176829564235996,-0.0235772752314661,-0.0531148893977777,-0.029537614166311597,0.00579427152453918,-0.10129093571785669,-0.09549666419331751,-0.05476213650272593,-2409.534006119941,0.006531225697004366,-0.011049423471226392,-0.004518197774222027,-0.013821826614132966,-608.1603710218504,0.004417825619707204,-0.010047871431580029,-0.005630045811872825,-0.014322158231075827,-630.1749621673364,-1215.956446436376,-155.61001652767646,-363.0900385645779,-454.87925816119855,114.72657618587576,-2005.5605272135624,129.31826880068647,-218.77858473028257,87.47294727020264,-198.94785434528455,110.50593075225497,129.31826880068647,-454.87925816119855,False,0,,,False,,,False,1.3877787807814457e-17,2.688821387764051e-17,2.5153490401663703e-17,<=30%,False
t10_size_plus_impact,T10-SIZE-PLUS-IMPACT,0.0349436829035825,0.3080090460414191,0.2008359295538057,0.6054679017156352,0.7376287172971366,0.0572785300896048,0.1838091130780682,0.3676182261561365,0.5514273392342047,0.8102836395348778,0.5401890930232519,0.2719801746241302,0.236921301670279,1.1195213132387776,0.2718102248526646,0.0329631723341302,0.0439508964455069,-0.0531148893977777,-0.0970657858432846,-0.15731164124667527,-0.00786488840224755,-0.1651765296489228,-0.05235399011926181,-2303.5755652475195,-0.08175840927002744,-0.006676705944828622,-0.08843511521485606,-0.017820353623931775,-784.0955594529981,-0.025437430838062703,-0.0015660930200561774,-0.027003523858118883,0.009823862486599956,432.2499494103981,-885.1403917633733,290.07591654034576,676.8438052608061,-1494.8131019865825,-3114.77049668417,-155.7247903645015,-1618.8165035465431,-132.19877770760672,-503.66113059364153,-31.00864179711231,-1745.7493769414514,-1618.8165035465431,-1494.8131019865825,False,1,,inf,True,,,False,1.942890293094024e-16,1.3877787807814457e-16,8.326672684688674e-17,30-40%,False
fnet01_raw,F-NET01-PLAT-20260914 (raw 口径),0.0104598282539182,0.1242392742667739,0.1512283755414861,0.6120633564132248,0.813349670773182,0.1105886022795651,0.1457620289541635,0.2915240579083271,0.4372860868624907,0.8876578516383099,0.6089774257447003,0.2209721441039964,0.2159904063578073,1.0888413539967243,0.2671751494122917,-0.0180448581860036,-0.0240598109146714,-0.0531148893977777,-0.0290550784831063,-0.0014525944947151592,-0.10864671944972289,-0.11009931394443805,-0.061574596732332836,-2709.2822562226447,-0.0016339005570747453,-0.018796370464703498,-0.020430271021778246,-0.021223527417135922,-933.8352063539805,-0.0020359743968842207,-0.014514279272287767,-0.016550253669171986,-0.019477519608463105,-857.0108627723766,-1500.042775116334,-158.79475203683165,-370.5210880859395,-447.44820863983693,-28.761370995360153,-2151.2050451045134,-32.35123103007996,-372.16813520112925,-40.31229305830757,-287.3827295912978,-33.80829836124923,-32.35123103007996,-447.44820863983693,False,0,,,False,,,False,4.163336342344337e-17,4.5102810375396984e-17,1.3877787807814457e-17,<=30%,False
ltmom_exhigh252_21,NONHT-LTMOM-EXHIGH-252-21,0.0030903879122006,0.184958015006715,-0.0040750646931667,0.242314306329799,0.2576637135958627,-0.0871577995711007,0.1325331020806052,0.2650662041612104,0.3975993062418156,0.9407180535427412,0.7097985626040857,0.2056191433920846,0.2280616030572889,1.1202660125926711,0.2810303299559421,-0.0333978588979153,-0.0445304785305537,-0.0531148893977777,-0.008584410867224002,0.00627778519916292,-0.05774319612992634,-0.05146541093076342,-0.0454246741841204,-1998.6856641012976,0.007145207843419192,-0.00495737656713027,0.0021878312762889218,-0.02128071519094684,-936.351468401661,0.0041644022520196935,-0.002971115959199804,0.0011932862928198892,-0.021728260433507906,-956.0434590743479,-1297.0268638591021,-293.9011583016546,-685.7693693705269,-132.1999273552496,124.30014694342582,-1143.3152833725414,141.4751152997,-98.15605602917935,82.45516458998993,-58.82809599215612,116.07680894437192,141.4751152997,-132.1999273552496,False,0,,,False,,,False,2.0816681711721685e-17,2.168404344971009e-17,8.912141857830846e-17,<=30%,True
