key,name,s_i,seat_turn,corr_size,corr_pool,seat_net,size_neutral_net,pool_turn,T2,T3,dNA,dNB_steady,dNB_first,Tstar_K1,NC6_2_K1,NC6_3_K1,dNC2_K1,dNC3_K1,dNC_exp_K1,dComb_K1,dpoints_K1,Tstar_K2,NC6_2_K2,NC6_3_K2,dNC2_K2,dNC3_K2,dNC_exp_K2,dComb_K2,dpoints_K2,Tstar_K3,NC6_2_K3,NC6_3_K3,dNC2_K3,dNC3_K3,dNC_exp_K3,dComb_K3,dpoints_K3,dpoints_mean,turn_bucket,size_pass,gate_pass
t10_size_plus_impact_downside,T10-ADD-DOWNSIDE-IMPACT-20260911,0.034085006206315,0.2762584551977267,0.6834117184749838,0.8181550503628672,0.2187171092238739,0.070263546947767,0.1748940690261616,0.3497881380523232,0.5246822070784849,0.0311742625481562,0.0415656833975416,-0.0531148893977777,0.3012407605865208,0.8644759271637052,0.5763172847758035,-0.13552407283629475,-0.12578348541240136,-0.11858523939121443,-0.03258051602727569,-1433.5427052001305,0.34080343733333335,0.9757263872458471,0.6504842581638981,-0.02427361275415285,-0.14382510212533373,-0.03539496831663544,0.004855105956284852,213.62466207653347,0.42466909615544246,1.0,0.810556853942821,0.0,-0.17921789933207288,-0.020914728852052904,0.011371213715346995,500.3334034752678,-239.8615465494431,<=30%,False,False
impact_abs_return60,VERIFY10-G260910-13,0.0121418007069564,0.1044853007812934,0.8045641388910239,0.8579281892954664,0.1626813974448477,-0.0302503693616938,0.1332265180126082,0.2664530360252165,0.3996795540378248,-0.0145407489088407,-0.0193876652117876,-0.0531148893977777,0.3012407605865208,1.0,0.8013016448601016,0.0,0.09920087467189675,0.01157674207421035,-0.004484298672499142,-197.30914158996222,0.34080343733333335,1.0,0.9082393296419282,0.0,0.11392996935269639,0.01329562742345967,-0.003710800265336949,-163.27521167482575,0.42466909615544246,1.0,1.0,0.0,0.010225246725106163,0.0011932862928198892,-0.00915685377412485,-402.90156606149344,-254.4953064420938,<=30%,False,False
t10_size_plus_impact_aggregate,T10-ADD-AGG-IMPACT-20260911,0.0347261489275538,0.272199804497401,0.695208916091489,0.8266448511022446,0.2260940820492591,0.0719409104035384,0.1739453647454457,0.3478907294908915,0.5218360942363373,0.0325099765507372,0.043346635400983,-0.0531148893977777,0.3012407605865208,0.8559919995685776,0.5706613330457184,-0.14400800043142237,-0.1314394371424864,-0.12660821616456178,-0.03530037957356131,-1553.2167012366976,0.34080343733333335,0.9667361422286024,0.6444907614857349,-0.03326385777139762,-0.1498185988034969,-0.042987230233698645,0.002329064095327099,102.47882019439236,0.42466909615544246,1.0,0.8030884644305502,0.0,-0.18668628884434368,-0.021786289908134908,0.011869487241830779,522.2574386405543,-309.4934808005837,<=30%,False,False
t10_size_plus_impact_g13,T10-ADD-G13-20260911,0.0330197653655215,0.2703127146326537,0.7105193222518402,0.8328459338508464,0.2261392820395543,0.0714795225348132,0.1740118818517874,0.3480237637035749,0.5220356455553623,0.0289550107965032,0.0386066810620042,-0.0531148893977777,0.3012407605865208,0.8630658930066145,0.5753772620044098,-0.13693410699338548,-0.12672350818379507,-0.11977601323687753,-0.03459586542559279,-1522.2180787260827,0.34080343733333335,0.9757057876539604,0.6504705251026404,-0.024294212346039568,-0.14383883518659146,-0.03541236467198376,0.0033677764286094147,148.18216285881425,0.42466909615544246,1.0,0.8105397414196688,0.0,-0.17923501185522506,-0.020916725883504763,0.009890813883424965,435.1958108706985,-312.9467016655233,<=30%,False,False
t10_size_plus_impact_wc,T10-SIZE-PLUS-IMPACT-WC,0.0353263081259031,0.2826150852672086,0.5863456032947421,0.7314137459522745,0.1973742568012564,0.0647669691466171,0.1780402152189381,0.3560804304378763,0.5341206456568145,0.0337603082139649,0.0450137442852865,-0.0531148893977777,0.3012407605865208,0.8273749249468767,0.5515832832979177,-0.1726250750531233,-0.1505174868902871,-0.15201116421985436,-0.04589815175629121,-2019.5186772768132,0.34080343733333335,0.9334370089793732,0.622291339319582,-0.0665629910206268,-0.1720180209696498,-0.0711083482626727,-0.009491884575559464,-417.6429213246164,0.42466909615544246,1.0,0.7754261596714216,0.0,-0.21434859360347225,-0.025014480873525213,0.011250355749556906,495.0156529805039,-647.3819818736418,<=30%,False,False
fnet01_qfq,F-NET01-PLAT-20260914 (qfq 口径),0.0130075901827923,0.126992838178948,0.6146300473317697,0.8205034133144864,0.1794793682611893,0.1276395766948854,0.1446401486629962,0.2892802973259925,0.4339204459889887,-0.0127370208341825,-0.0169826944455767,-0.0531148893977777,0.3012407605865208,0.9529801480039151,0.658862810093142,-0.04701985199608494,-0.043237960095062866,-0.04657850521123566,-0.029451674567844394,-1295.8736809851532,0.34080343733333335,1.0,0.7214752432740412,0.0,-0.0728341170151906,-0.008499741455672742,-0.012316230877841079,-541.9141586250074,0.42466909615544246,1.0,0.8990174566814669,0.0,-0.0907572965934269,-0.01059137651245292,-0.013257466653392159,-583.328532749255,-807.0387907864718,<=30%,False,False
t10_size_plus_impact,T10-SIZE-PLUS-IMPACT,0.0349436829035825,0.3080090460414191,0.6054679017156352,0.7376287172971366,0.2008359295538057,0.0572785300896048,0.1838091130780682,0.3676182261561365,0.5514273392342047,0.0329631723341302,0.0439508964455069,-0.0531148893977777,0.3012407605865208,0.8102836395348777,0.5401890930232518,-0.1897163604651223,-0.16191167716495303,-0.165176529648923,-0.052353990119261895,-2303.575565247523,0.34080343733333335,0.9129198189827082,0.6086132126551389,-0.08708018101729176,-0.18569614763409292,-0.08843511521485624,-0.017820353623931858,-784.0955594530018,0.42466909615544246,1.0,0.7583820895377996,0.0,-0.23139266373709422,-0.027003523858118893,0.00982386248659995,432.24994941039785,-885.1403917633758,30-40%,False,False
t10_size_plus_impact_fscore,T10-ADD-FSCORE-20260911,0.0341054845035453,0.3186568732130291,0.5574345968935539,0.7022767074516658,0.1961385452564856,0.0600167164184878,0.1857555190316782,0.3715110380633565,0.5572665570950348,0.031216925667386,0.0416225675565147,-0.0531148893977777,0.3012407605865208,0.7982892433559234,0.5321928289039489,-0.20171075664407656,-0.1699079412842559,-0.1758117513526696,-0.05830400433044397,-2565.3761905395345,0.34080343733333335,0.8944945272695032,0.5963296848463354,-0.10550547273049682,-0.1979796754428964,-0.10399527406665793,-0.02598658955173872,-1143.4099402765037,0.42466909615544246,1.0,0.743075804211039,0.0,-0.2466989490638548,-0.028789767355751856,0.007855888468169012,345.6590925994365,-1121.0423460722006,30-40%,False,False
growth_roe,NEW-GROWTH-ROE-TTM,5.354260320461283e-05,0.0946063411289289,-0.1161273712298215,-0.1315436176914539,-0.025345837364929,0.0021699413770207,0.1510288487600855,0.302057697520171,0.4530865462802566,-0.0397246199583237,-0.0529661599444316,-0.0531148893977777,0.3012407605865208,1.0,0.7186258877167845,0.0,0.016525117528579658,0.0019284812155852462,-0.02561526342520244,-1127.0715907089073,0.34080343733333335,1.0,0.8058541908110303,0.0,0.011544830521798444,0.0013472817218938783,-0.025876803197363556,-1138.5793406839964,0.42466909615544246,1.0,1.0,0.0,0.010225246725106163,0.0011932862928198892,-0.02594610114044685,-1141.6284501796615,-1135.7597938575218,<=30%,True,False
asset_growth,F-AG260921-T10,0.0004164229567799,0.0557261276349645,-0.1850682471442706,-0.2063279988647066,-0.0608296683437026,-0.0270897037358503,0.144859009348719,0.2897180186974381,0.4345770280461571,-0.0389686192217084,-0.051958158962278,-0.0531148893977777,0.3012407605865208,1.0,0.6916291292098146,0.0,-0.010471640978390262,-0.0012220405021781437,-0.026528997707119143,-1167.2758991132423,0.34080343733333335,1.0,0.7733986971957382,0.0,-0.020910663093493653,-0.002440274383010709,-0.027077202953493796,-1191.396929953727,0.42466909615544246,1.0,0.9637183482532524,0.0,-0.026056405021641416,-0.0030407824660255533,-0.027347431590850478,-1203.286989997421,-1187.31993968813,<=30%,True,False
