formula,source,gp_net_excess,corr_size,finite_share,raw_net,raw_turnover,neutralised_net,neutralised_turnover,net_kept
"Sub(TsMinDiff(TsStd(TsMean(TsSkew(TsWMA(TsMed(TsMin(book_to_market_ratio_lyr,20),20),20),30),10),50),50),market_cap)",net-scale-mining-20260923,0.2110724408090114,0.9999989116679951,0.7735233240654928,0.22917184360864856,0.08474956891978111,-0.1432792082927802,0.25495036931685106,-0.6252042399128873
"Sub(TsMinMaxDiff(TsMean(TsMinMaxDiff(TsMean(ratio_bm_ttm,40),50),40),50),market_cap)",net-scale-mining-20260923,0.2105374875605106,0.9999977368874201,0.7810009267840593,0.22874647088634079,0.08457692867725139,-0.14310403853762738,0.2553717868609263,-0.6256010769614571
"Sub(TsMinMaxDiff(TsMax(TsMax(TsMax(TsMad(book_to_market_ratio_lf,40),50),40),10),50),market_cap)",net-scale-mining-20260923,0.2104332508206367,0.999998545449136,0.7773988260735248,0.2301296130326064,0.08489077141729694,-0.1426476768291227,0.2551314892810228,-0.6198579789421163
"Sub(TsWMA(TsMin(TsDiv(TsMinMaxDiff(TsMinMaxDiff(amount,30),40),30),50),30),market_cap)",net-scale-mining-20260923,0.2100969086766243,0.9999989192406509,0.782139326536917,0.22892887392600206,0.08452830346023762,-0.14259170586903383,0.2556524685500276,-0.6228646628259069
"Sub(TsDiv(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap),30),market_cap)",net-scale-mining-20260923,0.2100271967589855,0.9999989032047879,0.7908341056533829,0.22791761642629066,0.08500570889985798,-0.1421381177204017,0.2554958518294365,-0.6236381371001642
"Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap)",net-scale-mining-20260923,0.209939277023077,0.9999989120426263,0.803098548038307,0.2289604728733372,0.08463145359866413,-0.14276312090038515,0.2564481761979377,-0.6235273674481048
"Sub(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap),market_cap)",net-scale-mining-20260923,0.209939277023077,0.9999989122950372,0.803098548038307,0.2289604728733372,0.08463145359866413,-0.14276312090038515,0.2564481761979377,-0.6235273674481048
"Sub(TsMaxDiff(TsMinDiff(TsMaxDiff(TsMinDiff(ratio_ep_ttm,50),40),50),40),market_cap)",net-scale-mining-20260923,0.2098910990595817,0.9999985205221705,0.7804603027494593,0.22897645014471543,0.0846225848887936,-0.14230802008472626,0.25493049359843306,-0.6214963154280109
"Sub(TsMaxDiff(TsMed(TsMean(TsDelta(TsMax(TsMinMaxDiff(ratio_ep_ttm,20),20),30),50),40),20),market_cap)",net-scale-mining-20260923,0.2098341956377029,0.9999987665110874,0.7808495520543713,0.22863497193073024,0.08451341831977849,-0.14228826494951297,0.2551222536781305,-0.6223381477817933
"Div(TsDiv(book_to_market_ratio_lyr,40),market_cap)",net-scale-mining-20260923,0.209821226298809,0.9935147515996322,0.836155390793945,0.232631803552509,0.1521788956126465,0.09593914335629074,0.5580635139821346,0.4124076841223286
"Sub(TsMin(TsCorr(TsMed(TsVar(ratio_sp_ttm,40),40),TsMad(Greater(market_cap,gr_total_asset_lyr),40),50),50),market_cap)",net-scale-mining-20260923,0.2097355915367603,0.9999989120527248,0.7801668211306765,0.22874116205555411,0.08465912278600844,-0.14219913873118384,0.25466453619986384,-0.6216595974827132
"Sub(TsDiv(TsStd(TsKurt(Sub(TsDiv(book_to_market_ratio_lyr,30),market_cap),50),50),50),market_cap)",net-scale-mining-20260923,0.2096233971297741,0.9999989142319866,0.7807352486870559,0.22849727740712275,0.08452945547087218,-0.14239794216667256,0.25531002144472226,-0.6231931679122655
"Sub(Ref(Ref(TsDelta(TsPctChange(TsMin(TsPctChange(open,20),50),30),20),50),50),market_cap)",net-scale-mining-20260923,0.2095148549258709,0.9999989117589365,0.7953892493049118,0.22757568778017115,0.08481143871699008,-0.14297006654838862,0.2566553065421212,-0.6282308446168111
"Sub(TsDiv(TsStd(TsKurt(TsKurt(TsSkew(high,50),50),50),50),50),market_cap)",net-scale-mining-20260923,0.2094985249042511,0.999998904979302,0.7892091442693852,0.22746775613591272,0.08432675006395839,-0.14039194145792067,0.2557495619199116,-0.6171949107988564
"Sub(TsDiv(TsStd(TsKurt(TsSkew(TsMinDiff(TsStd(TsMax(high,20),10),50),50),50),50),50),market_cap)",net-scale-mining-20260923,0.2094752995312213,0.9999988946647353,0.7823849243126352,0.22872081741018785,0.08422150618264589,-0.14439572017318594,0.25639236170266416,-0.6313186609255016
"Mul(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Constant(-10.0),30)),30)),market_cap)",net-scale-mining-20260923,0.2090073104739189,0.9998172804930507,0.8328251467408094,0.22778129473266231,0.09391699948943558,-0.1348587977503476,0.26293147360736174,-0.5920538730303816
"Div(TsDiv(book_to_market_ratio_lyr,30),market_cap)",net-scale-mining-20260923,0.2089543681740761,0.994959181326538,0.8401853568118629,0.2307256675100311,0.15218623931120578,0.08794356392443213,0.6047400996257115,0.38116073028853054
"Div(TsDiv(TsMean(ratio_bm_ttm,40),30),market_cap)",net-scale-mining-20260923,0.2088963380992412,0.997268192353282,0.8247559468643807,0.22788080432624783,0.09591993083093474,0.09367901289564702,0.5178121952507437,0.4110877753508827
"Sub(TsMaxDiff(Sub(TsMinDiff(TsMin(ratio_bm_ttm,20),50),market_cap),10),market_cap)",net-scale-mining-20260923,0.2088847039461136,0.9987016838241561,0.8211214087117701,0.22964881912470045,0.12558273167697956,-0.1380820545308094,0.2850221955811135,-0.6012748293551214
"Div(TsDiv(book_to_market_ratio_lf,40),market_cap)",net-scale-mining-20260923,0.2088425873279571,0.9931072614509762,0.8364535063330244,0.23085741543442853,0.15178073183557256,0.10472229979910484,0.5653335713497518,0.45362328778583066
