id,name,handler,formula,platform_net_pct,local_net_pct,local_net_delta_pp,local_gross_pct,platform_gross_pct,platform_turnover_pct,local_turnover_pct,turnover_gap_pp,turnover_absolute_gap_pp,turnover_alignment,turnover_comparable,turnover_flags,platform_turnover_cost_pct,platform_turnover_sensitivity_net_pct,platform_turnover_sensitivity_delta_pp,turnover_cost_sensitivity_shift_pp,sensitivity_abs_delta_reduction_pp,turnover_dominant,top20_overlap,periods,date_source,fidelity
alphaprobe-final-20260914-candidates.report:F-A18,F-A18,ma_reversion40,"0 - CLOSE / MA(CLOSE,40)",-3.8568960000000008,-8.46210558664668,-4.60520958664668,3.3252246674513875,8.1,39.54,38.97926671328726,0.560733286712739,0.560733286712739,comparable,True,,11.956895999999999,-8.631671332548612,-4.774775332548611,0.16956574590193085,-0.16956574590193085,False,19,241,platform_chart,direct local market-data reconstruction
alphaprobe-gfn-platform-20260916-candidates.report:F-A18,F-A18,ma_reversion40,"0 - CLOSE / MA(CLOSE,40)",-8.201951999999999,-8.46210558664668,-0.2601535866466822,3.3252246674513875,3.51,38.73,38.97926671328726,-0.24926671328726058,0.24926671328726058,comparable,True,,11.711951999999998,-8.386727332548611,-0.18477533254861278,-0.07537825409806942,0.07537825409806942,False,1,241,platform_chart,direct local market-data reconstruction
alphaprobe-net1-platform-20260914-candidates.report:F-NET01-PLAT-20260914,F-NET01-PLAT-20260914,wma_low_volume40,"WMA((((1/LOW)/LOW)/VOLUME),40)",13.628703999999999,11.010429467407956,-2.618274532592043,12.96786520879728,16.06,8.04,6.473001790308608,1.5669982096913906,1.5669982096913906,comparable,True,,2.4312959999999997,10.53656920879728,-3.092134791202719,0.47386025861067615,-0.47386025861067615,False,7,241,platform_chart,"direct local reconstruction of WMA((((1/LOW)/LOW)/VOLUME),40) using qfq low and volume"
combo-direct-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-EQ,COMBO-DIRECT-OSR2-CHIP-EQ,reversal_chip_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)) / 2",7.8760639999999995,3.575875281052064,-4.300188718947935,9.872770248280565,14.42,43.28,41.646130735638245,1.6338692643617592,1.6338692643617592,comparable,True,,6.543936,3.3288342482805655,-4.547229751719434,0.2470410327714987,-0.2470410327714987,False,18,120,platform_chart,direct local market-data reconstruction
combo-direct-3factor-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-EQ,reversal_chip_turn_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504))) / 3",8.662416,6.130629086441827,-2.5317869135581734,12.081669719406335,14.91,41.32,39.35873434500336,1.9612656549966412,1.9612656549966412,comparable,True,,6.247584,5.834085719406335,-2.828330280593665,0.29654336703549156,-0.29654336703549156,False,18,120,platform_chart,direct local market-data reconstruction
combo-direct-4factor-paper-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 4",12.774432000000001,8.684765339695533,-4.089666660304468,14.131201727550765,18.39,37.14,36.02140468158223,1.11859531841777,1.11859531841777,comparable,True,,5.615568,8.515633727550766,-4.258798272449235,0.16913161214476702,-0.16913161214476702,False,20,120,platform_chart,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
combo-direct-4factor-size-2026-ytd-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,reversal_chip_turn_size_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",10.726920000000002,3.799455595096162,-6.927464404903839,8.776465901563107,17.1,42.15,32.91673483113059,9.233265168869409,9.233265168869409,comparable,True,,6.373079999999999,2.4033859015631083,-8.323534098436893,1.3960696935330539,-1.3960696935330539,False,2,16,platform_chart,direct local market-data reconstruction
combo-direct-4factor-size-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,reversal_chip_turn_size_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",16.383983999999998,11.16609953828009,-5.217884461719908,16.571555731566516,21.93,36.68,35.750371648719735,0.929628351280265,0.929628351280265,comparable,True,,5.546016000000001,11.025539731566514,-5.358444268433484,0.1405598067135756,-0.1405598067135756,False,19,120,platform_chart,direct local market-data reconstruction
dls2014-candidates.report:DLS14-NCF-PROXY-20D,DLS14-NCF-PROXY-20D,reversal20_growth_net,"RANK(1 - RETURNS(CLOSE,20)) + RANK(gr_net_profit_ttm)",-33.700784,-27.487787025264588,6.212996974735411,-16.430450289491432,-23.9,32.41,36.56526698337682,-4.155266983376832,4.155266983376832,comparable,True,,9.800783999999998,-26.231234289491432,7.469549710508566,-1.2565527357731554,-1.2565527357731554,False,5,10,platform_chart,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
dls2014-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,reversal20,"1 - RETURNS(CLOSE,20)",-45.812944,-46.09937990504657,-0.2864359050465666,-30.644276427676893,-30.070000000000004,52.06000000000001,51.10814641987328,0.9518535801267269,0.9518535801267269,comparable,True,,15.742944,-46.38722042767689,-0.5742764276768852,0.2878405226303187,-0.2878405226303187,False,15,10,platform_chart,direct local market-data reconstruction
dls2014-full-candidates.report:DLS14-NCF-PROXY-20D,DLS14-NCF-PROXY-20D,reversal20_growth_net,"RANK(1 - RETURNS(CLOSE,20)) + RANK(gr_net_profit_ttm)",-7.792351999999998,-7.3300665388276345,0.4622854611723639,4.151337397058176,2.71,34.73,37.96760560808799,-3.237605608088001,3.237605608088001,comparable,True,,10.502351999999998,-6.351014602941822,1.4413373970581764,-0.9790519358858125,-0.9790519358858125,False,9,241,platform_chart,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
dls2014-full-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,reversal20,"1 - RETURNS(CLOSE,20)",-8.653903999999997,-12.898502277664786,-4.244598277664789,2.722307459151779,7.21,52.459999999999994,51.65611685455214,0.803883145447859,0.803883145447859,comparable,True,,15.863903999999998,-13.14159654084822,-4.487692540848222,0.2430942631834334,-0.2430942631834334,False,19,241,platform_chart,direct local market-data reconstruction
dls2014-fundamental-candidates.report:DLS14-DR-BROAD-20D,DLS14-DR-BROAD-20D,growth_broad_reversal20,"(RANK(gr_revenue_ttm) + RANK(gr_oper_profit_ttm) + RANK(gr_net_profit_ttm) + RANK(gr_ocf_ttm)) / 4 - RANK(RETURNS(CLOSE,20))",-8.498144,-8.014304051266837,0.48383994873316283,3.887244853642068,2.86,37.56,39.35697389189453,-1.7969738918945266,1.7969738918945266,comparable,True,,11.358144000000001,-7.470899146357931,1.0272448536420686,-0.5434049049089058,-0.5434049049089058,False,4,241,platform_chart,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
dls2014-fundamental-candidates.report:DLS14-DR-OPCF-20D,DLS14-DR-OPCF-20D,growth_operating_cashflow_reversal20,"(RANK(gr_oper_profit_ttm) + RANK(gr_ocf_ttm)) / 2 - RANK(RETURNS(CLOSE,20))",-7.58952,-7.7852664541844865,-0.19574645418448622,4.172087190228637,3.6900000000000004,37.3,39.54151337438202,-2.2415133743820204,2.2415133743820204,comparable,True,,11.27952,-7.107432809771364,0.48208719022863633,-0.6778336444131225,-0.2863407360441501,False,6,241,platform_chart,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",16.443255999999998,15.337952869478096,-1.1053031305219019,16.696883304117524,17.86,9.37,8.987635149731668,0.38236485026833106,0.38236485026833106,comparable,True,,1.4167439999999998,15.280139304117524,-1.163116695882474,0.05781356536057203,-0.05781356536057203,False,18,120,platform_chart,market proxy: cached high/low/amount when present; otherwise open/close range and volume*average-price proxies
high-potential-5-20260910-candidates.report:NEW-GROWTH-REV-TTM,NEW-GROWTH-REV-TTM,growth_revenue,RANK(gr_revenue_ttm),-2.219848,-1.200667907056219,1.0191800929437809,-0.06688085116146031,-1.42,5.29,7.498591639515599,-2.208591639515599,2.208591639515599,comparable,True,,0.799848,-0.8667288511614604,1.3531191488385395,-0.3339390558947586,-0.3339390558947586,False,0,120,platform_chart,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
high-potential-5-20260910-candidates.report:NEW-GROWTH-ROE-TTM,NEW-GROWTH-ROE-TTM,growth_roe,RANK(gr_roe_ttm),-2.431872,-2.8181650520524015,-0.3862930520524017,-1.403846450640213,-1.44,6.559999999999999,9.353959004048864,-2.7939590040488653,2.7939590040488653,comparable,True,,0.9918719999999999,-2.3957184506402127,0.036153549359787096,-0.4224466014121888,0.3501395026926146,False,1,120,platform_chart,"Tushare PIT proxy: YoY growth of TTM attributable net income / average announced equity, ranked cross-sectionally"
high-potential-5-20260910-candidates.report:NEW-HIST-ROE-6Q,NEW-HIST-ROE-6Q,quality_roe_tsrank756,"TS_RANK(oper_roe_ttm,756)",-2.711384,1.1668149090968984,3.8781989090968985,3.338425360491854,-1.34,9.07,14.362502985416373,-5.292502985416372,5.292502985416372,comparable,True,,1.371384,1.9670413604918544,4.678425360491854,-0.800226451394956,-0.8002264513949555,False,1,53,platform_chart,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),3.3196399999999997,1.4370781164442432,-1.8825618835557565,2.278602623460117,4.31,6.550000000000001,5.565638273914509,0.984361726085492,0.984361726085492,comparable,True,,0.99036,1.288242623460117,-2.031397376539883,0.14883549298412624,-0.14883549298412646,False,0,120,platform_chart,PIT proxy: EV uses market cap plus liabilities less cash when present; EBITDA falls back to TTM operating profit
ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,0.4159613260869152,-1.8753746739130859,5.730575068873722,7.73,35.97,35.149561790918035,0.820438209081964,0.820438209081964,comparable,True,,5.438664,0.29191106887372154,-1.9994249311262795,0.12405025721319368,-0.12405025721319363,False,,120,reference_chart_10d,direct local market-data reconstruction
huatai-momentum-weighted-20260909.report:HT13-EXPWRET-3M,HT13-EXPWRET-3M,exp_weighted_reversal63,"-(TURNOVER * RETURNS(CLOSE,1) + 0.920044414629 * DELAY(TURNOVER * RETURNS(CLOSE,1),1) + 0.846481724891 * DELAY(TURNOVER * RETURNS(CLOSE,1),2) + 0.778800783071 * DELAY(TURNOVER * RETURNS(CLOSE,1),3) + 0.716531310574 * DELAY(TURNOVER * RETURNS(CLOSE,1),4) + 0.659240630200 * DELAY(TURNOVER * RETURNS(CLOSE,1),5) + 0.606530659713 * DELAY(TURNOVER * RETURNS(CLOSE,1),6) + 0.558035145770 * DELAY(TURNOVER * RETURNS(CLOSE,1),7) + 0.513417119033 * DELAY(TURNOVER * RETURNS(CLOSE,1),8) + 0.472366552741 * DELAY(TURNOVER * RETURNS(CLOSE,1),9) + 0.434598208507 * DELAY(TURNOVER * RETURNS(CLOSE,1),10) + 0.399849654345 * DELAY(TURNOVER * RETURNS(CLOSE,1),11) + 0.367879441171 * DELAY(TURNOVER * RETURNS(CLOSE,1),12) + 0.338465425107 * DELAY(TURNOVER * RETURNS(CLOSE,1),13) + 0.311403223915 * DELAY(TURNOVER * RETURNS(CLOSE,1),14) + 0.286504796860 * DELAY(TURNOVER * RETURNS(CLOSE,1),15) + 0.263597138116 * DELAY(TURNOVER * RETURNS(CLOSE,1),16) + 0.242521074636 * DELAY(TURNOVER * RETURNS(CLOSE,1),17) + 0.223130160148 * DELAY(TURNOVER * RETURNS(CLOSE,1),18) + 0.205289657580 * DELAY(TURNOVER * RETURNS(CLOSE,1),19) + 0.188875602838 * DELAY(TURNOVER * RETURNS(CLOSE,1),20) + 0.173773943450 * DELAY(TURNOVER * RETURNS(CLOSE,1),21) + 0.159879746080 * DELAY(TURNOVER * RETURNS(CLOSE,1),22) + 0.147096467393 * DELAY(TURNOVER * RETURNS(CLOSE,1),23) + 0.135335283237 * DELAY(TURNOVER * RETURNS(CLOSE,1),24) + 0.124514471444 * DELAY(TURNOVER * RETURNS(CLOSE,1),25) + 0.114558843993 * DELAY(TURNOVER * RETURNS(CLOSE,1),26) + 0.105399224562 * DELAY(TURNOVER * RETURNS(CLOSE,1),27) + 0.096971967864 * DELAY(TURNOVER * RETURNS(CLOSE,1),28) + 0.089218517409 * DELAY(TURNOVER * RETURNS(CLOSE,1),29) + 0.082084998624 * DELAY(TURNOVER * RETURNS(CLOSE,1),30) + 0.075521844509 * DELAY(TURNOVER * RETURNS(CLOSE,1),31) + 0.069483451223 * DELAY(TURNOVER * RETURNS(CLOSE,1),32) + 0.063927861207 * DELAY(TURNOVER * RETURNS(CLOSE,1),33) + 0.058816471642 * DELAY(TURNOVER * RETURNS(CLOSE,1),34) + 0.054113766223 * DELAY(TURNOVER * RETURNS(CLOSE,1),35) + 0.049787068368 * DELAY(TURNOVER * RETURNS(CLOSE,1),36) + 0.045806314173 * DELAY(TURNOVER * RETURNS(CLOSE,1),37) + 0.042143843509 * DELAY(TURNOVER * RETURNS(CLOSE,1),38) + 0.038774207832 * DELAY(TURNOVER * RETURNS(CLOSE,1),39) + 0.035673993347 * DELAY(TURNOVER * RETURNS(CLOSE,1),40) + 0.032821658327 * DELAY(TURNOVER * RETURNS(CLOSE,1),41) + 0.030197383422 * DELAY(TURNOVER * RETURNS(CLOSE,1),42) + 0.027782933954 * DELAY(TURNOVER * RETURNS(CLOSE,1),43) + 0.025561533207 * DELAY(TURNOVER * RETURNS(CLOSE,1),44) + 0.023517745856 * DELAY(TURNOVER * RETURNS(CLOSE,1),45) + 0.021637370719 * DELAY(TURNOVER * RETURNS(CLOSE,1),46) + 0.019907342078 * DELAY(TURNOVER * RETURNS(CLOSE,1),47) + 0.018315638889 * DELAY(TURNOVER * RETURNS(CLOSE,1),48) + 0.016851201260 * DELAY(TURNOVER * RETURNS(CLOSE,1),49) + 0.015503853599 * DELAY(TURNOVER * RETURNS(CLOSE,1),50) + 0.014264233909 * DELAY(TURNOVER * RETURNS(CLOSE,1),51) + 0.013123728737 * DELAY(TURNOVER * RETURNS(CLOSE,1),52) + 0.012074413324 * DELAY(TURNOVER * RETURNS(CLOSE,1),53) + 0.011108996538 * DELAY(TURNOVER * RETURNS(CLOSE,1),54) + 0.010220770217 * DELAY(TURNOVER * RETURNS(CLOSE,1),55) + 0.009403562551 * DELAY(TURNOVER * RETURNS(CLOSE,1),56) + 0.008651695203 * DELAY(TURNOVER * RETURNS(CLOSE,1),57) + 0.007959943849 * DELAY(TURNOVER * RETURNS(CLOSE,1),58) + 0.007323501879 * DELAY(TURNOVER * RETURNS(CLOSE,1),59) + 0.006737946999 * DELAY(TURNOVER * RETURNS(CLOSE,1),60) + 0.006199210503 * DELAY(TURNOVER * RETURNS(CLOSE,1),61) + 0.005703548998 * DELAY(TURNOVER * RETURNS(CLOSE,1),62)) / (TURNOVER + 0.920044414629 * DELAY(TURNOVER,1) + 0.846481724891 * DELAY(TURNOVER,2) + 0.778800783071 * DELAY(TURNOVER,3) + 0.716531310574 * DELAY(TURNOVER,4) + 0.659240630200 * DELAY(TURNOVER,5) + 0.606530659713 * DELAY(TURNOVER,6) + 0.558035145770 * DELAY(TURNOVER,7) + 0.513417119033 * DELAY(TURNOVER,8) + 0.472366552741 * DELAY(TURNOVER,9) + 0.434598208507 * DELAY(TURNOVER,10) + 0.399849654345 * DELAY(TURNOVER,11) + 0.367879441171 * DELAY(TURNOVER,12) + 0.338465425107 * DELAY(TURNOVER,13) + 0.311403223915 * DELAY(TURNOVER,14) + 0.286504796860 * DELAY(TURNOVER,15) + 0.263597138116 * DELAY(TURNOVER,16) + 0.242521074636 * DELAY(TURNOVER,17) + 0.223130160148 * DELAY(TURNOVER,18) + 0.205289657580 * DELAY(TURNOVER,19) + 0.188875602838 * DELAY(TURNOVER,20) + 0.173773943450 * DELAY(TURNOVER,21) + 0.159879746080 * DELAY(TURNOVER,22) + 0.147096467393 * DELAY(TURNOVER,23) + 0.135335283237 * DELAY(TURNOVER,24) + 0.124514471444 * DELAY(TURNOVER,25) + 0.114558843993 * DELAY(TURNOVER,26) + 0.105399224562 * DELAY(TURNOVER,27) + 0.096971967864 * DELAY(TURNOVER,28) + 0.089218517409 * DELAY(TURNOVER,29) + 0.082084998624 * DELAY(TURNOVER,30) + 0.075521844509 * DELAY(TURNOVER,31) + 0.069483451223 * DELAY(TURNOVER,32) + 0.063927861207 * DELAY(TURNOVER,33) + 0.058816471642 * DELAY(TURNOVER,34) + 0.054113766223 * DELAY(TURNOVER,35) + 0.049787068368 * DELAY(TURNOVER,36) + 0.045806314173 * DELAY(TURNOVER,37) + 0.042143843509 * DELAY(TURNOVER,38) + 0.038774207832 * DELAY(TURNOVER,39) + 0.035673993347 * DELAY(TURNOVER,40) + 0.032821658327 * DELAY(TURNOVER,41) + 0.030197383422 * DELAY(TURNOVER,42) + 0.027782933954 * DELAY(TURNOVER,43) + 0.025561533207 * DELAY(TURNOVER,44) + 0.023517745856 * DELAY(TURNOVER,45) + 0.021637370719 * DELAY(TURNOVER,46) + 0.019907342078 * DELAY(TURNOVER,47) + 0.018315638889 * DELAY(TURNOVER,48) + 0.016851201260 * DELAY(TURNOVER,49) + 0.015503853599 * DELAY(TURNOVER,50) + 0.014264233909 * DELAY(TURNOVER,51) + 0.013123728737 * DELAY(TURNOVER,52) + 0.012074413324 * DELAY(TURNOVER,53) + 0.011108996538 * DELAY(TURNOVER,54) + 0.010220770217 * DELAY(TURNOVER,55) + 0.009403562551 * DELAY(TURNOVER,56) + 0.008651695203 * DELAY(TURNOVER,57) + 0.007959943849 * DELAY(TURNOVER,58) + 0.007323501879 * DELAY(TURNOVER,59) + 0.006737946999 * DELAY(TURNOVER,60) + 0.006199210503 * DELAY(TURNOVER,61) + 0.005703548998 * DELAY(TURNOVER,62))",-1.588487999999999,-3.8743227241262876,-2.2858347241262886,5.5293021821097295,7.86,62.49,62.19328641690488,0.29671358309512064,0.29671358309512064,comparable,True,,9.448488,-3.9191858178902694,-2.3306978178902704,0.04486309376398179,-0.04486309376398179,False,19,120,platform_chart,direct local market-data reconstruction
