portfolio,cycle,component_count,periods,first_signal_date,last_signal_date,mean_stock_count,rank_ic,ic_mean,ic_ir,gross_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,sharpe_after_cost,max_drawdown_pct,monthly_win_rate_pct,handlers
single_size_only,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4987.319502074689,0.0437138461706521,0.035612942393060815,0.23844493111683604,19.900547478277833,5.952261459469916,1.7999638653437025,18.10058361293413,0.9299380183041945,39.74601652736298,73.33333333333333,size_only
single_impact60,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4937.983402489626,0.050003960760177706,0.036209138397264355,0.29366363931343875,17.74353425413659,4.969772215565332,1.5028591179869562,16.240675136149633,0.9586472770594346,35.61707265182884,75.0,impact60
single_book_to_market_lf_minus_size,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4983.186721991701,0.06543712667934017,0.03811040000783664,0.26146827701378966,17.16204724697638,6.773126540605172,2.048193465879004,15.113853781097376,0.9091136579172961,35.70141089649071,75.0,book_to_market_lf_minus_size
greedy_seven,5,7,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4398.887966804979,0.09263464233388563,0.054010049045051405,0.35073230177081477,20.73379374329257,19.59440932042767,5.925349378497327,14.808444364795243,0.9038715696707122,37.88412840826542,75.0,"size_only,t10_size_plus_impact_aggregate,book_to_market_lf_minus_size,impact60,reversal_chip_turn_paper,reversal40,turn_bias"
single_t10_size_plus_impact_aggregate,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4428.091286307054,0.0859704878465446,0.052090301433361,0.34947734896477006,19.491031497524542,17.71554434367504,5.357180609527332,14.133850887997209,0.8748961571215498,37.97786103794966,71.66666666666667,t10_size_plus_impact_aggregate
single_reversal_chip_turn_paper,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4398.887966804979,0.08971451475669374,0.04382979166023017,0.29797042055065315,14.806145736439369,24.24290204402568,7.331053578113365,7.475092158326004,0.6940145314669859,36.168327298437966,63.33333333333333,reversal_chip_turn_paper
single_turn_bias,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4428.091286307054,0.06715229655361811,0.0305316653462383,0.28070056263370396,9.86498644475678,15.127150776305925,4.574450394754912,5.290536050001869,0.7029052183458795,30.528648446084784,68.33333333333333,turn_bias
single_reversal40,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4955.078838174274,0.06810134339662002,0.033591036302151746,0.23646147128535808,8.880453743096231,39.58368551638305,11.970106500154234,-3.089652757058002,0.2813737578959035,44.40215802742426,56.666666666666664,reversal40
single_size_only,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4984.591666666666,0.052949505168266055,0.0428470681210957,0.25604182356242994,18.40643201657903,8.468706847815428,1.2804684753896927,17.125963541189336,0.8989789144739604,34.58844977710155,71.66666666666667,size_only
single_impact60,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4934.866666666667,0.06287593105023079,0.04614982796883083,0.33812272981437086,16.696883304117524,8.987635149731668,1.3589304346394282,15.337952869478096,0.9429688816047346,28.82163052980866,75.0,impact60
greedy_seven,10,7,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4393.208333333333,0.11261869849009029,0.06947790307956189,0.41738537032520734,19.549899056958427,29.380668572442975,4.442357088153378,15.10754196880505,0.9259965308885749,30.743443176411887,75.0,"size_only,t10_size_plus_impact_aggregate,book_to_market_lf_minus_size,impact60,reversal_chip_turn_paper,reversal40,turn_bias"
single_book_to_market_lf_minus_size,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4980.441666666667,0.07912269589485625,0.04868001361892225,0.30539796575651995,15.994100929868225,9.591147709879632,1.4501815337338007,14.543919396134426,0.8979219290237311,28.61813370338603,68.33333333333333,book_to_market_lf_minus_size
single_t10_size_plus_impact_aggregate,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,0.10548387490081428,0.06672592851417543,0.4124147544443878,18.26140905623083,26.679778107314295,4.033982449825921,14.227426606404908,0.8844084655061647,30.973203547398576,73.33333333333333,t10_size_plus_impact_aggregate
single_reversal_chip_turn_paper,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4393.208333333333,0.1077722413386193,0.057226657506495755,0.37543157165550967,14.131201727550765,36.02140468158223,5.446436387855233,8.684765339695533,0.7388291706301888,28.481008113330496,68.33333333333333,reversal_chip_turn_paper
single_turn_bias,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,0.07727166173675118,0.03901536721131582,0.34489831959063944,8.828617198473804,26.165266017437936,3.9561882218366167,4.872428976637187,0.6831519469754999,25.979379860056884,68.33333333333333,turn_bias
single_reversal40,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4952.125,0.08526468873307808,0.04572490803935698,0.3234980193251988,9.953000190222086,54.49060912778753,8.238980100121474,1.7140200901006124,0.4173570704522535,37.09572773597771,61.66666666666667,reversal40
